,DateTime,Tweet Id,Tweet,Username,Location
0,2022-12-22 12:50:22+00:00,1605908605479178241,"Ini 5 fakta menarik mengapa ganjar layak jadi presiden

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/TgPhLwKCHu",diaharmayanti1,"Denpasar Selatan, Indonesia"
1,2022-12-22 07:10:03+00:00,1605822960954007552,"Mantap!! Banyak juga yang mendukung pak Ganjar jadi presiden 2024
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/Z38bxP7JT8",cofeeblac,"Bali, Indonesia"
2,2022-12-22 07:08:46+00:00,1605822637820608512,"Ganjar sangat siap menjadi Indonesia Satu 2024
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#Ganjaristioptimis
#PerjalananGanjarPranowo https://t.co/f9hix5QAiy",cofeeblac,"Bali, Indonesia"
3,2022-12-22 07:06:22+00:00,1605822033069166592,"Ganjar perkuat ketahanan adat budaya nasional
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/w9uJkvQBuy",cofeeblac,"Bali, Indonesia"
4,2022-12-22 07:05:16+00:00,1605821758920982528,"Rakyat Indonesia sudah berkeinginan Ganjar Pranowo jadi Presiden 2024
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/M3TIJuYkuM",cofeeblac,"Bali, Indonesia"
5,2022-12-22 07:03:49+00:00,1605821393504915458,"Ganjar Pranowo seorang pemimpin yang kharismatik nasionalis dan agamis
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/H77vqj9EcB",cofeeblac,"Bali, Indonesia"
6,2022-12-22 07:01:48+00:00,1605820887378235393,"Ganjar subsidi pupuk membuat petani nyaman
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/bYh5mwbvJo",cofeeblac,"Bali, Indonesia"
7,2022-12-22 07:00:43+00:00,1605820611111948288,"Ganjar Pranowo dorong penyaluran pupuk subsidi tepat sasaran ke petani 
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah https://t.co/8Hy3TE7f62",cofeeblac,"Bali, Indonesia"
8,2022-12-22 06:58:36+00:00,1605820081014902784,"Ganjar Calon Presiden Terkuat
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/K2Udq6kkBU",cofeeblac,"Bali, Indonesia"
9,2022-12-22 06:21:20+00:00,1605810700110045184,"Ganjar sebut potensi kemajuan UMKM sangat besar

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/nppkxkvpen",diaharmayanti1,"Denpasar Selatan, Indonesia"
10,2022-12-21 23:38:20+00:00,1605709283269627904,@ngurahsuprad @ganjarpranowo @PDI_Perjuangan @hurufmati_,Alifnugraha__,bali
11,2022-12-21 23:19:04+00:00,1605704436927844352,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Warga twitter cuma 0,1 % warga indonesia, jadi jangan terlalu diharapin.",dorYoedana,"Denpasar, Bali"
12,2022-12-21 23:19:04+00:00,1605704436927844352,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Warga twitter cuma 0,1 % warga indonesia, jadi jangan terlalu diharapin.",dorYoedana,"Denpasar, Bali"
13,2022-12-21 09:33:23+00:00,1605496645327765504,"bisa yuk bisa 2024 pak ganjar presiden
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/w893Dk8YMK",sherlynlyn_,"Denpasar, Bali"
14,2022-12-21 09:33:23+00:00,1605496645327765504,"bisa yuk bisa 2024 pak ganjar presiden
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/w893Dk8YMK",sherlynlyn_,"Denpasar, Bali"
15,2022-12-21 09:33:12+00:00,1605496596916883457,"masyarakat udh pinter tau pilih pak ganjar
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/y0MbTc2CVm",sherlynlyn_,"Denpasar, Bali"
16,2022-12-21 09:33:12+00:00,1605496596916883457,"masyarakat udh pinter tau pilih pak ganjar
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/y0MbTc2CVm",sherlynlyn_,"Denpasar, Bali"
17,2022-12-21 09:32:57+00:00,1605496535986278400,"dah keliatan jauh banget keunggulan pak ganjar
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/SaF3AGS0Ae",sherlynlyn_,"Denpasar, Bali"
18,2022-12-21 09:32:57+00:00,1605496535986278400,"dah keliatan jauh banget keunggulan pak ganjar
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/SaF3AGS0Ae",sherlynlyn_,"Denpasar, Bali"
19,2022-12-21 09:32:42+00:00,1605496471985344512,"3 jurus pak ganjar ni bangkitkan UMKM
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/b09L9oDmoW",sherlynlyn_,"Denpasar, Bali"
20,2022-12-21 09:32:42+00:00,1605496471985344512,"3 jurus pak ganjar ni bangkitkan UMKM
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/b09L9oDmoW",sherlynlyn_,"Denpasar, Bali"
21,2022-12-21 09:32:19+00:00,1605496377508782080,"asikk tempat wisata bakal rame nih
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/VMxm0aCu37",sherlynlyn_,"Denpasar, Bali"
22,2022-12-21 09:32:19+00:00,1605496377508782080,"asikk tempat wisata bakal rame nih
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar https://t.co/VMxm0aCu37",sherlynlyn_,"Denpasar, Bali"
23,2022-12-21 07:58:23+00:00,1605472738021240833,"Mari terus mendukung penuh Pak ganjar jadi presiden Indonesia. 
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/exw2dLqFMQ",cofeeblac,"Bali, Indonesia"
24,2022-12-21 07:57:28+00:00,1605472507766509568,Ganjar selalu di depan bersama rakyat the best #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/2mmTfeZhjU,cofeeblac,"Bali, Indonesia"
25,2022-12-21 07:56:45+00:00,1605472327260438529,"Hasil Survey Mengatakan Ganjar Paling Banyak Di Pilih Menjadi Presiden 2024
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggung https://t.co/1B395mnKF3",cofeeblac,"Bali, Indonesia"
26,2022-12-21 07:56:05+00:00,1605472158548795392,Ganjar perkuat ketahanan adat budaya nasional #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/MEhWrBmDvf,cofeeblac,"Bali, Indonesia"
27,2022-12-21 07:55:33+00:00,1605472022800134144,"2024 Indonesia bebas korupsi bersama ganjar, ayo dukung
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/pu9LdNQJR1",cofeeblac,"Bali, Indonesia"
