,DateTime,Tweet Id,Tweet,Username,Location
0,2022-12-22 02:44:12+00:00,1605756057334079488,@ganjarpranowo Salim Pak 🙏🙏,Suwarda49475107,"Kota Surabaya, Jawa Timur"
1,2022-12-22 02:44:12+00:00,1605756057334079488,@ganjarpranowo Salim Pak 🙏🙏,Suwarda49475107,"Kota Surabaya, Jawa Timur"
2,2022-12-22 02:37:28+00:00,1605754362869211137,"Ganjar gencarkan operasi pasar pastikan stabilitas harga pangan di Jawa Tengah.. sehat-sehat terus pak ganjar, Kami butuh pemimpin seperti anda pak 🥲🇲🇨

#GanjarTerusUtamakanRakyat #GanjarPranowo #GanjarPilihanRakyat #coronavirus https://t.co/hpPD1ULPzR",floridaorange16,"Kota Surabaya, Jawa Timur"
3,2022-12-22 02:37:28+00:00,1605754362869211137,"Ganjar gencarkan operasi pasar pastikan stabilitas harga pangan di Jawa Tengah.. sehat-sehat terus pak ganjar, Kami butuh pemimpin seperti anda pak 🥲🇲🇨

#GanjarTerusUtamakanRakyat #GanjarPranowo #GanjarPilihanRakyat #coronavirus https://t.co/hpPD1ULPzR",floridaorange16,"Kota Surabaya, Jawa Timur"
4,2022-12-22 00:18:17+00:00,1605719336513146883,"@IdrisMarkoni @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Kasihan dong , mosok buat main2an gitu. Itu khan doa bukan sekedar poster2an ...😊",erprijo,"Kota Surabaya, Jawa Timur"
5,2022-12-22 00:18:17+00:00,1605719336513146883,"@IdrisMarkoni @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Kasihan dong , mosok buat main2an gitu. Itu khan doa bukan sekedar poster2an ...😊",erprijo,"Kota Surabaya, Jawa Timur"
6,2022-12-22 00:02:31+00:00,1605715370131607553,"Sebanyak 54,1% pemilih Ganjar Pranowo pilih Erick Thohir sbgai Wapres di Pilpres 2024. Kemudian mayoritas responden yg pilih Prabowo Subianto (41,6%), Ridwan Kamil (44,9%), dan Anies Baswedan (30,6%) ingin Erick Thohir utk jadi wapresnya.

Top...!!

@erickthohir
#BangkitBersamaET https://t.co/bi2Uwj94sC",tonaytoni1,"Kota Surabaya, Jawa Timur"
7,2022-12-22 00:02:31+00:00,1605715370131607553,"Sebanyak 54,1% pemilih Ganjar Pranowo pilih Erick Thohir sbgai Wapres di Pilpres 2024. Kemudian mayoritas responden yg pilih Prabowo Subianto (41,6%), Ridwan Kamil (44,9%), dan Anies Baswedan (30,6%) ingin Erick Thohir utk jadi wapresnya.

Top...!!

@erickthohir
#BangkitBersamaET https://t.co/bi2Uwj94sC",tonaytoni1,"Kota Surabaya, Jawa Timur"
8,2022-12-21 21:54:15+00:00,1605683089354522625,@Syah_Ramadhann @ganjarpranowo @PDI_Perjuangan 😆,Taufik_I_Smile,Gresik indonesia
9,2022-12-21 20:42:02+00:00,1605664914474823680,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Buat para Dunguers,,, emang kalah telak itu menyakitkan, buktinya di Pilkada DKI.... Semua survey memenangkan si paling bacot, tapi tetep kalah. Dan dendamnya Sampek Kiamat. Jangan Sampek kalo pemilu besok dan Anies menang telak, kalian jadi sakit jiwa karena dendam kesumat itu.",ArifWah03065569,"Gresik, Indonesia"
