,DateTime,Tweet Id,Tweet,Username,Location
0,2022-12-21 05:21:17+00:00,1605433201928740864,@ArifinI37538237 @ganjarpranowo sebutkan dimana.,Trieszeguet,Makasar
1,2022-12-20 13:04:40+00:00,1605187430348644352,@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo artinya penggemar ILC itu adalh pendukung anies.,Trieszeguet,Makasar
2,2022-12-20 05:09:12+00:00,1605067774245888000,@ChandraHary1 @yantireinke @YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt https://t.co/SthmFumeBZ,Trieszeguet,Makasar
3,2022-12-19 16:10:21+00:00,1604871767260270592,"@inilahdotcom @aniesbaswedan @ganjarpranowo @erickthohir Artinya @bawaslu_RI tidak netral, ayo ngaku..",bangaly_ali,"Makasar, Indonesia"
4,2022-12-19 14:46:58+00:00,1604850782977036289,@sikumbang_asro @YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt https://t.co/j4j9nxDWZ8,Trieszeguet,Makasar
5,2022-12-16 11:34:55+00:00,1603715290499809280,@ganjarpranowo Milih hidup susah kali Pak Gub🙏🏻😂 hadduuhh... Hrs nya milih hidup tenang ae... 🙈,iin_manaba,"Kota Makassar,Sulawesi Selatan"
6,2022-12-16 11:34:55+00:00,1603715290499809280,@ganjarpranowo Milih hidup susah kali Pak Gub🙏🏻😂 hadduuhh... Hrs nya milih hidup tenang ae... 🙈,iin_manaba,"Kota Makassar,Sulawesi Selatan"
7,2022-12-16 03:58:51+00:00,1603600518974435329,Ganjar Pranowo: PDIP pilih nomor urut tiga untuk kemenangan ketiga kalinya https://t.co/gIdq4JTZLm,antaramakassar,"Makassar, Sulawesi Selatan"
8,2022-12-16 03:58:51+00:00,1603600518974435329,Ganjar Pranowo: PDIP pilih nomor urut tiga untuk kemenangan ketiga kalinya https://t.co/gIdq4JTZLm,antaramakassar,"Makassar, Sulawesi Selatan"
9,2022-12-13 13:38:50+00:00,1602659312614404098,@ganjarpranowo @basuki_btp Kerenn 🇮🇩🇮🇩,iin_manaba,"Kota Makassar,Sulawesi Selatan"
10,2022-12-13 13:38:50+00:00,1602659312614404098,@ganjarpranowo @basuki_btp Kerenn 🇮🇩🇮🇩,iin_manaba,"Kota Makassar,Sulawesi Selatan"
