,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-12-22 14:40:55+00:00,1605936425551085568,pemerintahan saat ini sangat membangun Indonesia  Berikan dukungan terbaik untuk pak  Ganjar  https://t.co/LxdNgRhtIK #GanjarPresidenku,cplc19admalgz,gianyar Bali,perintah bangun indonesia ikan dukung ganjar,Bahagia
1,2020-09-05 08:13:25+00:00,1302157878082453504,"@EricRicaldo @SalmaBrecht @januryanur1226 @jokowi @ganjarpranowo Salah satu penerapan nilai Islam adalah berpakaian yang sepantasnya. Sedangkan memantaskan diri dengan berpakaian komplit dengan jilbabnya itu bukan kesalahan.

Itu yang ingin saya katakan. Jadi Gak perlu ada gerakan BUKA JILBAB segala hanya untuk melawan HTI",bik_alik,"Denpasar, Bali",salah terap nilai islam pakai pakai komplit jilbab salah gera buka jilbab lawan hati,Marah
2,2022-12-22 00:10:55+00:00,1605717481850404865,Pak  Ganjar terus membangun Indonesia semakin Maju   Ganjar Presiden Indonesia yang membanggakan  https://t.co/ottnujQFW0 #GanjarPresidenku,cplc19admalgz,gianyar Bali,ganjar bangun indonesia maju ganjar presiden indonesia bangga,Bahagia
3,2022-11-25 04:45:08+00:00,1596002020326256641,"Posko bantuan dari Relawan Sahabat Ganjar semoga dapat memberikan manfaat bagi semua  warga sekitar untuk bangkit setelah musibah gempa yang menimpa kemarin.
""Kemanusiaan di atas segala hal""

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar https://t.co/HX1EjlTeJe",ganjaristbali,"Bali, Indonesia",posko bantu rawan sahabat ganjar moga manfaat warga bangkit musibah gempa timpa kemarin manusia,Bahagia
4,2022-12-19 14:59:13+00:00,1604853869443710976,@Zacki32354499 @Pelukiss_MalaM @SETYAKI22965702 @Yudiantiyaman @ganjarpranowo Ngafans ngefens kalo liat PP cewek😂😂😂,DEDIDARMAWANSY7,"Denpasar, Bali",ngafans ngefens lihat pp cewek,Bahagia
5,2020-01-01 07:02:48+00:00,1212267915791101952,"@ganjarpranowo Bangke latarnya, happy fuckin nyu years pak!!",murryas,"Bali, Indonesia",bangkai latar happy fuckin nyu years,Bahagia
6,2022-11-24 04:12:28+00:00,1595631411482034180,"GANJAR PRANOWO JAGO BERJUALAN LHO!
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/aYoLxJrjm1",nusa_info,"Nusa Tenggara Barat, Indonesia",ganjar pranowo jago jual lo,Bahagia
7,2019-08-01 12:33:30+00:00,1156905793565777921,"@P3nj3l4j4h @ganjarpranowo Di Bali tiap hari kamis, purnama, tilem, dan hari raya pakai baju adat.",solikin14x,"Denpasar Selatan, Indonesia",bal kamis purnama tilem raya pakai baju adat,Bahagia
8,2022-11-29 06:59:33+00:00,1597485398099304448,"Luar biasa Ganjar ganjar lawan kekerasan seksual!!
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/PMemt76iFH",cofeeblac,"Bali, Indonesia",ganjar ganjar lawan keras seksual,Bahagia
9,2021-10-03 07:17:24+00:00,1444562210500403202,"@Dennysiregar7 @ganjarpranowo Demokrat lupa, jateng, jatim dan bali lumbung suara banteng. Suara demokrat untuk lawan salah satu lumbung saja belum tentu menang... Banteng dilawan. 
Mimpi basah cuy",Lambada70082178,,demokrat lupa jawa jawa timur bal lumbung suara banteng suara demokrat lawan salah lumbung menang banteng lawan mimpi basah coy,Marah
