,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-10-20 09:53:47+00:00,1.58303e+18,"Rudy mengaku dukungannya kepada Ganjar mencapai seribu persen. Bahkan, ia juga mendoakan Gubernur Jawa Tengah tersebut agar dapat melenggang di kontestasi Pillpres 2024.

Pak Rudy ae WANI
mosok awak dewe enggak ?

https://t.co/jas39EmeMC 💋",SalimCipok,,rudy dukung ganjar capai ribu persen doa gubernur jawa lenggang kontestasi pillpres rudy wani awak dewe,Senang
1,2021-05-12 14:45:50+00:00,1.39249e+18,"@Bang_Tuhasan @ChusnulCh__ @PDI_Perjuangan @ganjarpranowo Kalau rakyat sekolam sepedunguan,
Saya yakin, seyakin-yakinnya..
1000%.....
Tapi kalau yang waras masih mikir seribu kali....",Sarjana20930797,,rakyat kolam dungu waras pikir ribu kali,Marah
2,2020-01-23 07:23:22+00:00,1.22025e+18,"@ganjarpranowo Mau ga mau,tikungan ga bisa di hindari ,jika ingin sampai ke tempat tujuan.karena nyaris tak ada jalan tanpa tikungan.yg pasti tikungan di kurangi,bukan di hindari.",Mudakir_jatarun,"Jakarta Utara, DKI Jakarta",tikung hindar tuju jalan tikung tikung hindar,Sedih
3,2018-10-23 00:49:20+00:00,1.05454e+18,@pdipsurakarta @PDI_Perjuangan @FX_Rudyatmo @pdip_jember @DPD_PDIP_JATENG @PDIPKabSragen @derapjuang @GesuriID @ganjarpranowo @pdipbyl Ikut ngucapin hari santri ibu mega wkkkk pecitraan bu... Ngumung assalamualaikum aja blibet.. Wk*k,BNurvia,"Jakarta Barat, DKI Jakarta",santri mega wkkkk citra bu omong assalamualaikum blibet wkwk k,Senang
4,2022-12-18 13:42:18+00:00,1.60447e+18,"@Kasayanto_ @NephiLaxmus @ganjarpranowo @bawaslu_RI Lah yg promosiin relawan, ganjar nya mah ada di jawa tengah.. UU no berapa yg di langgar?
Coba terangin dong 🤣🤣🤣",SaburRahim,DKI Jakarta,promosi rawan ganjar nya jawa undang undang no langgar coba angin,Sedih
5,2020-05-29 01:03:58+00:00,1.26617e+18,"Sekarang setiap pagi dan malam minum jahe merah panas dulu untuk menambah kesiapan menjalani era new normal, karena apapun keputusan pemerintah, kesehatan harus tetap diupayakan 😁 @ganjarpranowo @jokowi https://t.co/bLWMwoKu4T",AnggunEkaBriliy,"Jakarta Pusat, DKI Jakarta",pagi malam minum jahe merah panas kesiap jalan era new normal putus perintah sehat upaya,Sedih
6,2019-02-18 01:16:36+00:00,1.0973e+18,"@ganjarpranowo Tapi kenapa klarifikasinya gak langsung aja,udah lama baru klarifikasi,apa sambil cari jawabannya untuk klarifikasi 🤣🤣",bersihdanjujur,"Jakarta Capital Region, Indonesia",klarifikasi langsung klarifikasi cari klarifikasi,Marah
7,2022-02-16 23:13:22+00:00,1.49409e+18,"@ganjarpranowo Sekarang lu belaga kayak pahlawan
Pas kejadian lu diam seribu bahasa 
Bajingan",Bima89009178,,belaga kayak pahlawan pas diam ribu bahasa bajing,Sedih
8,2022-12-14 07:05:28+00:00,1.60292e+18,"Gubernur Jawa Tengah @ganjarpranowo meminta Pemerintah Pusat mengkaji ulang rencana impor beras. 

Ganjar keputusan itu akan merusak harga beras hasil produksi petani dalam negeri. 
#sahabatganjar #ganjarpranowo #ganjar https://t.co/VK94sZy0Iw",Aryprasetyo85,"Jakarta Pusat, DKI Jakarta",gubernur jawa perintah pusat kaji ulang rencana impor beras ganjar putus rusak harga beras hasil produksi tani negeri,Marah
9,2019-03-20 05:01:56+00:00,1.10823e+18,"https://t.co/fhwWrtIfHG

Jgn lupa disertai perencanaan kota2 yg baik, agar bukan saja ekonomi cepat tapi juga kota2 nya Syantik dan sustainable.
@ganjarpranowo
@hendrarprihadi

Mulih yok ndesss..!",wahyukencono,Jakarta,lupa rencana kota ekonomi cepat kota nya cantik sustainable mulih ayo ndesss,Senang
