,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2019-06-02 00:35:28+00:00,1134981824688545792,"Pak @ganjarpranowo @pakjunaedi @humasjateng @dpupemalang program jateng tanpa lubang sampun radin...?
Teng ngajeng griyone kulo kados niki pak....
#pengenjalancanntik https://t.co/5p25LATnX2",BudySatriaPutr1,,program jawa lubang sampun radin teng ngajeng griyone kulo kados nik,Sedih
1,2020-03-25 10:50:20+00:00,1242765755248082944,@03__nakula @ganjarpranowo Dibeli dari china tapi made in Indonesia...ckckckck...,mufimizan76,Bandung - Indonesia,beli cina made in indonesia wkwk,Sedih
2,2022-12-17 16:41:19+00:00,1604154785921236993,"Selalu ramah Pak  Ganjar, dengan bersama  Ganjar kita pasti bisa bangkit  Pemerintah Pak  Ganjar terbaik dan terdepan  https:/ #GanjarHebat",alhassen3211,antapani Bandung,ramah ganjar ganjar bangkit perintah ganjar,Bahagia
3,2020-05-01 13:26:20+00:00,1256213365107486720,"Ganjar Pranowo Usul Gaji ASN Golongan III ke Atas Dipotong 50 Persen https://t.co/xBbiX6ru4c  

Hadeuhhh, gubernur yang pintar sekali @podoradong @DonAdam68",denny81kurnia,"Bandung, Jawa Barat",ganjar pranowo usul gaji aparatur sipil negara golong iii potong persen hadeuhhh gubernur pintar,Marah
4,2022-12-15 04:41:44+00:00,1603248921479815168,"Tetap Semangat, jangan lupa ngopi  Pak  Ganjar memang Presiden terbaik #GanjarPresidenku https://t.co/og32V9OSQx #GanjarPresidenku",koalatronix,pangalengan bandung,semangat lupa minum kopi ganjar presiden,Bahagia
5,2022-12-18 08:41:23+00:00,1604396395028688896,Masyakat Indonesia sangat mengapresiasi kepimpinan Presiden  Ganjar di bidang Infrastruktur  tetap semangat pak indonesia maju #GanjarHebat,eltigredeven,Cimahi Bandung,masyakat indonesia apresiasi pimpin presiden ganjar bidang infrastruktur semangat indonesia maju,Bahagia
6,2019-04-19 06:47:13+00:00,1119130311898488833,"@mjarohi @detikcom Lawan pak jokowi aja kalah...apalagi ke depan lawan pak ganjar bu risma kang emil bu khofifah dll....nyungsep yg ada..., mau deklarasi tiap menit jg....",akongsumantri,"Depok, Indonesia",lawan jokowi kalah lawan ganjar bu risma kang emil bu khofifah nyungsep deklarasi menit,Marah
7,2021-02-28 11:01:28+00:00,1365980432731373571,"@AirinNzBergincu @ganjarpranowo Mungkin dulu ketika nikah pak GP pakai adat saling lempar sirih, sedangkan pak AB pakai adat saling lempar tanggung jawab. 😁🙏",Gunarso19799575,,nikah gp pakai adat lempar sirih ab pakai adat lempar tanggung,Marah
8,2022-12-19 18:41:33+00:00,1604909819772932097,"Pembangunan merata di jaman  Ganjar, alhamdulillah  Lanjutkan program baik ini pak  Ganjar  https://t.co/NSASwTmZWn #GanjarHebat",alejand74219278,Pasteur Bandung,bangun jaman ganjar alhamdulillah program ganjar,Bahagia
9,2022-12-16 00:41:46+00:00,1603550918540406784,"Tetap Semangat, jangan lupa ngopi  Pak  Ganjar memang Presiden terbaik #GanjarPresidenku https://t.co/rvxX4yb3f1 #GanjarPresidenku",alexkennedyy10,pasteur Bandung,semangat lupa minum kopi ganjar presiden,Bahagia
10,2022-12-22 01:23:33+00:00,1605735760136921088,Kadisdik Kabupaten Sukabumi Berikan Donasi Uang dan Bantuan Logistik https://t.co/S1jwg9FF0t @KemensetnegRI @KemensosRI @jokowi @BNPB_Indonesia @ganjarpranowo @Itjen_Kemdikbud @kemenpendidikan https://t.co/J1NX32KoXk,Infonawacita1,"Bandung, Jawa Barat",kadisdik kabupaten sukabumi ikan donasi uang bantu logistik,Bahagia
11,2020-02-18 14:47:05+00:00,1229779375173726213,"@ganjarpranowo @dinkesjateng @humasjateng @BupatiWonogiri @humas_wonogiri Di desa Bendungan Rt 1 Rw 04 lebak pracimantoro wonogiri, ada anak balita yang terkena (DB).
Mohon pihak terkait mau membantu penanggulangan, dengan fogging/ hal lainya.
Supaya tidak terjadi penderita lagi.",223820197bc14db,"Bekasi Utara, Indonesia",desa bendung rukun warga lebak pracimantoro wonogiri anak balita kena db mohon kait bantu tanggulang fogging lai derita,Sedih
12,2021-07-29 11:12:15+00:00,1420703712746426370,"Ngapunten pak gub @ganjarpranowo , niku perwakilan saking BEM @BEMUI_Official onten sing ngrawuhi mboten nggih? 😁 https://t.co/RIVvXcdkbx",trimobasss,,ngapunten gubernur niku wakil saking badan eksekutif mahasiswa onten sing ngrawuhi iya,Sedih
13,2019-01-16 14:12:05+00:00,1085540195594788872,"@bikingaduh @JeparaHariIni @zainurrakhmah @af_if @VisitJepara @jeparakabgoid @marzuqijepara @ganjarpranowo Mugo2 slamet trus neng ndalan....
Kawal trus @jeparakabgoid biar trs followUP ke #jateng ....",farogulmiqdad,,mugo selamat neng ndalan kawal biar followup,Bahagia
14,2022-07-16 08:34:48+00:00,1548224618283970564,"Ganjar Pranowo Unggul di Jawa Tengah dan Jawa Timur Jika Jadi Calon Presiden

https://t.co/0hs3WnclVZ",hallobantennews,,ganjar pranowo unggul jawa jawa timur calon presiden,Bahagia
15,2020-01-17 01:11:48+00:00,1217977788285603841,"@lailiisnaf @ganjarpranowo @nimal05 Itu sedikit kali... Dan masih muda, buat ditanam di tanggul2 sungai... 🙏🙏🙏",exsoelart08,depok,kali muda tanam tanggul sungai,Bahagia
16,2020-08-28 08:14:12+00:00,1299258969433600001,@ganjarpranowo Langsung ninuninu z pak ke lokasi.rakyat bapak lagi butuh kehadiran bapak,turasudiro,,langsung ninuninu z lokasi rakyat butuh hadir,Bahagia
17,2022-12-13 13:41:51+00:00,1602660069694263296,Presiden  Ganjar menjadikan Indonesia lebih baik dan maju  Kita bangga di pimpin Pak  Ganjar #GanjarPresidenku https://tw #GanjarPresidenku,DamasoJuarez,cimahi bandung,presiden ganjar indonesia maju bangga pimpin ganjar,Bahagia
18,2022-12-13 09:13:10+00:00,1602592455416639488,Kami sangat mendukung pemerintahan Pak  Ganjar  Masyarakat sangat mengapresiasi keberhasilan presiden  Ganjar #GanjarPres #GanjarPresidenku,DamasoJuarez,cimahi bandung,dukung perintah ganjar masyarakat apresiasi hasil presiden ganjar,Bahagia
19,2021-02-04 03:51:53+00:00,1357175014873726977,"Mugi2 wargane panjenengan saget manfaatke wekdal meniko.damel ibadah.puasa.wiridan.ben Corona minggat,ekonomi meningkat.ORA CUMA NONTON TIPI TOK.MANGAN.TURU..salam sehat Jateng @ganjarpranowo https://t.co/nW7XbPhlx8",arulsatriaBBO,,moga wargane panjenengan saget manfaatke wekdal meniko damel ibadah puasa wirid ben corona minggat ekonomi tingkat tonton televisi tok mangan turu salam sehat jawa,Bahagia
20,2020-04-22 21:38:52+00:00,1253075826913886209,@Selow30390789 @rahmasiti955 @ganjarpranowo Prasangka baiknya. Mungkin blm terdata semua dn blm smpai ke Kita. Tapi sampai kapan???. Kadang urusan perut itu tdk bisa nunggu n nunggu mas,Eges_KC25,,prasangka data kadang urus perut tunggu tunggu mas,Marah
21,2019-08-08 12:15:15+00:00,1159437916831010817,@ganjarpranowo Gembes? Kelingan jaman sd nang #sdkristengergaji kyai saleh semarang mbiyen,pranowo,,gembes keling jaman sekolah dasar kiai saleh semarang mbiyen,Bahagia
22,2021-06-11 09:22:18+00:00,1403281428008226816,"Sudah 27 Organ Relawan pro Ganjar Pranowo mulai bermunculan, tapi *DGP semakin tumbuh dan membumi di seluruh Nusantara bahkan sudah mendunia. *DGP* hanya relawan yang akar rumput berdaulat  memicu dan memacu relawan lain tumbuh. #DGP semakin membumi &amp; mendunia.  
@ganjarpranowo https://t.co/tsF0gJV77A",Dulurganjarpra1,,organ rawan pro ganjar pranowo muncul dgp tumbuh bumi nusantara dunia dgp rawan akar rumput daulat picu pacu rawan tumbuh bumi amp dunia,Bahagia
