,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2020-05-01 09:56:42+00:00,1256160612234616833,"Jumat, 1 Mei 2020 Menerima Rombangan Bid. Pengabdian Masyarakat KWARDA JATENG memberikan Bantuan APD dan Suplemen untuk Tenaga Kesehatan RS. Margono Soekarjo &amp; RST. Wijayakusuma Purwokerto. Terimakasih bantuannya... @Pramuka_Jateng @PramuliJateng @kwarnas @ganjarpranowo https://t.co/8dEEwzAh1T",H_ADY_CANDRA,"Banyumas, Jawa Tengah",jumat mei terima rombangan bid abdi masyarakat kwarda jawa bantu apd suplemen tenaga sehat rumah sakit margono soekarjo amp rst wijayakusuma purwokerto terima kasih bantu,Bahagia
1,2018-05-13 04:54:46+00:00,995527751036633089,"@ganjarpranowo Sih kenapa aparat lalai , harus nya kalian yg lebih tau dari aparat . Karena mereka bersama hidup di lingkungan kalian .",AkbarRi69359726,"Kota Tegal, Jawa Tengah",sih aparat lalai nya tau aparat hidup lingkung,Marah
2,2020-01-25 13:00:17+00:00,1221055185708994560,Mantap pak gubernurku @ganjarpranowo Moga sehat  &amp; sukses selalu memimpin jawa tengah... https://t.co/3X77em1cwz,Bengkel_Sepatu1,"Pati, Indonesia",mantap gubernur moga sehat amp sukses pimpin jawa,Bahagia
3,2019-08-27 05:36:21+00:00,1166222901877473280,"@desa_karangsari @anakdesaid @ganjarpranowo @puspindes @kabarpemalangID @Pemalangan @ElshintaTegal @hengky_kik gak payah lho, orang jalan udah aspal gitu",InfoPemalang,GSI - Pemalang,payah lo orang jalan aspal,Bahagia
4,2019-06-30 12:55:18+00:00,1145314870943817728,"3. Saya balik lagi ke Kecamatan, oleh pihak Kecamatan saya harus nunggu 2 sampai 6 Bulan untuk dapat E-KTPnya @ganjarpranowo",TR_Pahlefi,,camat camat tunggu e ktpnya,Bahagia
5,2020-02-12 12:37:03+00:00,1227572320354459648,@BPPD_JATENG @ganjarpranowo @humasjateng @kominfo_jtg @ppid_jateng @poldajateng_ Bebas biaya balik nama untuk sepeda motor aja atau mobil juga?  Mohon info 🙏 @samsat_klaten,JegegMega,,bebas biaya nama sepeda motor mobil mohon info,Sedih
6,2022-11-05 02:53:48+00:00,1588726244971274242,"Mantap Pak Ganjar, Maju terus pantang mundur. Pak Ganjar yang Terbaik👍💯. 
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat Jawa Tengah https://t.co/Dx09DxSynG",PancaPraMahesa,"Semarang, Jawa Tengah",mantap ganjar maju pantang mundur ganjar jawa,Bahagia
7,2020-01-23 14:57:33+00:00,1220359921184587777,@PpkDmk @ganjarpranowo @dpubmckjateng mlm ini ada genangan air rob arah smg km 7 dpn polytron yg lumyan besar. Mohon atensi nya . Suwun,FaniPriyoko,,malam genang air rob arah moga km polytron lumyan mohon atensi nya suwun,Sedih
8,2020-01-08 00:19:23+00:00,1214703108921516032,Halaman sekolah berlimpah air. Jangan khawatir kami tidak akan menuntut ganti rugi ke gubernur @ganjarpranowo https://t.co/Rs0edmt0gg,DoelAzis77,"Kota Semarang, Jawa Tengah",halaman sekolah limpah air khawatir tuntut ganti rugi gubernur,Sedih
9,2020-02-15 07:53:57+00:00,1228588239881031680,"@ganjarpranowo mohon bantuan,nya bapak gubenur,ku bapak ganjar pranowo untuk desa kami di kenai biaya sertifikat 700000 rbu progam bapak presiden gratiss mohon pak di tindaklanjuti untuk desa kami khusus,nya desa tegalrejo kec wirosari trimakasih",GodhekAgus,,mohon bantu nya gubernur ku ganjar pranowo desa kena biaya sertifikat ribu progam presiden gratis mohon menindaklanjuti desa khusus nya desa tegalrejo camat wirosari terima kasih,Marah
