,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-08-07 09:49:38+00:00,1026767314346115073,"@ganjarpranowo @LawanPoLitikJKW @SBYudhoyono Dan kemudia si followernya @LawanPoLitikJKW pun terjebak atas narasi judul berita yang dibuat seakan memang @ganjarpranowo ""tak becus"" kerja. Dan sayangnya, kok masih banyak yang mau ditipu dengan cara² spt ini😌.
#SalamTiwul #Jatim https://t.co/4ncykJ3KHQ",b_riyant_a,kediri,kemudia sih followernya jebak narasi judul berita becus kerja sayang tipu surat pemberitahuan,Sedih
1,2022-11-14 10:22:52+00:00,1592100745482219520,@laki2enjoy @ganjarpranowo Itulah nilai yg menjadi alasan saya mendukung beliau utk maju di capres 2024👍🏻🇮🇩,just_have_cool,"Kediri, Jawa Timur, Indonesia",nilai alas dukung beliau maju calon presiden,Senang
2,2022-04-03 00:40:21+00:00,1510416881869475842,@ganjarpranowo Amin pak Ganjar 🙏😇 semoga diberikan kesehatan di bulan ramadhan kali ini,anand44__,"Jombang, Indonesia",amin ganjar moga sehat ramadan kali,Senang
3,2019-11-23 11:25:08+00:00,1198200807939878912,"@ganjarpranowo Saya rasa keterbukaan dan status ""netral"" dari pihak panwas juga perlu dipertanyakan ,. 
Karena tidak menutup kemungkinan panwas yg seharusnya ""netral"" masih bisa ditunggangi oleh Paslon yg ada .,",yudha_mang14,,buka status netral panitia awas tutup panitia awas netral tunggang pasang calon,Marah
4,2020-02-28 23:03:18+00:00,1233528131107119107,"@Rahman_Nashir @ganjarpranowo @Aryprasetyo85 @arjuno_ireng01 @narkosun @triwul82 Hebaat, Pak jennengan,,

Sikat habis jangan ada sisa sedikitpun,, orang orang radikal itu",Muhamma88773127,,hebat jennengan sikat habis sisa orang orang radikal,Marah
5,2022-11-24 23:01:38+00:00,1595915573644648448,"Pak Ganjar Pranowo Adalah Pemimpin Yang, Tidak Neko-Neko; Jika Ada Bawahannya Korup, Langsung Dicopot! 

#ganjarpranowo #jawabarat #jawatimur #jabodetabek #jawatengah #madura #sumenep #rumahkitasumenep #rumakitajatim https://t.co/yVdK6flhAS",Rk_Sumenep,,ganjar pranowo pimpin korup langsung copot,Marah
6,2020-10-07 09:05:37+00:00,1313767426350182400,Bukannya ngobrol ( Dialog ) itu harus sebelum RUU disahkan pak @ganjarpranowo . Pangapunten pak 🙏 https://t.co/zQvFFGTXQc,Irham_Muchamad,"Kota Surabaya, Jawa Timur",obrol dialog rancang undang undang sah pangapunten,Sedih
7,2022-12-13 06:16:05+00:00,1602547888781144064,"Ganjar Pemimpin baik yang pastikan masalah masyarakat cepat selesai
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah https://t.co/GJ3UGkvaif",SAGA_Jatim,"Kota Surabaya, Jawa Timur",ganjar pimpin masyarakat cepat selesai,Marah
8,2020-06-20 20:02:05+00:00,1274432351884308480,"@KakekSemelekete @ganjarpranowo Nomor 1 saya masih mengharap #PakJokowi3Periode  sabar tunggu perkembangan, dan pak Ganjar sudah lama kami pegang seandainya pak Jokowi tak mungkin lagi 3 Periode. https://t.co/kPgQS4Vuoz",SoebektiSoehar5,,nomor harap sabar tunggu kembang ganjar pegang jokowi periode,Marah
9,2019-06-23 23:04:03+00:00,1142931351558971393,@ganjarpranowo Pisang-sari apa ya kayak sarinya pisang Pak.... 😅😅,abdulharis2016,"Probolinggo, Jawa Timur",pisang sari ya kayak sari pisang,Sedih
10,2020-01-08 11:02:21+00:00,1214864914092679168,"@ganjarpranowo sering pak, ng deso ku saiki kali ne diurug dadi perumahan-_-",ikihanip,,ng deso ku kali diurug dadi rumah,Sedih
11,2022-11-30 10:31:36+00:00,1597901148807397377,"Hasil survei : Elektabilitas Pak Ganjar Pranowo tetap teratas pasca deklarasie Anies.
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/20cOnBTWcC",SAGA_Jatim,"Kota Surabaya, Jawa Timur",hasil survei elektabilitas ganjar pranowo pasca deklarasie anies,Marah
12,2022-10-07 07:48:24+00:00,1578291135226974209,"@ganjarpranowo Bukan tujuan membela, ttp pemikiran bapak memang sesuai dgn orang Indonesia asli, bukan orang Indonesia yg berfikirnya spt orang asing atau kebarat baratan",IsmanMustofa7,,tuju bela pikir sesuai orang indonesia asli orang indonesia pikir surat pemberitahuan orang asing barat barat,Marah
13,2021-05-10 14:09:19+00:00,1391757245734547467,@sentulultra @ganjarpranowo Saya pernah dengar cerita dari teman bahwa dulu disebutkan disekitar dataran gunung sumbing ada seorang tokoh yg mumpuni.,Singodarmo1,,dengar cerita teman datar gunung sumbing orang tokoh mumpuni,Senang
