,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-10-27 03:12:54+00:00,1585469561113280512,"Keren Pak Ganjar

Daerah Istimewa Yogyakarta
Ganjar Yogyakarta
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#Ganjaristioptimis
#PerjalananGanjarPranowo https://t.co/dgdzyi2hVx",kancakenthelgp,,keren ganjar daerah istimewa yogyakarta ganjar yogyakarta,Bahagia
1,2018-09-11 11:57:51+00:00,1039483154933800960,"@ganjarpranowo Nah bener,

Kita semua ki bersaudara,gara² beda pilihan politik po ya kudu saling hujat saling benci bahkn sampe nyebut sodara sendiri dengen ""musuh"" atau bahkan nama binatang,

Mugo² do luweh mentingke adem ayeme Indonesia, daripada pol meltok egone",WahibYusubS,Sukoharjo↔️ Yogyakarta,ki saudara gara beda pilih politik po ya hujat benci saudara dengen musuh nama binatang mugo do luweh mentingke adem ayeme indonesia pol meltok egone,Marah
2,2022-12-22 00:25:00+00:00,1605721026540642304,"Survei SMRC mengatakan bahwa ganjar berada diposisi teratas. Bukti bahwa Ganjar selalu terdepan untuk Indonesia.

#ganjarpranowo 
#ganjar_pranowo 
#ganjaruntukindonesia #sahabatganjar 
#GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat 
#GanjarAmanah https://t.co/Jcl8CXHqJc",Teropong62,,survei smrc ganjar posisi bukti ganjar indonesia,Bahagia
3,2022-12-22 04:48:49+00:00,1605787420015951872,"Sejak menjabat Gubernur Jateng pada September 2013, persoalan kemiskinan menjadi perhatian serius Ganjar Pranowo. 

#GanjarUntukRILebihKuat
#ProgramGanjarUtamakanRakyat https://t.co/ysdzIncqXD",nvroost,,jabat gubernur jawa september miskin perhati serius ganjar pranowo,Bahagia
4,2019-08-07 04:24:27+00:00,1158957050174439424,Gak bisa foto sama pak @ganjarpranowo foto sama pohon kepel yg ditanamnya aja. https://t.co/8uZuHqTmK8,AntonYNRT,,foto foto pohon kepel tanam,Bahagia
5,2022-12-16 06:30:51+00:00,1603638771299323904,Ganjar berhasil percepat pembangunan infrastruktur #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah https://t.co/2rbZWJo9f5,KaribGanjarYK,Daerah Istimewa Yogyakarta,ganjar hasil cepat bangun infrastruktur,Bahagia
6,2022-10-19 07:29:09+00:00,1582634944932691970,"2024 Ganjar Pranowo Menuju Indonesia Satu! Daerah Istimewa Yogyakarta, Ganjar Pranowo Yogyakarta #ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#Ganjaristioptimis https://t.co/dydR96Xo00",utama_kabar,,ganjar pranowo tuju indonesia daerah istimewa yogyakarta ganjar pranowo yogyakarta,Bahagia
7,2022-12-20 08:50:06+00:00,1605123365940781056,@inilahdotcom @aniesbaswedan @ganjarpranowo @erickthohir Jgn lupa mbak puan juga melakukannya...bertani bagi2 kaos dll....hayooo sopo lg jal,Embunpa01390476,,lupa mbak puan laku tan kaos hayo jal,Marah
8,2021-06-12 09:57:58+00:00,1403652791654961159,"Dalam kunjungan kerja Presiden, @ganjarpranowo menyebut ada satu pesan penting yang disampaikan @jokowi, yakni kesadaran masyarakat akan protokol kesehatan, terutama menggunakan masker.

Indonesia Sehat https://t.co/D4tG5kZuij",sahabatganjarid,"Yogyakarta, Indonesia",kunjung kerja presiden pesan sadar masyarakat protokol sehat utama masker indonesia sehat,Bahagia
9,2020-08-13 14:29:33+00:00,1293917612745691136,"@Bondhan_pradika @cornelgea @ganjarpranowo Ga menarik buat konten instagram beliau mas, ga akan dipedulikan.",yudhyindraaa,"Yogyakarta, Indonesia",tarik konten instagram beliau mas peduli,Bahagia
10,2022-10-22 02:11:52+00:00,1583642261174517760,"Mantap, pasti dukung pak ganjar terbaik 
Daerah Istimewa Yogyakarta
Ganjar Yogyakarta
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#Ganjaristioptimis
#PerjalananGanjarPranowo https://t.co/tZ1C0PyFm3",Rawls19Karen,"Yogyakarta, Indonesia",mantap dukung ganjar daerah istimewa yogyakarta ganjar yogyakarta,Bahagia
11,2022-11-20 13:19:11+00:00,1594319446511800321,Dalam Hal ini bersama untuk menunjukkan Pentingnya rasa Kepekaan dan rasa peduli GMC DIY terhadap korban bencana alam di daerah yogyakarta. GMC DIY juga Membagikan Sembaku dan segala kebutuhan bagi korban bencana alam serta senantiasa mensosialisasikan Ayah Ganjar Pranowo https://t.co/veBQV2ICtH,gmc_diy,,peka peduli gmc diy hadap korban bencana alam daerah yogyakarta gmc diy sembaku butuh korban bencana alam senantiasa sosialisasi ayah ganjar pranowo,Bahagia
12,2022-12-22 12:30:33+00:00,1605903617864654848,"Ganjar Pranowo. Calon Presiden 2024 dicintai rakyat 
#ganjarpranowo #ganjar_pranowo
#ganjarkita #ganjaruntukindonesia
#sahabatganjar #relawanganjar
#capres2024 #ganjarpranowofor2024
#GanjarPilihanRakyat #GanjarHebat https://t.co/hb6c2XZzwx",ganjarlovers,"Yogyakarta, Indonesia",ganjar pranowo calon presiden cinta rakyat,Cinta
13,2022-12-22 03:53:43+00:00,1605773553697054725,"Operasi pasar menurut Ganjar penting, untuk memastikan stabilitas harga kebutuhan pokok, selama masa Natal 2022 dan Tahun Baru 2023.

 #sahabatganjar #ganjarpranowo #Ganjar https://t.co/cuAAJ9krs2",sahabatganjar,,operasi pasar ganjar stabilitas harga butuh pokok natal,Bahagia
14,2022-12-22 07:19:20+00:00,1605825297240231937,"Menteri Investasi/Kepala BKPM Bahlil Lahadalia berharap kemesraan Ketua DPR RI Puan Maharani dan Gubernur Jawa Tengah Ganjar Pranowo tidak cepat berlalu.

Puan Nomor Satu
PDIP Tetap Tiga
https://t.co/rjVhOp4QSu",Liex_19,,menteri investasi kepala bkpm bahlil lahadalia harap mesra ketua dewan wakil rakyat ri puan maharani gubernur jawa ganjar pranowo cepat puan nomor partai demokrasi indonesia juang,Bahagia
15,2022-12-18 19:18:21+00:00,1604556693194829824,@ganjarpranowo Prancis kalah pak mboten usah gadah pikiran nyapres,AbhelB,"Yogyakarta, Indonesia",prancis kalah gadah pikir calon presiden,Marah
16,2022-12-20 02:40:10+00:00,1605030265952161792,"Anggrek merah diberi nama
Dendrobium Ganjar Pranowo
Bersertifikat resmi dari
The Royal Horticultural Society
Inggris 
@ganjarpranowo 
#GanjarPilihanRakyat https://t.co/blTwqZOgCy",qiunco2761,,anggrek merah nama dendrobium ganjar pranowo sertifikat resmi the royal horticultural masyarakat inggris,Bahagia
17,2022-12-22 08:58:33+00:00,1605850267882323975,Relawan Toraja Utara Gelar Doa Bersama Dukung Ganjar Pranowo DI 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah https://t.co/vj1giHBqsW,KasiyahPuspasa1,Yogyakarta,rawan toraja utara gelar doa dukung ganjar pranowo,Bahagia
18,2022-12-21 02:46:19+00:00,1605394205056307200,@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Banyak yang gelisah ini susah tidur mata merem pikiran melayang...harus gimana lagi,adeshlahudin,,gelisah susah tidur mata merem pikir layang,Sedih
19,2021-07-09 10:10:37+00:00,1413440448153088011,@ganjarpranowo @nophiieta Memangkas segala macam birokrasi di saat genting seperti ini yg sifatnya menghambat,AdiRistanto7,,mangkas birokrasi genting sifat hambat,Sedih
20,2022-12-17 06:30:53+00:00,1604001164424527873,Ganjar antarkan produk gamelan tembus pasar internasional #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat https://t.co/MlJ6N5Q9tp,KaribGanjarYK,Daerah Istimewa Yogyakarta,ganjar produk gamelan tembus pasar internasional,Bahagia
21,2022-12-21 09:54:39+00:00,1605501998207361024,@GanjaranApp @Ridhodeput yakin dan percaya banget sih dengan kinerja nya Pak Ganjar Pranowo ini,cecep8217,,percaya banget sih kerja nya ganjar pranowo,Bahagia
22,2022-12-16 06:31:03+00:00,1603638817902268417,Ganjar Antarkan Produk Gamelan Tembus Pasar Internasional #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat https://t.co/N4aEbZvkye,KasiyahPuspasa1,Yogyakarta,ganjar produk gamelan tembus pasar internasional,Bahagia
23,2022-12-21 04:30:00+00:00,1605420297770782721,"Acara ini tentunya memberikan kesan positif serta membantu masyarakat Dukung UMKM Muda bersama Ganjar Pranowo di Kab.Garut ,Jawa Barat tanggal 22 Desember 2022.
#UntukGanjarPranowo https://t.co/yLgkLFRxjl",Maltine38294580,,acara kesan positif bantu masyarakat dukung usaha mikro muda ganjar pranowo kabupaten garut jawa barat tanggal desember,Bahagia
24,2020-01-14 07:26:10+00:00,1216984836088332288,"@ganjarpranowo Semarang nih, kemaren lewat sini, udah jalan sampe ujung, eh pas mau turun ditutup, yauda balik lagi @DindaLatuconsia",margaretameilaa,"Yogyakarta, Indonesia",semarang nih kemarin jalan ujung eh pas turun tutup ya,Marah
25,2019-02-08 07:13:27+00:00,1093769763690401793,"@Arsol_ArekSolo @ganjarpranowo @jokowi @AsipKholbihi Mantab pula itu,kl sy biasa ngerjain spamdes paling 1lps untuk skala kampung/rw.yg tidak/belum terjangkau pdam",pedet_juworo,"Kota Yogyakarta, Yogyakarta",mantap kerja spamdes lps skala kampung rukun warga jangkau pdam,Bahagia
26,2022-12-20 01:45:34+00:00,1605016528289959936,@sikumbang_asro @YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt Lo bilang ILC netral aja udah aneh,deny01184907,,bilang indonesia lawyers club netral aneh,Marah
27,2022-12-22 06:48:38+00:00,1605817571214647296,"Survei SMRC..Ganjar Pranowo
CAPRES PALING DI SUKAI 
Oleh Rakyat

#GanjarUntukRILebihKuat
#ProgramGanjarUtamakanRakyat https://t.co/Vyib6s8UuX",Nien1708,,survei smrc ganjar pranowo calon presiden suka rakyat,Marah
28,2019-07-27 01:47:00+00:00,1154931159291199488,"@YaniSunarno @ganjarpranowo @humasjateng @KSPgoid @KemensosRI @provjateng Yth. Bunda Yani Sunarno
Tolong beri jatah rehab untuk pasar Surowono Bun karena kondisinya sudah sangat semrawut dan sempit https://t.co/z0iOoIRxZ4",Sarwant75753571,,hormat bunda yani sunarno tolong jatah rehab pasar surowono bun kondisi semrawut sempit,Sedih
29,2022-12-20 13:09:56+00:00,1605188755618684928,@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Anies Baswedan for Presiden RI 2024,pembela_rakyat_,,anies baswedan for presiden ri,Bahagia
