,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2020-05-07 07:43:42+00:00,1258301468802600960,"@CandraMalik @Prie_GS Gus Baha, Gus Mus, Pak Ganjar",ferdiero,Balikpapan,gus baha gus mus ganjar,Marah
1,2021-11-05 13:43:17+00:00,1456618119628132354,"Sungng dalu pak @ganjarpranowo pembangunan tower BTS di desa-desa apakah wajib? Karena ada tendensi pemaksaan di wilayah Nampirejo, Kec. Temanggung, Kab. Temanggung. Malam ini KTP sedang diminta untuk syarat persetujuan pembangunan. Padahal kami menolak.",muhamad_ghozzy,"Balikpapan, Kalimantan Timur",sungng dalu bangun tower bts desa desa wajib tendensi paksa wilayah nampirejo camat tanggung kabupaten tanggung malam kartu tanda duduk syarat tuju bangun tolak,Marah
2,2020-03-30 00:58:38+00:00,1244428789884416001,"@Fey46260988 @ganjarpranowo Perluas penanganan harus bs aktifkan akses kebersihan lingkungan disekitar nya 
.. Oke",BhrataSh,,luas tangan aktif akses bersih lingkung nya oke,Senang
3,2019-07-05 22:33:29+00:00,1147272314477694976,@ronavioleta @ganjarpranowo Kalau uang 18M kemarin bisa dapat air berapa truk ya emak ku,fredjonhar,,uang kemarin air truk ya emak ku,Sedih
4,2022-10-21 07:53:11+00:00,1583365766967021568,"Simak bincang Pak Ganjar, Mantap Pak Ganjar
Kalimantan Timur 
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#Ganjaristioptimis
#PerjalananGanjarPranowo https://t.co/qaP77VyXyB",Leonardo11op,"Kalimantan Timur, Indonesia",simak bincang ganjar mantap ganjar kalimantan timur,Senang
5,2019-03-18 14:25:21+00:00,1107649194087505921,Demi kerukunan bangsa dan kebahagiaan rakyat lanjutkan pak ganjar https://t.co/BKyKawyAzY,gempito,Balikpapan,rukun bangsa bahagia rakyat ganjar,Senang
6,2020-01-15 14:22:28+00:00,1217451991472828417,@Aryprasetyo85 @ganjarpranowo Pak @ganjarpranowo koq tidak ada gambarnya saat menanam pohon dan kerok-kerok pasir spt gubernur yang lain???,BambangHerlandi,Balikpapan,gambar tanam pohon kerok kerok pasir surat pemberitahuan gubernur,Sedih
7,2019-09-29 12:51:50+00:00,1178291293547462657,"@ganjarpranowo @PEMKOT_SOLO Pak @ganjarpranowo minta rumput stadion di buat setinggi kaki yg di angkat supaya pas gocek bola ga keliatan musuh.... 
Yg tolak pinggang kaget dan berkata ""jancuk""....😆😆😆",p_nainggolan,"Balikpapan, Kalimantan Timur",rumput stadion kaki angkat pas gocek bola lihat musuh tolak pinggang kaget jancuk,Sedih
8,2022-12-15 07:51:05+00:00,1603296573752049664,"Ganjar Pranowo dan Puan Maharani Makin Mesra, Ini Respon Sekjen PDIP https://t.co/oxUhTtLg9s",IniBalikpapaner,Balikpapan ,ganjar pranowo puan maharani mesra respon sekretariat jenderal partai demokrasi indonesia juang,Marah
9,2022-10-23 04:26:31+00:00,1584038536629538816,"Ganjar pranowo membuka mukernas iv persada di bandungan jawa tengah
Kalimantan Timur
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#Ganjaristioptimis
#PerjalananGanjarPranowo https://t.co/9dFiZt2gKO",Leonardo11op,"Kalimantan Timur, Indonesia",ganjar pranowo buka musyawarah kerja nasional iv persada bandung jawa kalimantan timur,Marah
