,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-11-29 06:06:39+00:00,1597472086087593984,"Ganjar Raih Penghargaan Dari Kemenaker RI
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/P1YZRUfZSp",mommy_ggsr,,ganjar raih harga kemenaker ri,Bahagia
1,2022-08-28 00:15:06+00:00,1563681542601601024,"Siap, Pak Presiden. Saya tidak buru-buru, saya pelan-pelan saja dalam mendukung pak @ganjarpranowo menuju #capresRI2024 nanti dan wakilnya Pak @basuki_btp sebagai #cawapresRI2024 🙏🏼😊
❤️🇮🇩 https://t.co/Xb4ELuP9VQ",devy_rahawarin,,presiden buru buru pelan pelan dukung tuju wakil,Bahagia
2,2021-11-26 23:11:02+00:00,1464371147487645696,"Asslamulaikum, pak @ganjarpranowo , saget dibantu UP nggeh. Demi Cerdasnya Bangsa indonesia. Selamat Hari Guru. https://t.co/GhV7yOM4wh",Zaman43017831,,asslamulaikum saget bantu up iya cerdas bangsa indonesia selamat guru,Bahagia
3,2021-02-14 20:58:11+00:00,1361057172495368192,"@FerdinandHaean3 @ganjarpranowo @DKIJakarta @aniesbaswedan Wong yang mau larang ikut dan mendukung kok bro, bersihkan dulu gubernurnya.",AkifLessy,Papua New Guinea,orang larang dukung bro sih gubernur,Marah
4,2022-11-10 00:27:00+00:00,1590501241427488768,"Hehe iya semua ud tau kan kinerja Anis kurang baik lagian ya coba hapus stigma “kalu bekas gubernur jkt bisa nyalonin jadi presiden ‘ biar smua orng kaga berlomba2 Jdi gubernur Jakarta , gak banget dehhh “ ud yg pantes mah pak Ganjar untuk presiden berikutnya 🙏 https://t.co/lGdRxSM9Ju",WiwinWFirdaus,Tembagapura Papua,hehe iya tau kerja anis ya coba hapus stigma bekas gubernur jakarta calon presiden biar orang lomba gubernur jakarta banget deh ganjar presiden,Marah
5,2022-12-13 06:27:41+00:00,1602550808465510401,"Gara2 medsos Ganjar Jadi Primadona
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarBertanggungjawab https://t.co/boocSpTPUl",mommy_ggsr,,gara media sosial ganjar primadona,Bahagia
6,2022-11-25 09:06:25+00:00,1596067773884829696,"Sahabat Ganjar Bangkitkan Semangat dan Harapan Bagi Korban Gempa Bumi Cianjur. 

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah https://t.co/ViywC187qx",FajardoCatelyn,,sahabat ganjar bangkit semangat harap korban gempa bumi cianjur,Bahagia
7,2022-11-25 09:04:18+00:00,1596067239975079936,"Masyarakat Dukung Ganjar Pranowo menjadi Presiden Indonesia 2024..!!

#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/omOszgf8Ex",FajardoCatelyn,,masyarakat dukung ganjar pranowo presiden indonesia,Bahagia
8,2022-12-05 07:24:23+00:00,1599665977062719488,"Ganjar Dukunga Total Ganjar Jadi Presiden
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/ZwPrpkEkKX",mommy_ggsr,,ganjar dukunga total ganjar presiden,Bahagia
9,2022-05-08 07:51:47+00:00,1523209030272909313,@KakekHalal Sangat amat cocok Mr @ganjarpranowo pengganti Mr Jokowi 🙏🙏🙏,OctoS9,"Papua, Indonesia",cocok mr ganti mr jokowi,Marah
