,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-12-10 15:40:59+00:00,1601602888329211904,"kerja lokal dengan gaji di atas upah minimum kabupaten/kota (UMK) Kendal.

#SahabatGanjar #Ganjar #ganjarpranowo https://t.co/ZnAxxpHqA2",4_gp2024,,kerja lokal gaji upah minimum kabupaten kota umk kendal,Senang
1,2022-12-14 13:47:40+00:00,1603023922517377024,"Klo biasanya daerah yg perusahannya banyak, pejabat daerahnya rerata Kaya raya..
Ya ga?

Tp klo Jateng, banyak perusahaan, Jateng ikut kaya. Minimal pembangunan infrastruktur di Jateng terbantu.

Keren Pak @ganjarpranowo bs mengajak perusahaan2 ""bermurah hati"" u/ daerah. 
Top. https://t.co/aZIxiZXkcm",jr_kw20,,daerah jabat daerah kayak raya ya jawa usaha jawa kayak minimal bangun infrastruktur jawa bantu keren ajak usaha murah hati daerah top,Senang
2,2022-12-10 08:51:12+00:00,1601499761785569280,"@HoegengIS @ganjarpranowo @poldajateng_ kabupaten sragen, Desa saya dan istri saya juga gitu. 600jt dibayar sama anak lurah. Rahasia umum tp gada usaha buat merubah sistem.",amehudan,,kabupaten sragen desa istri juta bayar anak lurah rahasia usaha ubah sistem,Marah
3,2022-11-30 06:31:07+00:00,1597840630423891970,"Kehadiran Ganjar membuat masyarakat di warung pinggir jalan MH Thamrin Surakarta sangat antusias dan gembira
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
Sulawesi Selatan https://t.co/pUkmYU1fzt",ErvinaStarla,,hadir ganjar masyarakat warung pinggir jalan mah thamrin surakarta antusias gembira sulawesi selatan,Senang
4,2022-12-15 23:36:02+00:00,1603534379225350145,"@Ria26720599 @ganjarpranowo Betul lambang suci/bersih
Bersih dari: Korupsi
Bersih dari: Serakah
Bersih dari: Kecurangan
Bersih dari: Maruk
Bersih dari: Kebodohan
Bersih dari: Kemalasan",o3nNHboQbkXZQnn,,lambang suci bersih bersih korupsi bersih serakah bersih curang bersih maruk bersih bodoh bersih malas,Marah
5,2022-12-16 11:52:39+00:00,1603719754971172864,"@ganjarpranowo pologoro termasuk mboten pak, mohon   bisa  diatur pak, membebani masyarakat.... Lokasi jepara",tukangsolder9,,pologoro masuk mohon atur beban masyarakat lokasi jepara,Marah
6,2022-12-09 07:54:03+00:00,1601122991517368320,"GANJAR DATANGI WARGA KORBAN BANJIR PATI, JAMIN KEBUTUHAN TERCUKUPI
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat https://t.co/ymDomjpT9v",AndiRizkyy07,,ganjar warga korban banjir pati jamin butuh,Marah
7,2022-12-13 04:38:41+00:00,1602523379340279808,"Wohoo buat kalian semua nih yang di Sleman wajib nih dateng ke tabuhan Karawitan lantukan nada untuk Ganjar Pranowo 2024 
#SemarakGanjarPranowo https://t.co/bhQnpiBR7g",pbrgohawperrt,,wohoo nih sleman wajib nih tabuhan karawitan lantukan nada ganjar pranowo,Sedih
8,2022-12-13 07:20:11+00:00,1602564023068811264,Ganjar Hebohkan Panggung Ketoprak Sumpah Amukti Palapa   #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/HSEO8gNqo1,DwiPurw32066523,,ganjar heboh panggung ketoprak sumpah amukti palapa,Marah
9,2022-12-10 17:42:31+00:00,1601633473294643200,@lukasomanalu @ganjarpranowo eit jangan lupa... upahe murah... sopo sing seneng?,erriekojomin,,eit lupa upahe murah sing senang,Senang
10,2022-12-11 12:33:45+00:00,1601918157966696448,@ganjarpranowo @kaesangp Selamat untuk mas kaesang semoha sakinah mawaddah warohmah,anxgatte,,selamat mas kaesang semoha sakinah mawaddah warohmah,Senang
11,2022-12-09 01:01:00+00:00,1601019044202618880,"Pak Ganjar Pranowo hebat! Generasi Putih tolak tegas tindakan korupsi yang merugikan banyak pihak
https://t.co/kvjnNVdulS",GenevieveGirny1,,ganjar pranowo hebat generasi putih tolak tindak korupsi rugi,Marah
12,2022-12-09 09:55:19+00:00,1601153512322134016,"@AriyonoL Tolong sebutkan anda Wartawan dari Media apa?
tidak harus 100% suara masyarakat setuju.
Cukup 50%+1 suara masyarakat ( pak Jokowi jadi Presiden dan boleh melakukan apa saja termasuk urusan  keluarga(Mantu),khan tidak melanggar Undang2.
@gibran_tweet,@ganjarpranowo,@sindai_salie",roder45070212,,tolong wartawan media suara masyarakat tuju suara masyarakat jokowi presiden laku masuk urus keluarga mantu langgar undang,Marah
13,2022-12-19 06:03:03+00:00,1604718937144451072,"Ganjar ajak bapak"" turun tangan dlm pekerjaan domestik &amp; pengasuh anak
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia

#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/YVkkpD8xWN",JogjaDukungGP,,ganjar ajak turun tangan kerja domestik amp asuh anak,Marah
14,2022-12-15 04:32:15+00:00,1603246536020090881,"Ganjar Pranowo festival #6 di lapangan parkir Mandala Krida DIY
#GanjarFestivalJogja https://t.co/vpNiiCNJPi",Delorestiva,,ganjar pranowo festival lapang parkir mandala krida diy,Senang
15,2022-12-08 08:47:33+00:00,1600774068159946752,"Suparto, warga Desa Sukomulyo, Kaliwungu Selatan, Kabupaten Kendal, tak mengira Gubernur Jawa Tengah Ganjar Pranowo akan berkunjung ke rumahnya. 
https://t.co/MT0cD2L2oF",berlianmedia1,,suparto warga desa sukomulyo kaliwungu selatan kabupaten kendal ira gubernur jawa ganjar pranowo kunjung rumah,Senang
16,2022-12-15 04:30:00+00:00,1603245970036297728,Yuk ikutan tanggal 7 ada Ganjar Pranowo Festival #6 loh di jogja jangan sampe ketinggaln ya https://t.co/pV5MwOue77,kimjonginninini,,yuk tanggal ganjar pranowo festival yoyakarta tinggal ya,Sedih
17,2022-12-13 04:30:00+00:00,1602521192258187264,"Ganjar pranowo membuat era digital jadikan aksi buat anak muda berkreasi 
#SemarakGanjarPranowo https://t.co/v8izyOBZAb",Srienaista,,ganjar pranowo era digital aksi anak muda kreasi,Senang
18,2022-12-11 16:38:48+00:00,1601979825123512320,"@VIVAcoid Benar GUS GUS NYA itu, Karena GANJAR PRANOWO PUNYA KESUKAAN NONTON https://t.co/GJmgpu104I",UmiSagita3,,gus gus nya ganjar pranowo suka tonton,Marah
19,2022-12-09 02:24:47+00:00,1601040129707372544,"Generasi Putih Anti korupsi

Apapun caranya di lakukan @ganjarpranowo untuk mencegah dan memberantas tindak kejahatan korupsi.. 
@KPK_RI menilai ganjar berhasil dlm upaya pencegahan korupsi melalui pendidikan anti korupsi dan penyuluhan anti korupsi
Mboten Korupsi Mboten Ngapusi https://t.co/Pon3K7mVr2",win_ardie,,generasi putih anti korupsi laku cegah berantas tindak jahat korupsi nilai ganjar hasil upaya cegah korupsi didik anti korupsi suluh anti korupsi korupsi ngapusi,Marah
20,2022-12-08 06:55:00+00:00,1600745745056813057,"Ganjar pranowo di sebut cocok untuk jadi cawapres dampingi Prabowo Subianto

@prabowo @gerindra
Kerja Untuk Bangsa
Indonesia Terus Maju
Lebih Baik Prabowo https://t.co/IgffTlDm4S",EkawatiElina,,ganjar pranowo cocok calon wakil presiden damping prabowo subianto kerja bangsa indonesia maju prabowo,Senang
21,2022-12-13 12:52:41+00:00,1602647697143496705,"@ganjarpranowo Tenang pak, anda pasti menang, karena anda orang jawa, suku lain nggak mungkin jadi presiden.",AlFaed1234,,tenang menang orang jawa suku presiden,Senang
22,2022-12-18 12:36:05+00:00,1604455458307117057,@ganjarpranowo @slankdotcom @fishGOD @topengmonyet @ridhohafiedz @AbdeeNegara @mohmahfudmd Wah meriah bgt nih konser SLANK di hadiri oleh pak ganjar Pranowo,Sd3Anis,,riah banget nih konser slank hadir ganjar pranowo,Senang
23,2022-12-15 04:30:00+00:00,1603245970850025472,"Keren emang ni pak Ganjar adakan konser gratis buat kita lagi guys, yuk merapat! di Ganjar Pranowo Festival #6 tanggal 7 Januari 2023 di Yogyakarta. #GanjarFestivalJogja https://t.co/RxvJvTQKMb",gusmelarta,,keren nih ganjar adakan konser gratis guys yuk rapat ganjar pranowo festival tanggal januari yogyakarta,Senang
24,2022-12-22 14:00:14+00:00,1605926189142790147,Posisi teratas ini menunjukkan bahwa Ganjar Pranowo merupakan sosok capres terbaik. #GanjarUntukRILebihKuat #sahabatganjar https://t.co/akJC1e8INY,Britt30470546,,posisi ganjar pranowo rupa sosok calon presiden,Sedih
25,2022-12-13 04:34:22+00:00,1602522293128687616,"🤗🤗Buat yang mau ikut Senandung Sholawat dan Doa untuk Ganjar Pranowo 2024 kembali hadir. Kali ini, kegiatan berlangsung di Pondok Pesantren Darul Muttaqin Maccopa yang berada di Kabupaten Maros, Sulawesi Selatan ditunggu kedatangannya bestie #SemarakGanjarPranowo https://t.co/ulO7nSUGvB",1aleshaa4,,senandung sholawat doa ganjar pranowo hadir kali giat langsung pondok pesantren darul muttaqin maccopa kabupaten maros sulawesi selatan tunggu bestie,Senang
26,2022-12-08 08:29:18+00:00,1600769476370530304,"#PesanGanjar

Apa yang jadi pesan orangtua terkadang bisa menjadi prinsip kita. 

Maka muliakanlah mereka, karena masa depan kita ada di tangannya.

@ganjarpranowo 

#2024GanjarPresiden
#GanjaristOptimis
#JokowiDihatiGanjarDinanti
#PilihRambutPutih
#GanjarPenerusJokowi https://t.co/XSlkShk75Z",Ganjarist_Ind,,pesan orang tua terkadang prinsip mulia tangan,Sedih
27,2022-12-18 11:59:14+00:00,1604446186408402944,"Ribuan Pengemudi Ojol Jabodetabek Sepakat Untuk Mendukung Ganjar Pranowo.
@ganjarpranowo 

#JKT4811thAnnivConcert #HappyTripleNDay2022 | Argentina  | MelOn Top100 | Messi https://t.co/BAKsgXT4Zu",ganjarbaik2,,ribu kemudi ojek online jabodetabek sepakat dukung ganjar pranowo argentina melon top messi,Marah
28,2022-12-16 05:00:00+00:00,1603615906449563648,"Capaian Jawa Tengah dibawah kepemimpinan Ganjar Pranowo patut diapresiasi, karena keterbukaan informasi adalah nilai perjuangan atas reformasi dan cita-cita demokrasi.

#GanjarSiap #GanjaranApp #GanjarKita #GanjarPranowo #jateng https://t.co/N83AHZVbDS",GanjaranApp,,capai jawa pimpin ganjar pranowo patut apresiasi buka informasi nilai juang reformasi cita cita demokrasi,Senang
29,2022-12-19 06:00:48+00:00,1604718368929488897,Calon Pemimpin yang disukai oleh rakyat nya #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/10ybWluBsM,JambiSorot,,calon pimpin suka rakyat nya,Cinta
30,2022-12-14 04:11:40+00:00,1602878965160386560,"Kedekatan Ganjar Pranowo- Erick Thohir selalu tampak disaat keduanya terlihat dalam satu acara. 
Perhatikan video di bawah. 
Sudah cocok kan jadi Capres/Cawapres 2024.
@erickthohir
#BangkitBersamaET https://t.co/ukby9wegZv",Ruhi_Ruhi17,,ganjar pranowo erick thohir lihat acara perhati video cocok calon presiden calon wakil presiden,Marah
31,2022-12-01 06:14:53+00:00,1598198931691036673,"GANJAR: DALAM MEWUJUDKAN BUDAYA ANTIKORUPSI HANYA BUTUH KEMAUAN UNTUK MELAKSANAKAN
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat https://t.co/7UWjzUParP",Febyan22,,ganjar wujud budaya anti korupsi butuh laksana,Marah
