DateTime,Tweet Id,Tweet,Username,Location,content_indo
2020-05-14 15:25:07+00:00,1260954302685691905,"@Sangkute3 @aniesbaswedan Ayo adu bukti aj pak . Mana yg benar bansos DKI ngawur atau rapi/ sudah sesuai...?

Yg kalah ..mundur aj jadi pejabat publik.",JJ_tilu,Jawa Barat,ayo adu bukti bansos daerah khusus ibukota ngawur rapi sesuai kalah mundur jabat publik
2022-12-16 14:29:59+00:00,1603759345988091904,@FirzaHusain @aniesbaswedan Yaman GOBLOG didukung kaum kadrun DUNGU gak bisa nyanyikan lagu Maju Tak Gentar... Syair gak hafal dan suaranyapun sumbang bikin sakit kuping ngedengernya!!!,herrymaro,,yaman goblok dukung kaum kadrun dungu nyanyi lagu maju gentar syair hafal suara sumbang bikin sakit kuping ngedengernya
2022-12-26 09:00:57+00:00,1607300420237692928,@andryanz12 @aniesbaswedan hmmm...masih ingat vidoe ahok yg  cut sm buni yani hingga akhirnya seorang ahok bisa mengumpulkan +- masa 7 jutaan..smpai disini smga anda paham ya bro wkwkwk..,Sarimansariman9,,hmmm vidoe ahok cut buni yani orang ahok kumpul juta moga paham ya bro wkwk
2022-06-22 01:43:27+00:00,1539423790337503233,"Selamat ulang tahun DKI Jakarta.
Masih satu janji bang @aniesbaswedan yang belum dipenuhi..

@aniesfor2024 @aniesmania @faktaanies @kebijakananies @marlina_idha @musniumar @FPKSDPRRI @MardaniAliSera",fanaseran,,selamat ulang daerah khusus ibukota jakarta janji bang penuh
2022-03-25 15:45:14+00:00,1507383112195788809,"@Naollivia @ridhorahadi @aniesbaswedan @Dennysiregar7 Spanduk pesan sendiri, dipasang sendiri, di foto sendiri, di upload sendiri, di komentarin sendiri. Udah gila tuh orang.",ategeo,Jakarta,spanduk pesan pasang foto unggah komentar gila orang
2022-02-08 14:53:38+00:00,1491062673374867456,"@DinasSDAJakarta @aniesbaswedan @ArizaPatria @DKIJakarta @BPBDJakarta @BeritaJakarta Gak ada followernya yg nyalak ya?
Kapan Jakarta seperti gambar dibawah ini.ð
Uang habis gak apa2, tapi hasilnya ada dan bermanfaat jangka panjaaaang. https://t.co/H6MPE6LfOt",DNofers,,followernya nyalak ya jakarta gambar uang habis hasil manfaat jangka panjaaaang
2020-01-04 14:54:12+00:00,1213473708775374848,@NixonBinsar @Jodee64857756 @aniesbaswedan @pln_123 @DKIJakarta [Pakar ITB: Naturalisasi Satu-satunya Cara Jakarta Bebas Banjir] https://t.co/OTtg4NGyRH,SS_DPJatim,Surabaya,pakar institut teknologi bandung naturalisasi jakarta bebas banjir
2020-09-11 04:15:11+00:00,1304272253031505926,"Saya ikut senang dgn kebijakan gub terbaik indonesia @aniesbaswedan , PSBB, sara, kata2 manis... luar biasa. Yg saya benci itu siapa saja yg pilih dia jadi gubernur.",sam_benjol,"Jakarta Timur, DKI Jakarta",senang bijak gubernur indonesia psbb sara manis benci pilih gubernur
2022-12-18 04:12:12+00:00,1604328654653124608,"@TeddGus @aniesbaswedan Hebat tidak hebat tergantung prestasi yang dinilai oleh pihak yang berkompeten. Tingkat global atau lokal.

Kedepan yg  jadi presiden harus punya rekam sebagai pegiat:
-Pendidikan
-Keadilan
-Ekonomi kerakyatan

Shg para penyanjungnya hanya brbicara dg logika, tdk spt sekarang ini",itualami,,hebat hebat gantung prestasi nilai kompeten tingkat global lokal presiden rekam giat didik adil ekonomi rakyat sanjung brbicara logika surat pemberitahuan
2022-12-16 14:00:39+00:00,1603751964936138753,Di antara para calon presiden yg sudah disebut sebut hanya Pak @aniesbaswedan yg berani menampilkan identity dgn jelas. Sementara yg lain takut pd bayang banyangnya sendiri. Jangan ragu pak Anies perlihatkan identitas bpk dgn jelas krn itulah power of sympathy,Khatibalatief,Banda Aceh,calon presiden berani tampil identity takut bayang banyangnya ragu anies lihat identitas power of sympathy
2022-12-17 19:06:46+00:00,1604191389033824256,"@archabandung @aniesbaswedan @NUgarislucu Gak usah khawatir. Banyak kaum Nahdliyyin yang dukung @aniesbaswedan . Kalau duet ama @AgusYudhoyono @PDemokrat , inSya Allah suara Jawa Timur masih bisa diraih...",abdul_majid0304,,khawatir kaum nahdliyyin dukung duet insya allah suara jawa timur raih
2022-10-05 09:27:19+00:00,1577591252069277697,Gubernur Jawa Tengah Ganjar Pranowo dan Gubernur Jawa Barat Ridwan Kamil merespons soal Gubernur DKI Jakarta Anies Baswedan terpilih jadi calon presiden (capres) 2024 dari Partai NasDem.Respon Ridwan Kamil lebih adem dan santun..https://t.co/qbITIAyqbt,Adriana4688,,gubernur jawa ganjar pranowo gubernur jawa barat ridwan kamil respons gubernur daerah khusus ibukota jakarta anies baswedan pilih calon presiden calon presiden partai nasional demokrat respon ridwan kamil adem santun
2018-01-06 04:01:55+00:00,949491191661277184,"Gabener @aniesbaswedan &amp; Wagabener @sandiuno dengan tega-teganya menipu rakyat Indonesia membentuk sendiri ""KPKgabener"" walaupun semua rakyat Indonesia tahu hanya ada @KPK_RI, sehingga tujuannya hanya fitnah @basuki_btp padahal mengaku Muslim tapi tega fitnah sesama secara kejam https://t.co/JfPyceIf68",ProfYLH,"Medan Kota, Indonesia",amp wagabener tega tega tipu rakyat indonesia bentuk kpkgabener rakyat indonesia tuju fitnah muslim tega fitnah kejam
2022-12-23 12:47:00+00:00,1606270146296700929,@R_min80 @aniesbaswedan Kadrun hina hidupnya penuh dgn kebohongan ... drun hidup lu hina banget,midris_sofyan,,kadrun hina hidup penuh bohong drun hidup hina banget
