,DateTime,Tweet Id,Tweet,Username,Location
0,2022-12-25 05:37:23+00:00,1606886804241907713,"𝐏𝐄𝐌𝐈𝐋𝐔 𝟐𝟎𝟐𝟒 𝐀𝐃𝐀𝐋𝐀𝐇 𝐌𝐎𝐌𝐄𝐍𝐓𝐔𝐌 𝐊𝐄𝐌𝐄𝐍𝐀𝐍𝐆𝐀𝐍 𝐆𝐀𝐍𝐉𝐀𝐑
Dalam survei, nama Ganjar Pranowo lagi-lagi menempati posisi teratas dengan angka 31,7 %, terpaut jauh dari Anies Baswedan (23,9%) dan Prabowo (23%

#ganjarpranowo
#ganjar_pranowo
#ganjarkita https://t.co/4yygtL9cPA",ganjaristbali,"Bali, Indonesia"
1,2022-12-25 04:19:41+00:00,1606867249255845889,"Anies Baswedan mantan gk bener mau jadi presiden
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/LGHocjXWw7",KimNana45945976,"Nusa Tenggara Barat, Indonesia"
2,2022-12-25 04:10:15+00:00,1606864879155318785,"Deal deal-an Anies Baswedan dan Rizieq
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/9JSlMphIMH",KimNana45945976,"Nusa Tenggara Barat, Indonesia"
3,2022-12-21 07:25:53+00:00,1605464559803932672,"Anies Baswedan melecehkan batik
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/ckf8tamOxB",KimNana45945976,"Nusa Tenggara Barat, Indonesia"
4,2022-12-18 11:51:19+00:00,1604444194365247488,@aniesbaswedan Apa yang Menyebabkan Ketua DPR BHS  Inggris Glebotan .Kaya Habis makan jengkol😆🕵️✍️ https://t.co/0SVJNfBmvV,GiantAtik,"Denpasar Selatan, Indonesia"
5,2022-12-13 05:30:42+00:00,1602536467762647040,"Sepakat dengan konsep pembangunan Pak @aniesbaswedan 
#GlobalCity",ags_irwansyah,"Mataram, Indonesia"
6,2022-12-12 07:32:40+00:00,1602204772748365829,"Curi start kampanye yaitu Anies Baswedan yang bobrok 
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#Prib https://t.co/r4EDDTnAJv",makmur92685455,"Nusa Tenggara Barat, Indonesia"
7,2022-12-12 07:30:32+00:00,1602204237899132928,"Anies Baswedan terlibat kontrak politik dengan HTI .. waspada
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLe https://t.co/QSzkXYFXtl",makmur92685455,"Nusa Tenggara Barat, Indonesia"
8,2022-12-11 04:41:02+00:00,1601799194247065600,"Pendukung Anies Baswedan bayaran semua
#HTIFPIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal
#PribumiLebihBerkualitas https://t.co/ZiHMKzMbFm",sapardi24213002,"Nusa Tenggara Barat, Indonesia"
9,2022-12-09 16:54:58+00:00,1601259118580314114,@aniesbaswedan https://t.co/v3RykczO1x,sdarwisbali,west tengku umar denpasar bali
