,DateTime,Tweet Id,Tweet,Username,Location
0,2022-12-28 12:53:11+00:00,1608083639665045505,"Ngucapin Selamat Natal pada Ribut , Anies BaswEdan dibaptis pada diem seribu bahasa .
Astagfirullah hal adzim , Anies . https://t.co/b5gAJqOZ8B",SultanH04160212,
1,2022-12-07 15:55:53+00:00,1600519474024566784,"Setuju Permintaan Bupati Pulau Seribu Soal PIK 2, PDIP Ungkit Kebijakan Anies Baswedan https://t.co/hhxuNtmf56",gembong_warsono,"DKI Jakarta, Indonesia"
2,2022-12-06 06:18:09+00:00,1600011693563998208,"Safari Politik ke Pekanbaru, Anies Baswedan Ceritakan Kesuksesan di Kepulauan Seribu https://t.co/Y60QDuwMtT",YuriEndah,
3,2022-12-05 21:02:37+00:00,1599871891459952640,"Oligarki Riza Chalid, Opung LBP dan Anies Baswedan itu main dua kaki bahkan kaki seribu. Cebong Kadrun cuma dapet rengginang doang 
😂😂😂
Tren: save ekonomi kerakyatan Brazil  Jepang Korea Laksamana Maesa Richarlison #PestaBolaDunia https://t.co/C5C6rHQj3G",FajarGadot,"DKI Jakarta, Indonesia"
4,2022-12-05 01:14:09+00:00,1599572804621697025,"VIRAL SERIBU PAYUNG SAMBUT ANIES BASWEDAN DI PADANG, GUYURAN HUJAN MEMBA... https://t.co/5IAGEGNzE3 lewat @YouTube",anda_refli,
5,2022-12-03 18:06:30+00:00,1599102791930511360,"Anies Baswedan Senang Diajarkan Cara Meracik Kopi Khas Aceh.

“Minum kopi telah menjadi budaya di Aceh. Serambi Mekkah ini juga dijuluki negeri seribu kedai kopi. Kedai kopi telah menjadi ruang ketiga bagi masyarakat Aceh.” 

https://t.co/T194MyUnXi",Simanjunta9Nico,
6,2022-12-03 15:48:10+00:00,1599067979366297600,"@panca66 Terus maju Nasdem dan pak Anies, seribu persen rakyat akan memilih kalian untuk kemajuan Indonesia..jgn dibodohin terus sama partai wong licik, semakin dianiaya semakin rakyat rakyat bersimpati pada Nasdem dan pak Anies Baswedan",pemburu__tikus,
7,2022-11-17 00:54:35+00:00,1593044895647686656,"@NasDem Hilang satu cebong dr Nasdem, masuk seribu kadrun fans fanatik Anies Baswedan 
Dulu dukung Gerindra, kali ini sumbang 2 suara (laki bini) buat Nasdem 💪",BudiRaynor,"Jakarta, lndonesia"
8,2022-11-16 22:34:52+00:00,1593009735741366272,@firzahusainInc Seribu fakta keberhasilan Anies Baswedan tidak bisa meyakinkan cebong yang bodoh.,MURSALIN2045,
9,2022-11-08 07:26:05+00:00,1589881932334395392,Ada Berapa Pulau di Kepulauan Seribu dan Berapa yang Berpenghuni? Ini Kata Anies Baswedan - https://t.co/eOKaiaSy6t https://t.co/dJMH4tYW6P,WisataPulau1000,Jakarta
