,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-10-12 03:35:51+00:00,1580039519608324096,"PAKAR HUKUM PASTIKAN ANIES BASWEDAN BAKAL PAKAI BAJU ORANGE KPK

#AniesNasdemOut #TenggelamkanNasdem #TenggelamkanAniesNasdem
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies

Aliansi Mahasiswa Nusa Tenggara Barat https://t.co/aGz5E8MMIf",kiethasumo,"Nusa Tenggara Barat, Indonesia",pakar hukum anies baswedan pakai baju orange komisi berantas korupsi aliansi mahasiswa nusa tenggara barat,Marah
1,2022-10-11 13:26:14+00:00,1579825705843535874,"@sutanmangara Bali tenggelam, salah pak anies, cilacap ke lelep .. salah pak anies, lebak banten porak poranda..lagi2 salah pak anies...begitu lah klo pemimpin kebanyakan prestasi, bikin lawan mencret dan panuan.",Darisrizal06,,bal tenggelam salah anies cilacap lelep salah anies lebak banten porak poranda salah anies pimpin prestasi bikin lawan mencret panuan,Sedih
2,2019-07-26 12:46:07+00:00,1154734642517254145,"Jujurlah Padaku Bang @aniesbaswedan, apa yang anda rasakan ketika dulu anda dengar ada anak2 kecil menyanyikan “Bunuh, bunuh, bunuh si Ahok, bunuh si Ahok sekarang juga” 

Dan sejak saat itu Anda menang.",JKW2SAJA,"Bali, Indonesia",jujur bang dengar anak nyanyi bunuh bunuh bunuh sih ahok bunuh sih ahok menang,Marah
3,2020-02-25 04:34:27+00:00,1232161916379774976,"@danimurdani54 @Netizen_Ortega @Iqbal62118712 @12m3ly @aniesbaswedan @jokowi Jawaban yang tidak jelas dan tidak on point.
Jakarta doang yg bermasalah kota yg lain adem ayem aja.
Masalahnya ya siapa lagi kalo bukan???
Jawab aja sendiri",ChrizyaneldL,"Denpasar, Bali",on point jakarta doang kota adem ayem ya,Senang
4,2022-10-04 14:56:09+00:00,1577311619130208256,"@niluhdjelantik @NasDem Anies Baswedan akan menggelontorkan puluhan juta pendukungnya untuk Nasdem dari seluruh Indonesia, banyakan mana sih, emangnya penduduk Bali sampai ratusan juta.. hehehe yg logis aja berfikir nya..",DefrizonZ,,anies baswedan gelontor puluh juta dukung nasional demokrat indonesia sih duduk bal ratus juta hehe logis pikir nya,Marah
5,2021-08-12 23:33:41+00:00,1425963733898076160,"@marlina_idha Alhamdulillah Mantap , kerja nyata no kaleng kaleng.Selamat buat warga DKI dan wabilkhusus pak Anies.Walaupun sy bukan warga DKIi kut senang.Sebab Jakarta adalah barometernya Indonesia.
Salam hangat dari Bali.",MuriyantoYayang,Denpasar Selatan,alhamdulillah mantap kerja nyata no kaleng kaleng selamat warga daerah khusus ibukota wabilkhusus anies warga dkii kut senang jakarta barometer indonesia salam hangat bal,Senang
6,2020-02-25 08:11:09+00:00,1232216449445318657,"@diuisi @Iqbal62118712 @12m3ly @aniesbaswedan @jokowi Buat apa ada kata blusukan, dan masalah yang sering terjadi ini masalah klasik. Harusnya ada sosialisasi dari RT, RW lurah atau camat untuk para warga dilingkungan tersebut.",ChrizyaneldL,"Denpasar, Bali",blusuk klasik sosialisasi rt rukun warga lurah camat warga lingkung,Sedih
7,2022-10-10 02:06:57+00:00,1579292369815736320,"Bagus bali merdeka Hengkang Habis Pengusungan Anies Baswedan, Eks Elite NasDem: Tak Akan Dukung, Umat Hindu Terancam! https://t.co/t2d9Vgz7TE",agungxraka,,bagus bal merdeka hengkang habis usung anies baswedan eks elite nasional demokrat dukung umat hindu ancam,Marah
8,2021-10-25 12:54:41+00:00,1452619625213022209,"@hansssolo Cuman  Pertemuan  G 20  .. Helatannya  di Bali.. 
   Kalo  di Jakarta   Takutnya  ..
anies baswedan  Pidato  sebagai  Tuan rumah.",HenrynicoP,,temu helat bal jakarta takut anies baswedan pidato tuan rumah,Sedih
9,2021-12-13 00:23:20+00:00,1470187548106387456,@ZayMZainudin yg itu jelas2 tujuanmu untuk pak anies padahal itu kejadian masa pak ahok...kamu sebenranya manusia atau binatang hina ga sih? ngeri banget gue liatnya sebaran fitnah anda..ga terhitung..ini di tnggapin juga...ini di Bali knp jadi anda bilang di jakarta? bangga banget ngefitnah https://t.co/ZaUnbpnCnx,RahmatAlfian09,"Balikpapan Selatan, Indonesia",tuju anies ahok manusia binatang hina sih ngeri banget gue lihat sebar fitnah hitung tnggapin bal bilang jakarta bangga banget ngefitnah,Marah
10,2021-05-23 08:30:30+00:00,1396383022212009985,"@taqe_dier @arnoldy1230 @Dennysiregar7 @aniesbaswedan @DKIJakarta Sembahan Lo itu minum tu kencing onta...bipang sumatera Kalimantan Bali p,Maluku papua dimakan pe""ak......
JD kadrun nanggung",BoyId22,,sembah minum kencing onta bipang sumatra kalimantan bal p malu papua makan pe kadrun tanggung,Marah
11,2019-04-27 15:37:25+00:00,1122162842545704962,"@dangerbrownes @aniesbaswedan Hahaha... 
Kelas bajaj 2 tak, asap ngebul tapi ga bisa lari 😄",Owaala,"Jembrana, Bali",haha kelas bajaj asap ngebul lari,Sedih
12,2020-04-09 08:08:06+00:00,1248160745818185729,"@trika_ratih @HyEvan1 @Dennysiregar7 @aniesbaswedan buktinya ...

Jakarta data covid 19 tebesar...",Handoko75161314,Denpasar Bali,bukti jakarta data covid tebesar,Marah
13,2018-11-08 08:39:11+00:00,1060451654670024704,"@RabbaniProjects @aniesbaswedan @jokowi Tempe ? Tempe, ekonomi ? ekonomi, dp nol ? Do nol  , import ? import and .....",always_yan,"Bali, Indonesia",tempe tempe ekonomi ekonomi uang muka nol do nol impor impor and,Marah
14,2022-11-05 11:20:47+00:00,1588853831592730625,"@HelmiFelis_ Hahaha mendadak toleransi, woii lo ngak Tau dedengkot petamburan pernah maki2 orang Hindu di Bali, yang dimana organisasi terlarang itu yang Ada di belakang @aniesbaswedan",FidyViola,,haha dadak toleransi oi tau dedengkot tambur maki orang hindu bal organisasi larang,Marah
15,2020-01-14 15:10:51+00:00,1217101780913254400,"@fahiraidris @aniesbaswedan Solusinya sudah ada...tinggal lanjutkan program yg sudah jalan....klo ada solusi lain jalanin, jangan diajak diskusi.",Noegraha_AB,Denpasar or Bandung,solusi tinggal program jalan solusi janani ajak diskusi,Senang
16,2022-10-04 07:15:04+00:00,1577195584229765121,@bobby_risakotta @niluhdjelantik @NasDem Bali identik non muslim mereka tidak akan memilih Capres yg muslim. Abaikan saja Bali pak Anies. https://t.co/ADc3hhPwZU,Jon_de_Ababiel,,bal identik non muslim pilih calon presiden muslim abai bal anies,Marah
17,2022-05-08 03:35:37+00:00,1523144564303081475,"@bhangantho @Persija_Jkt @aniesbaswedan Ya sebut kan tong klub di Indonesia yg gak nyewa Makai gratisss....
Ini tahun 2022 tong klub profesional tidak pakai dana APBD....
Bali U aja nyewa jangka panjang...
Maguwo yg bawa nama Sleman aja nyewa ke Pemda....pikiran kalau di dasari kebencian serasa jelek",Ari67724727,,ya tong klub indonesia sewa gratis tong klub profesional pakai dana anggar belanja daerah bal sewa jangka maguwo bawa nama sleman sewa perintah daerah pikir dasar benci serasa jelek,Marah
