,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-11-19 23:44:19+00:00,1594114375740448768,@alisyarief @Neng_Anyar @aniesbaswedan Mestinya yg tunjuk kaum kadrun biar gerombolannya bisa makan terus🤣🤣🤣🤣,likhanhan23,"DKI Jakarta, Indonesia",mesti kaum kadrun biar gerombol makan,Marah
1,2020-05-12 02:44:40+00:00,1260038150971224067,"Monitoring Pengawasan Kegiatan Sopel Dipo PIK Penggilingan Mobil 1346T, selasa, 12 mei 2020
@aniesbaswedan @Herwansyah @yogiikhwan @MumuhMulyana4 @dinaslhdki @SudinLHTimur @ProKlim_KLHK
#DinasLHDKI 
#PSBBJakarta
#YukPakaiMasker 
#Dirumahaja 
#LawanCovid19
#JakartaTanggapCorona https://t.co/xU9jYjStlj",DinsihCakung,"Jakarta Timur, DKI Jakarta",pantau awas giat sopel dipo pik giling mobil t selasa mei,Sedih
2,2022-01-01 11:37:32+00:00,1477242584342810624,@kebijakananies @aniesbaswedan Tapi walaupun dan bagaimanapun juga Jakarta jadi keren skrg.. apalagi klo pas motoran malem2..lighting nya bagus bgt terutama Sudirman-Blok M..congrats Pa @aniesbaswedan semoga amanah,vickyflo5th,jakarta,jakarta keren pas motor malam lighting nya bagus banget utama sudirman blok selamat moga amanah,Senang
3,2022-10-01 07:39:44+00:00,1576114628769128448,@VifeVife @aniesbaswedan @Disdik_DKI @DKIJakarta Sebenarnya tuh dari PSSI tidak loloskan emang Mana stadion punya sendiri nggak sewa wkwkwk,Rifqizuhdi281,"DKI Jakarta, Indonesia",pssi lolos stadion sewa wkwk,Senang
4,2022-08-17 23:08:48+00:00,1560040981583769600,"Kata Pak @aniesbaswedan di Jakarta semua rumah dg nilai NJOP di bawah Rp 2 miliar, maka PBBnya dinolkan.

Dg digratiskannya PBB, maka 85 persen dari rumah di Jakarta tidak perlu membayar Pajak Bumi &amp; Bangunan, sementara 15 persen masih harus bayar sesuai dg ketentuan.

The Best",fahiraidris,DKI Jakarta,jakarta rumah nilai njop rupiah miliar pbbnya nol gratis pbb persen rumah jakarta bayar pajak bumi amp bangun persen bayar sesuai the best,Marah
5,2022-12-22 16:34:48+00:00,1605965086157197317,"@ekowboy2 mantan pendukung prabowo yang sekaramg jadi Buzzer @aniesbaswedan   Pernah Di tangkap polisi Kasus HOAX erver KPU.,.  Watak yang dukung sama sama. tukang Hoax. https://t.co/QPAQL2Q063",annozaen,"DKI Jakarta, Indonesia",mantan dukung prabowo sekaramg buzzer tangkap polisi hoaks erver komisi pemelihan watak dukung tukang hoaks,Marah
6,2020-05-03 13:18:14+00:00,1256936104562798593,"Tuntas pul grobak Rw 03 jln, cacing cakung timur, Minggu, 03 mei 2020 
@aniesbaswedan @Herwansyah @yogiikhwan @MumuhMulyana4 @dinaslhdki @SudinLHTimur @ProKlim_KLHK
#DinasLHDKI 
#PSBBJakarta
#YukPakaiMasker 
#Dirumahaja 
#LawanCovid19
#JakartaTanggapCorona https://t.co/TJYU7g4DI2",DinsihCakung,"Jakarta Timur, DKI Jakarta",tuntas pul grobak rukun warga jalan cacing cakung timur minggu mei,Sedih
7,2020-02-27 18:23:39+00:00,1233095363734560768,"@msaid_didu @aniesbaswedan Tolak dan tolak , pembangunan ibukota baru akan sia sia , pasti rakyat banyak yang menolak",AhmadSa52701343,Jakarta ,tolak tolak bangun kota rakyat tolak,Marah
8,2020-02-27 04:17:41+00:00,1232882472540655616,"@azumi_tsuyoshie @Anti_Kacung @eko_kuntadhi @aniesbaswedan Saya jg bingung knp Rk yg marah, even itu yg bloon camatnya tp kan dia bikin bahan becandaan srimulat,coba bandingin sm pernyataan goblok rahmat hs soal banjir yg tjd dihari libur,pdhal anies ga bikin itu jd becandaan eh ttp aja dia yg dibully gerombolannya di kuntet😅😅😂",GundiDr,"Jakarta Capital Region, Indonesia",bingung rk marah even camat bikin bahan canda srimulat coba banding nyata goblok rahmat hs banjir libur anies bikin canda eh dibully gerombol kuntet,Marah
9,2020-04-18 22:59:43+00:00,1251646619000270848,"Kegiatan mencuci armada 1488 T di UPST Bantar Gebang

Minggu, 19 april 2020

@aniesbaswedan @Herwansyah @yogiikhwan @mmmulyana39 @dinaslhdki @SudinLHTimur @ProKlim_KLHK
#DinasLHDKI 
#PSBBJakarta
#YukPakaiMasker
#Dirumahaja 
#LawanCovid19
#JakartaTanggapCorona https://t.co/wAjdyXFss9",DinsihCakung,"Jakarta Timur, DKI Jakarta",giat cuci armada t upst bantar gebang minggu april,Sedih
10,2022-10-16 07:29:28+00:00,1581547861149245440,"5 Tahun @aniesbaswedan sangat membekas di Jakarta. Kalau dia koruptor, sumpah serapah, petentengan,  plonga plongo, pasti tidak akan ada pengantaran masyarakat seperti ini. Cuma prestasi  berakhlak mulia, yg akan dikenang warga Jakarta.
Selamat, anda layak jadi Persiden RI. https://t.co/J453QRXz9d",IsmanTengku,Jakarta,bekas jakarta koruptor sumpah serapah petenteng plonga plongo masyarakat prestasi akhlak mulia kenang warga jakarta selamat layak presiden ri,Senang
