,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-05-09 05:44:25+00:00,1523539364395237377,Anies Baswedan .. jelas asal usul d prestasinya.. terlihat jelas jkarta bahagia dipimpin Anies Baswedan,yudar30,,anies baswedan usul prestasi lihat jakarta bahagia pimpin anies baswedan,Senang
1,2020-03-26 15:59:04+00:00,1243205837922820097,Pasar Tanah Abang Tutup Sementara Mulai Besok https://t.co/GXgond8UBa @DKIJakarta @aniesbaswedan @psr_tanahabang @YLKI_ID,imam_rachman_,,pasar tanah abang tutup besok,Sedih
2,2020-03-28 11:35:06+00:00,1243864185961766913,"Hari ini kantor pada mogok kerja krn kebijakan perusahaan yg tdk mau menjalankan kebijakan WFH...

WFH aja ga mau 
Apalagi lockdown...

Paham knp tingkat kematian di Indonesia tinggi,..krn pengusahanya begini mentalnya...

@aniesbaswedan 
@DKIJakarta 
@Disnaketransdki",AlGhuyub,"Jawa Barat, Indonesia",kantor mogok kerja bijak usaha jalan bijak wfh wfh lockdown paham tingkat mati indonesia usaha mental,Marah
3,2019-11-26 01:36:35+00:00,1199139857869631488,@dhikaku1 @AbyMaula @permadiaktivis @ustadtengkuzul @aniesbaswedan Janganlah sok benar. Dasarnya apa menyebut buku amal? Dasarnya apa menyebut orang penista agama?,petromak_lampu,Bogor District - West Java,sok dasar buku amal dasar orang nista agama,Sedih
4,2019-07-26 16:42:58+00:00,1154794249960820738,"THE GOLOK||lord of bedog Barlen ciung wanara
karya anak gunung yang menoreh dunia..karena kesederhanaan itu selalu memancarkan torehat yg Alami ..@aniesbaswedan @fahiraidris @ZyahrinaR https://t.co/KWqDvmif1D",IbrahemmRecka,,the golok lord of bedog barlen ciung wanara karya anak gunung toreh dunia sederhana pancar torehat alami,Senang
5,2022-01-23 02:37:17+00:00,1485079160146251776,"@JimmySitorus9 @aniesbaswedan Kalau sudah sering menjalankan kebohongan maka orang akan kesulitan membedakan kenyataan dan kebohongan, mungkin Pak Anis saat ini mengalami problem itu, jalan keluarnya mungkin Psikiater bisa sedikit membantu, ini mungkin lho...tetapi saya pesimis.",Yosudarsoo,,jalan bohong orang sulit beda nyata bohong anis alami problem jalan psikiater bantu lo pesimis,Marah
6,2022-12-24 00:41:15+00:00,1606449892939157505,"Capres - Cawapres potential di pilpres 2024. Ganjar Pranowo &amp; Erick Thohir 33,1% Anies Baswedan &amp; Agus Harimurti Yudhoyono 27,5% Prabowo Subianto &amp; Muhaimin Iskandar 25,5%

#BangkitBersamaET 
@erickthohir https://t.co/EUUO3fHZ12",pahlevi0884,,calon presiden calon wakil presiden potential pilih presiden ganjar pranowo amp erick thohir anies baswedan amp agus harimurti yudhoyono prabowo subianto amp muhaimin iskandar,Marah
7,2018-06-23 07:06:50+00:00,1010418888348057600,@dimasprakbar @Ghoz4ly @aniesbaswedan Semoga mengangkat penyakit beliau aamiin,supriyatna_aki,kota depok,moga angkat sakit beliau amin,Sedih
8,2020-03-16 02:21:03+00:00,1239376101744336896,Tolong dong Pak Gubernur @aniesbaswedan gak semua kantor mengeluarkn kebijakan WFH. Keputusan armada bus justru bikin org makin berdesakan. Kecuali Bpk menghimbau untuk mewajibkan semua kantor utk WFH. Terima kasih.,bluemoonli9ht,,tolong gubernur kantor mengeluarkn bijak wfh putus armada bus bikin orang desa kecuali imbau wajib kantor wfh terima kasih,Marah
9,2022-04-07 04:13:03+00:00,1511919962490740737,"@ferdymad @candraawiguna @sociotalker @aniesbaswedan @ArizaPatria @DKIJakarta Ini yang bikin berita mati suri apa gimana yak? 
Kann tahun2 itu corona 😥. 
Dan bahkan ada yang 100 wfh. Yaa sepi dong jalan",Teuku_dedi,,bikin berita mati suri ya corona wfh ya sepi jalan,Sedih
