,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-03-04 23:01:18+00:00,1499882707027128323,"@sitajir89 @geloraco @aniesbaswedan Gubernur sebelum nya juga berperan besar dalam pembangunan DKI Jakarta ga hanya Anies aja. Dimulai dari Bang Yos, Pak Foke, Pak Jokowi, Pak Ahok, dan Pak Anies",RifkiTommy1,,gubernur nya peran bangun daerah khusus ibukota jakarta anies bang yos foke jokowi ahok anies,Senang
1,2022-06-13 14:53:31+00:00,1536361126744580097,"Ganjar - Erick ataupun Erick - Ganjar ..., SAMA SAJA 
yang penting ... JANGAN CARI ORANG MACAM ANIES BASWEDAN ...😝🤮 https://t.co/VKwxofSRlt",SoebektiSoehar8,,ganjar erick erick ganjar cari orang anies baswedan,Marah
2,2022-01-31 13:25:42+00:00,1488141442178744321,@fighter97177651 @redi12113778 @mbooohh_y @Deswant67501851 @Giring_Ganesha @AgusYudhoyono @aniesbaswedan @GeiszChalifah @KPK_RI @jokowi Ini orang2 NU yg mengapresiasi bkn kyak loe bong. Anies emg kenyang dgn apresiasi beda dgn sebelah msh lapar apresiasi krn tdk kerja cm kluyuran utk pencitraan.🤣😂🤣😂,HinduanTahir,,orang nu apresiasi bong anies kenyang apresiasi beda belah lapar apresiasi kerja kluyuran citra,Senang
3,2018-02-15 13:02:31+00:00,964122751320522754,@kangdede78 @JKFC23456789 @aniesbaswedan @triwul82 @Owaala @BadjaNuswantara @DjanChoek @RizmaWidiono @P3nj3l4j4h @JajangRidwan19 @4Y4NKZ @nisayoghutr Mungkin gunakan bahasa tarzan agar bisa beradaptasi dg air....heheheh,Soleima12796290,"Sidoarjo, Indonesia",bahasa tarzan adaptasi air hehe,Senang
4,2022-07-01 14:59:40+00:00,1542885658099732480,@brongkosh @aniesbaswedan @PerhimpunanINTI @kotajakbar @disbuddki @JakartaTourism @DKIJakarta Oke Oce mart niku nopo gih🙏,utamigoatmilk,"Jombang, Indonesia",oke oke mart niku nopo gih,Senang
5,2022-05-30 13:29:07+00:00,1531266455999631360,"@Swg_art47 Stop bicarakan tuyul Anies Baswedan sebab aku mau muntah lihat orangnya karena Tuyul Anies MASIH TERJERAT URUSAN DGN KPK. ---&gt;&gt;  Lebih baik siapkan calon mu yang elegan seperti Riduan Kamil, Hartarto, Prabowoapa si LGBT Mardani Alisera dan  Sandiaga. https://t.co/8MaonNefyQ",SoebektiSoehar8,,stop bicara tuyul anies baswedan muntah lihat orang tuyul anies jerat urus komisi berantas korupsi calon mu elegan ridu kamil hartarto prabowoapa sih lgbt mardani alisera sandiaga,Marah
6,2018-06-07 03:49:29+00:00,1004571016926908416,@RizmaWidiono @basuki_btp @aniesbaswedan @sandiuno Hanya orang yg bodoh klw bandingin Ahok dg A SU...,2020_STMJ,surabaya,orang bodoh banding ahok a su,Marah
7,2018-08-04 12:50:08+00:00,1025725572922531841,"Pelican crossing emang berdampak banyak ya, keren pak @aniesbaswedan setuju banget sama kebijakan ini selain estetika karena patung bundaran HI kehalang, lansia juga ga perlu capek capek lewat JPO",rahmathidayth,"Sidoarjo, Indonesia",pelican crossing dampak ya keren tuju banget bijak estetika patung bundar hi halang usia cape cape jpo,Senang
8,2021-03-20 12:24:35+00:00,1373249106974412800,"Aku Pak Anies Baswedan bingung 😕 😣 harus bagaimana, Udah udah kasian saudara kita yang kebingungan untuk pukul mundur lawan politiknya. 🙈😁 https://t.co/OcANFICpri",EkoFirman20,,anies baswedan bingung kasihan saudara bingung mundur lawan politik,Sedih
9,2022-05-08 22:36:35+00:00,1523431698498670592,@WagimanDeep212_ @Christi28566166 @kowel29 @permaisuri_id @aniesbaswedan Aneh ya dan gak masuk akal tapi itu omongan profesor lho???,Jusup_Rianto,Surabaya,aneh ya masuk akal omong profesor lo,Marah
