,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-12-28 21:55:52+00:00,1608220214159888384,@04_zainal @aniesbaswedan  ini rekam jejaknya nis?,zaidanrhaka21,,rekam jejak nomor induk siswa,Bahagia
1,2022-12-27 08:15:05+00:00,1607651267048017925,@LANGKAHANIES @aniesbaswedan Lg diajarin Pelajaran Bahasa Indonesia kelian,SDaltanzul,,ajar ajar bahasa indonesia kelian,Bahagia
2,2022-12-30 00:04:06+00:00,1608614871238860800,"@yusuf_dumdum sy pinjam bank 200jt, angsuran sktr 3.2jt sdh 8thn berjalan dan kurang 2thn mw dilunasi l, sy harus bayar 72jt ini bank pemerinta mungkin klo swasta bs lbh parah lagi.. menghadapi bank tidak semua kata wan ngibul @aniesbaswedan",blueband2000,,pinjam bank juta angsur juta jalan mw lunas l bayar juta bank pemerinta swasta parah hadap bank wan tipu,Marah
3,2022-12-25 12:55:06+00:00,1606996960141279232,@firzahusainInc @aniesbaswedan masih capres cebong udah bengong ... @aniesbaswedan jadi presiden cebong langsung sekarat,Azis14778689,,calon presiden cebong bengong presiden cebong langsung sekarat,Bahagia
4,2022-12-26 06:01:07+00:00,1607255163689132033,"@aniesbaswedan Selamat jln babe ku, smga arwahmu diterima oleh allah swt dan diampuni segala dosa2 didinia ini Aamin 🤲",wwn27682152,,selamat jalan babe ku moga arwah terima allah subhanahu wa taala ampun dosa nia amin,Bahagia
5,2022-12-29 16:35:29+00:00,1608501973481041921,"@PUTRI_41708 @aniesbaswedan rekam jejak jd gubernur bisanya NGOMONG TOK.
hasil Sampah.",go7sien,,rekam jejak gubernur bicara tok hasil sampah,Bahagia
6,2022-12-29 23:12:25+00:00,1608601864005877760,"Di DKI.. Pak Ahok pernah melakukan pencegahan korupsi dengan peran digital lewat e-budgetting... Rapat terbuka dan selalu diposting di Youtube.. Rakyat jadi tau dan bisa mengawasinya..

Anies Baswedan merusak dan menutupnya..",sinagano2,,daerah khusus ibukota ahok laku cegah korupsi peran digital e budgetting rapat buka diposting youtube rakyat tau awas anies baswedan rusak tutup,Marah
7,2022-04-11 11:12:00+00:00,1513474946743226368,@MardaniAliSera @aniesbaswedan Mosok diperpanjang   bahkan membidani demo  penolakan 3 periode   aduh  pak  hanya harta dan jabatan ya  kaenap gak belajar sama tukan kayu lapar haus itu biasa.....kan anjing,Pithenk1,"Yogyakarta, Indonesia",bidan demo tolak periode aduh harta jabat ya kaenap ajar kayu lapar haus anjing,Marah
8,2022-12-30 11:52:41+00:00,1608793192442523649,"PDIP diprediksi akan memajukan Puan Maharani sebagai capres di ajang pemilu 2024 mendatang meski harus berhadapan dgn Anies Baswedan. PDIP dinilai telah lama memoles citra Puan.

Puan Capres PDIP
https://t.co/YHfLt5AMxz",HerlinDude,,partai demokrasi indonesia juang prediksi maju puan maharani calon presiden ajang pilih hadap anies baswedan partai demokrasi indonesia juang nilai moles citra puan puan calon presiden partai demokrasi indonesia juang,Bahagia
9,2022-12-25 01:41:12+00:00,1606827368429281281,"@OverseasIndomie @MauritsAlberth @kartarahardja @aniesbaswedan Udah jelas itu, kalo benaran Akademisi kayanya itu para guru dan dosennya nyesal tuh ngelulusin matakuliahnya, kok ada Akademisi sedongok itu. Wkwkkw",RahmatF81133623,,akademisi guru dosen sesal ngelulusin matakuliahnya akademisi dongok wkwk,Sedih
