,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-10-11 17:49:47+00:00,1579892027977711616,Lawan Belum di Ketahui tapi Ganjar anies auto wins #AniesBaswedan #AniesPresiden2024 #Pilpres2024 @aniesbaswedan,RanggaRusak,,lawan ganjar anies auto menang,Marah
1,2018-08-14 01:46:37+00:00,1029182472506957825,@GeroIndonesiaku @juarazr @PT_TransJakarta @JSCLounge @aniesbaswedan @sandiuno @DKIJakarta @jokowi @kemenhub151 @jakpost @detikcom @CNNIndonesia @liputan6dotcom @tvOneNews @OfficialiNewsTV @Metro_TV @qluesmartcity @LambeTurah_RPs @ChangeOrg_ID Tidak ada pengecekan dan bus cadangan kayaknya makanya pake yang itu itu aja sampai mati mesin nya,Tiosfer_TOP,Balikpapan - Malang - Malaysia,kece bus cadang kayak pakai mati mesin nya,Bahagia
2,2020-01-02 00:48:37+00:00,1212536134892314624,@BUNDRISH @yusuf_dumdum @aniesbaswedan Jadi warga jkt harus smart....omonganmu kurang bermutu,PakTuasudahlah,"Balikpapan Tengah, Indonesia",warga jakarta pintar omong mutu,Marah
3,2022-07-25 23:50:24+00:00,1551716526637559808,@Dawgs000 @KPK_RI @aniesbaswedan @KemenPU @ftmd_itb @jtsits Ini msh awal bakal ada lg si bsok2 mnurut gw..bhkn yg ditakutkn bs jd ada korban dr pemnbngunan jis kbnggan kadrun baru mulai diselidiki hahaha,om_omreg,"Balikpapan Selatan, Indonesia",sih besok gue ditakutkn korban pemnbngunan jis kbnggan kadrun selidik haha,Marah
4,2019-11-07 07:38:24+00:00,1192345540186394624,"@kompascom Berfoto &gt; Fungsi 

Ladies and gentleman, let me introduce you governor JKT52 Mr.@aniesbaswedan",GarrethMaudys,,foto fungsi ladies and gentleman let me introduce gubernur jakarta mr,Bahagia
5,2020-03-06 11:39:45+00:00,1235892821892009986,@01Hariyan @mbahCokro77 @jokowi @aniesbaswedan Ojo lali lek jum' atan gowo sajadah ......😄😄😄😄😄😄,PakTuasudahlah,"Balikpapan Tengah, Indonesia",ojek online lali lek jum atan gowo sajadah,Bahagia
6,2019-06-11 01:18:11+00:00,1138254066201444354,@ArieCP_Official @aniesbaswedan Emang nya loe siapa. Loe kalau masih bau kencur gak usah ngajarin orang tua. Pantesan aja otak loe kosong sesuai sent an batok kepala loe,fredjonhar,,nya bau kencur ajar orang tua otak kosong sesuai sent an batok kepala,Marah
7,2022-10-28 09:59:15+00:00,1585934209612648453,"Temui Isran Noor di Balikpapan, Anies Baswedan Terbang ke Solo, Ini Agenda Capres Partai Nasdem di Kota Jokowi - Serang News - Serang News https://t.co/Q05y9Zpqoq https://t.co/Kip9ah453K",Info_BPN,Kota Balikpapan,temu isran noor balikpapan anies baswedan terbang solo agenda calon presiden partai nasional demokrat kota jokowi serang news serang news,Marah
8,2020-02-25 01:46:21+00:00,1232119610004000768,"@MrsRachelIn @GunRomli @aniesbaswedan Yg muja halu yg di puja tambah halu ....

Jadi halu berjamaah",PakTuasudahlah,"Balikpapan Tengah, Indonesia",muja halu puja halu halu jemaah,Marah
9,2019-07-23 10:11:25+00:00,1153608547457888256,@jansen_jsp @ABCDenii @aniesbaswedan @DishubDKI_JKT ngga ada polisi lewat? hello polisi ada ngga sih layanannya buat lapor?,andikarynd,,polisi halo polisi sih layan lapor,Marah
10,2020-01-14 18:17:52+00:00,1217148842417635328,"@SopyanIskanda17 @RizmaWidiono @aniesbaswedan Pasar Minggu
Nulisnya salah om
Yang betul Balikpapan",BambangHerlandi,Balikpapan,pasar minggu tulis salah om balikpapan,Bahagia
