,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-06-25 09:34:41+00:00,1540629544109223936,@Ari3Pras @aniesbaswedan Sama dengan BP proklamator RI yaitu bung Karno karena ada kiprah buah pikiran tulisan dan perbuatan beliau memproklamirkan kemerdekaan RI.,UsmanAbdS1,,proklamator ri karno kiprah buah pikir tulis beliau memproklamirkan merdeka ri,Senang
1,2019-10-30 06:43:37+00:00,1189432650424934400,@permadiaktivis @aniesbaswedan @KPK_RI @DKIJakarta @jokowi Anis Anis... Dasar manusia munafik,Paolo95954454,,anis anis dasar manusia munafik,Marah
2,2019-12-15 18:11:11+00:00,1206275527377424384,@willtumariti36 @BuuloloArianto @ingga271078 @aniesbaswedan 😅😅😂🤣 ohhh iyaaa kan seiman.! Z hampir lupa ale.,JeckyWelikin,"Papua, Indonesia",ohhh iya iman z lupa ale,Sedih
3,2020-03-26 12:35:06+00:00,1243154511222304768,@ANDINI_MAHARAN1 @aniesbaswedan Di bayar untuk demo gubernur DKI..?? Ko salah tulis ini baaa 😅😅🤪 ko lucu sekali demi.. 😂🤣  otak nasi bungkus ini .. 🤢🤮,JeckyWelikin,"Papua, Indonesia",bayar demo gubernur daerah khusus ibukota salah tulis baaa lucu otak nasi bungkus,Marah
4,2022-10-18 01:55:55+00:00,1582188697856151552,"Anies Baswedan Si Pembohong warga Jakarta

#AniesNasdemOut #TenggelamkanNasdem #TenggelamkanAniesNasdem
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesGabenerPembohong
#KagagalanAniesituNyata 
Papua https://t.co/QY8u5txWTb",Janaejelita,Papua,anies baswedan sih bohong warga jakarta papua,Marah
5,2020-04-28 12:13:38+00:00,1255107906745167873,"@KakekHalal @aniesbaswedan Survey sesuai pesanan, tergantung siapa yang bayar, survey berdasarkan metodologi rupiah.",AkifLessy,Papua New Guinea,survei sesuai pesan gantung bayar survei dasar metodologi rupiah,Marah
6,2022-10-26 04:33:43+00:00,1585127510064664576,"Bersatu Demo Anies Baswedan! Rakyat Papua mengutuk Anies jadi babi

#AniesNasdemOut #TenggelamkanNasdem #TenggelamkanAniesNasdem
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesGabenerPembohong
#KagagalanAniesituNyata https://t.co/Cw6PF4wBGZ",Janaejelita,Papua,demo anies baswedan rakyat papua kutuk anies babi,Marah
7,2022-06-23 09:48:13+00:00,1539908175037468673,"@yusuf_dumdum @aniesbaswedan Ini namanya solusi mengatasi banjir,,,, biar saat hujan di jakarta ntar air hujannya nyasar ga ketemu alamat yg lama,,, muter muter sampe puyeng trus masuk ke bumi,,, ga jadi dong banjirnya
(Salah alamat) 🤣🤣🤣 https://t.co/D6WFTnXena",NicolaasIsmael,,nama solusi banjir biar hujan jakarta air hujan sasar ketemu alamat puter puter puyeng masuk bumi banjir salah alamat,Sedih
8,2019-06-01 03:08:25+00:00,1134657927002804224,"@Dennysiregar7 @aniesbaswedan 😂😂😂muja, muji, muju, muje, mujo opo lainnya sob...",andry_papua,Jayapura,muja muji muju muje mujo bro,Marah
9,2022-11-24 04:22:44+00:00,1595633994242363392,"Kota Palu Menolak Kedatangan Anies Baswedan..!!
 
#HTIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesBaswedan
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/Z5oHdo9MA5",cegi_feby,Papua ,kota palu tolak anies baswedan,Sedih
