,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-12-18 05:51:47+00:00,1604353715971837952,"@Dewoslt @Ghadin_Pghabu @Tafonao2 @ekowboy2 @aniesbaswedan Saya memilih sesuai rekam jejak, hanya saja pilihan 1 dibandingkan dengan ribuan yang terpengaruhi politik identitas, tau sendiri warga mudah dipengaruhi. Apakah adil bagi pihak yang dirugikan hanya dengan permainan politik identitas minim rekam jejak?",Lasoren2,,pilih sesuai rekam jejak pilih banding ribu pengaruh politik identitas tau warga mudah pengaruh adil rugi main politik identitas minim rekam jejak,Marah
1,2022-12-22 03:59:55+00:00,1605775112669925377,"Kalau nanti Anies Baswedan gagal maju selaku capres, jangan salahkan Presiden Jokowi. Mungkin karena Gerindra menggaet PKS, biar PKS gagal berkoalisi dengan Demokrat dan Nasdem.

Begitu tutur politikus PDIP, Ruhut Sitompul.

https://t.co/KZXJ2jz5pt",NewsJerami,,anies baswedan gagal maju calon presiden salah presiden jokowi gerindra gaet partai adil sejahtera biar partai adil sejahtera gagal koalisi demokrat nasional demokrat politikus partai demokrasi indonesia juang ruhut sitompul,Marah
2,2022-12-19 10:56:28+00:00,1604792779888291843,@democrazymedia Momen Anies Baswedan tidak hafal lagu Maju Tak Gentar padahal mantan rektor dan menteri pendidikan https://t.co/jAZes4XqpX,Wildan55958956,,momen anies baswedan hafal lagu maju gentar mantan rektor menteri didik,Sedih
3,2022-12-18 04:00:00+00:00,1604325583961198592,Anies Baswedan dianggap sudah offside memberikan contoh buruk berupa sikap curi start kampanye Pemilu 2024 sehingga layak diberi kartu merah. Harusnya Bawaslu juga bisa melakukan langkah konkret dan tegas. Untuk mencegah kasus serupa kampanye terselubung dan curi start kampanye. https://t.co/s4pI22Dz0r,merahputihsuara,,anies baswedan anggap offside contoh buruk upa sikap curi start kampanye pilih layak kartu merah badan awas pilih laku langkah konkret cegah rupa kampanye selubung curi start kampanye,Marah
4,2022-12-22 00:30:18+00:00,1605722362506534913,"@M4TT4_ @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Syukur lah, smg Anies trs menaik. Tk info nya",PramukhtikoS,,syukur moga anies tk info nya,Senang
5,2022-12-23 03:31:57+00:00,1606130462962982912,Pancasila harus eksis lagi dimana terminologi kandungannya harus muncul kembali di keluarga dan jug adi kelas saat belajar @aniesbaswedan @NasDem #Na5dem #NasdemNomer5 #ItsTime https://t.co/7tedaa2It2,Danieleasma,,pancasila eks terminologi kandung muncul keluarga adi kelas ajar,Sedih
6,2022-12-18 04:15:35+00:00,1604329506323369984,"@Jurigngariwig @BocahUdik4 @_NanaRosa__ @TeddGus @aniesbaswedan @ganjarpranowo @jokowi Drun, Keliatan Ente Sdh Belajar Ngeles Sama Junjungan Ente Ya Drun ?",Punc4k_M4h4m3ru,,drun lihat ajar ngeles junjung ya drun,Marah
7,2022-12-24 00:52:46+00:00,1606452793010982913,"@TuitteRadio @R_min80 @aniesbaswedan Saking bingungnya jegal Bpk Anis, apa aja di tempuh.",wakit45149757,,saking bingung jegal anis tempuh,Sedih
8,2022-12-22 14:44:06+00:00,1605937227594203136,@firzahusainInc @aniesbaswedan emang Nasdem Ama elu udah yakin bs maju ??? 20% syaratnya elu dpt dari jual congormu ???,Bravo19031,,nasional demokrat maju syarat jual congor,Marah
9,2022-12-22 11:40:34+00:00,1605891040430493696,"@aniesbaswedan Bpk ibu Arab, nenek kakek Arab.. 
Darah jawanya mana...??? 
Ngaku pribumi dan Jawa???",pembururahmat,,arab nenek kakek arab darah jawanya pribumi jawa,Senang
10,2022-12-22 00:38:54+00:00,1605724527513653248,"Bawaslu dan KPU lebih nampak sebagai PSI, khusus mengawasi Anies Baswedan.",azwar6102,,badan awas pilih komisi pemelihan psi khusus awas anies baswedan,Marah
11,2022-12-20 02:07:30+00:00,1605022045703917568,"Mereka bilang survey @ganjarpranowo, @prabowo lebih tinggi dari @aniesbaswedan , tapi koq mereka takut elektabilitas Anies yg terus menggema ke seantero negeri ini...
Santai ajalah...",aisya93518677,,bilang survei takut elektabilitas anies gema antero negeri santai,Senang
12,2022-12-16 13:41:56+00:00,1603747255034384384,@AdPrabowoR1 @CNNIndonesia @aniesbaswedan Uda liat vidionya yg full blm?? Tau konteksny gak?,mikcucu22,,lihat vidionya full tau konteksny,Sedih
13,2022-12-23 12:15:48+00:00,1606262292605280258,"@TeddGus @aniesbaswedan Sudah bingung si @el_f4hm1 menjawab..... Bkn ngeyel ntol!!! Tapi pujaan mu si penies basEDAN, ga ada prestasi... selain.... https://t.co/601GdmEc9w",LautPaku,,bingung sih eyel ntol puja mu sih penies basedan prestasi,Marah
14,2022-12-19 22:38:37+00:00,1604969481310175233,@alisyarief Makanya mereka udah pasang kuda2 utk ngejegal Anies Baswedan,M39454TY,,pasang kuda ngejegal anies baswedan,Sedih
15,2022-12-20 05:06:36+00:00,1605067118055108608,"@Jurigngariwig @BocahUdik4 @_NanaRosa__ @TeddGus @aniesbaswedan @ganjarpranowo @jokowi Drun, Masa Sih Dewan Juri Utk Pemilihan Gubernur Terbaik 2022 Tidak Bisa Menilai Karya Fenomenal Sumur Resapan Multi Fungsi nya Anies ? Padahal Sumur Resapan Multi Fungsi Anies Itu Salah 1 Prestasi nya Anies Ya Drun ? APBD DKI Yg Nilai nya Hampir 400 T Kemana Aja Tuh Drun ?",Punc4k_M4h4m3ru,,drun sih dewan juri pilih gubernur nilai karya fenomenal sumur resap multi fungsi nya anies sumur resap multi fungsi anies salah prestasi nya anies ya drun anggar belanja daerah daerah khusus ibukota nilai nya t drun,Senang
16,2022-12-18 10:53:43+00:00,1604429697248481280,@RijikGuguk @the_gawa @SantriJalanan70 @Alphaville69 @KunkunTarkun @aniesbaswedan Lu ternyata punya junjungan sempak merah si kutu ibab si pembenci presiden. Dasar lu otak bego pengikut pembenci presiden https://t.co/jAprTNA9na,MercedesE320N,,nyata junjung sempak merah sih kutu ibab sih benci presiden dasar otak bego benci presiden,Marah
17,2022-12-16 22:46:38+00:00,1603884331940085760,@SeruniPuspaAlam @NasDem @aniesbaswedan Kaya nasimu paling indonesia az ...ngaca,daulay_emir,,kayak nasi indonesia az kaca,Marah
18,2022-12-20 06:57:50+00:00,1605095109787193348,"@musniumaar @aniesbaswedan @NasDem @mohmahfudmd Si Mus kompresor sekarang sdh mulai pakai black magic, krn hanya si kompresor sendiri yg bs melihat lautan manusia. Huahahahahahahahaha.",sibayan60,,sih mus kompresor pakai black magic sih kompresor lihat laut manusia huahahahahahahahaha,Marah
19,2022-12-23 12:37:35+00:00,1606267774640148480,"@musniumaar @aniesbaswedan Wan aibon halu,kebnyakan ngaibon..wajar dipanggil wan aibon",jackkece2,,wan aibon halu ngaibon wajar panggil wan aibon,Marah
