,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2019-07-29 06:35:35+00:00,1155728560599908352,@Asmara_Maudy @aniesbaswedan Rakyat Indonesia Bangga miliki Pemimpin yang tegas dan berpihak kpd Rakyat seperti @aniesbaswedan,Lukman91650735,"Medan Selayang, Indonesia",rakyat indonesia bangga milik pimpin rakyat,Bahagia
1,2022-10-14 21:40:30+00:00,1581037253144764417,"@aniesbaswedan @DKIJakarta Anies rasyid Baswedan, bakal meninggalkan Balai Kota dki Jakarta pada 16 Oktober 2022.    &gt;&gt;&gt;&gt;&gt; terima kasih ARB  &gt;&gt;&gt;&gt;  saya bangga karena @aniesbaswedan pernah  memimpin  ibu  kota  negara ( dki Jakarta)  &gt;&gt;&gt;  ARB adalah pribadi  yang  berkarakter  sopan  dan santun  &gt;&gt;&gt;&gt; ....",SabarTanjungATJ,Pekanbaru,anies rasyid baswedan tinggal balai kota daerah khusus ibukota jakarta oktober terima kasih arb bangga pimpin kota negara daerah khusus ibukota jakarta arb pribadi karakter sopan santun,Bahagia
2,2022-12-11 06:05:44+00:00,1601820509825425408,Waspada Anies Baswedan Didukung Kelompok Pro Khilafah https://t.co/VQHhiZaL3m,ridhorirzky,Lampung,waspada anies baswedan dukung kelompok pro khilafah,Marah
3,2018-10-13 03:00:16+00:00,1050944280192118784,@DKIJakarta @aniesbaswedan copas aja biar cpt u/ sungai d jkt spt d blkg rs siloam semanggi n d patra kuningan udh 1 th nih,kosumantri,,copy paste biar cepat sungai jakarta surat pemberitahuan rumah sakit siloam semanggi patra kuningan nih,Marah
4,2022-09-02 06:19:48+00:00,1565585263740751872,@M45Broo_ Insya Allah lebih banyak kerja lh pak Yaman @aniesbaswedan ketimbang bapak cuma ngoceh doang lobang sana lobang sini,Ario30893035,,insya allah kerja yaman ketimbang oceh doang lobang lobang,Sedih
5,2022-10-21 03:15:51+00:00,1583295975011278849,"Anies Tukang Tipu banyak Janji Palsu, Papua Barat Tolak Anies Baswedan
#AniesNasdemOut #TenggelamkanNasdem #TenggelamkanAniesNasdem
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesGabenerPembohong
#KagagalanAniesituNyata https://t.co/cNjplpE8Cm",OrtegaLyndelou,,anies tukang tipu janji palsu papua barat tolak anies baswedan,Marah
6,2019-01-08 23:30:21+00:00,1082781585491914752,Dngn kejadian ini justru menaikkan popularitas anies baswedan sbg gubernur Indonesia #SaveAnisBaswedan,wardi_amri,Kotabumi Lampung,popularitas anies baswedan gubernur indonesia,Marah
7,2019-04-27 09:26:52+00:00,1122069592241627138,@roland_interior @OvanDevid @Dennysiregar7 @aniesbaswedan cebong mah nerima fitnahan aja..skrg atau nanti biar fakta yg bicara,acnewbie,,cebong terima fitnah biar fakta bicara,Marah
8,2018-10-06 04:55:00+00:00,1048436436532248582,"Rutinitas Penanganan Kebersihan Lingkungan
Pasar Hipli RW 007 Kel.Semanan,Kalideres
@aniesbaswedan @Dinas_LHdki @IsnawaAdji @bangAli_MH @yogiikhwan @sudinsihjakbar @hariosudiro @hariosudiro @BeritaJakarta 
#dinaslhdki 
#WeLoveJakarta 
#JakartaBersih https://t.co/EYcmNdi0Nj",kalideresbersih,,rutinitas tangan bersih lingkung pasar hipli rukun warga keluarga seman kalideres,Bahagia
9,2022-11-07 01:07:10+00:00,1589424186334023680,"Bajingan penipu masyarakat Anies Baswedan siapkan BuzzeRP demi popularitas 😡 

#HTIDukungAnies
#AniesDidukungKHILAFAH
#AniesNasdemOut 
#TenggelamkanAniesNasdem
#TenggelamkanPartaiNasdem
#GoodByeNasdemAnies
#AniesDidukungKoruptor
Jambi https://t.co/83bllJDaxr",bibirdoyok,,bajing tipu masyarakat anies baswedan buzzerp popularitas jambi,Bahagia
10,2018-11-08 11:47:46+00:00,1060499113853116418,"@aniesbaswedan Diingatkan Pak, maaf, negeri ini merdeka dg konstitusi awal yg unik semi-parlementer sejatinya berorientasi gotong royong, berorientasi sosialis ... suka tidak suka.

Selamat utk AR Baswedan  sbg pahlawan nasional yg kami yakin ikut tegakkan NKRI-UUD45 bukan UUD2002.",DasarKita,,maaf negeri merdeka konstitusi unik semi parlementer sejati orientasi gotong royong orientasi sosialis suka suka selamat ar baswedan pahlawan nasional tegak negara republik indonesia undang undang dasar undang undang dasar,Bahagia
