,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2019-10-27 10:00:03+00:00,1188394923839504384,@helmifelis @prabowo Peristiwa mana yg anda percayai bukan dilakukan oleh teroris berideologi? Bom bali?  bom thamrin? Bom samarinda? Bom surabaya?,Gwennoz2,,peristiwa percaya laku teroris ideologi bom bal bom thamrin bom samarinda bom surabaya,Marah
1,2019-04-27 00:48:25+00:00,1121939122132668416,"@FattahFaqih @Jabrid2 @permadiaktivis @jokowi @prabowo Survey yg pesertanya masyarakat jakarta ...yg diluar jakarta kan nggak ngaruh...kayak dl Timtim mau lepas dr Indonesia dl...harus murni &amp; jujur dr hati mereka, nggak sprt waktu Pilkada...",gst_kade,Nusa Dua/Bali,survei masyarakat jakarta jakarta pengaruh kayak tim tim lepas indonesia murni amp jujur hati pilih kepala daerah,Marah
2,2022-12-18 03:48:08+00:00,1604322595641339904,"@fadlizon Ini tidak hanya menjadi tanggung jawab pak @jokowi  lo zon. Tapi menjadi tanggung pak @prabowo  dan pak andika perkasa.. 
@fadlizon yang kayak ikan buntal, berani nggak kamu negur @prabowo ..?",MMartimina,"Denpasar, Bali",tanggung zon tanggung andika perkasa kayak ikan buntal berani tegur,Marah
3,2018-08-02 11:55:07+00:00,1024986952741703680,@Aryprasetyo85 @NatasyaRudy @prabowo yg nyapres bola-bali gagal gak capek yg lihat udah capek bin mual koq bisa ya...? 😁😁😁😁😂😂😂,BPribas,,calon presiden bola bal gagal cape lihat cape bin mual ya,Sedih
4,2019-12-21 00:02:19+00:00,1208175831354245125,"@gusbayu @BaliJujur @AryaWBPinatih47 @jokowi @SitiNurbayaLHK @erickthohir @DivHumas_Polri @netizen_bali @TheArieAir Itu dia, di era Bu @susipudjiastuti yang kinerjanya luar biasapun, masalah Teluk Benoa ga bisa diselesaikan,

Apalagi sekarang era Pak @Edhy_Prabowo yang ga becus kerja, malah terbengkalai ga jelas urusan Teluk Benoa ini.",Owaala,"Jembrana, Bali",era bu kerja teluk benoa selesai era becus kerja bengkalai urus teluk benoa,Marah
5,2019-04-02 08:03:09+00:00,1112988827352686592,@Ferdinand_Haean @PDemokrat @jokowi @prabowo @Gerindra Alhamdulillah klo bpak pnya pkiran demikian..insaallah kmi pencinta kedamaian akn sll mendukung langkah bpak..#JokoWIN17April,Oryyy7,"Nusa Tenggara Barat, Indonesia",alhamdulillah pkiran insaallah cinta damai dukung langkah,Bahagia
6,2019-04-18 23:23:58+00:00,1119018765084057601,@Hadi61547350 @Indoel3 @7intaPutih @prabowo @sandiuno @PartaiSocmed @AmbarwatiRiexy @BadjaNuswantara @permadiaktivis @4Y4NKZ @AriestaricoRico @pujangga1123 @Candraasmara85 @bangzul_1988 @P3nj3l4j4h Lihat tuh baik2 hanya di ganti photonya! Hanya segitu doang pintar nya 🤣🤣🤣 https://t.co/sVsjgztL3u,ZaraFaul,"Bali, Indonesia",lihat ganti photonya doang pintar nya,Marah
7,2018-09-11 02:36:01+00:00,1039341764648132608,@Gerindra @prabowo Sangat kagum... karena mengetahui belajar kerasnya para santri/santriwati... 😍😍👌👍,DenieHilman,,kagum ajar keras santri santriwati,Bahagia
8,2018-12-02 05:48:41+00:00,1069106054615699457,@fahiraidris @BangJapar_FI @muhammadhamim @musamarasabessy @anandapuja @ekajaya2019 @B_JAPAR_FI_JKB @francmohede @prabowo @sandiuno @nurasiauno Semoga sukses Bu. Kami dari Bali tidak dapat hadir,sinobiq_mulyo,,moga sukses bu bal hadir,Bahagia
9,2019-02-14 10:26:52+00:00,1095992767132577792,"Hari ini, saya berada di Karangasem, Bali. Kaget. Ternyata banyak yang dukung @prabowo @sandiuno 
👆 https://t.co/85PMXaPK93",suyasa_dewi,Bali,karangasem bal kaget nyata dukung,Bahagia
