,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-11-15 01:44:12+00:00,1062883934474723329,"@yunartowijaya @jokowi @prabowo @sandiuno @PDI_Perjuangan Mohon @yunartowijaya memperhatikan ayat suci di bawah ini, semoga bermanfaat. 
    
Cc. @zarazettirazr @anebukanteroris  @delfinihon @etekewer2 @wartapolitik @maspiyuuu @jokopujakesuma @karniilyas @iwanfals .
    
Aku berlindung kepada ALLAAH SWT. dari godaan setan yang terkutuk. https://t.co/1FhETmCmBh",ifalcrew,"Jakarta Capital City, INDONESIA.",mohon perhati ayat suci moga manfaat cc lindung allah subhanahu wa taala goda setan kutuk,Sedih
1,2022-12-20 07:06:06+00:00,1605097191646801925,"@MARQUEZ__93 @YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt Polling dari Gerombolannya... hahahaha sue, gw ikutan pula. But di polling gw tetap pilih Pak Ganjar Pranowo doonk.. The Best.",eonest,"Jakarta, Indonesia",polling gerombol haha gue but polling gue pilih ganjar pranowo the best,Senang
2,2018-08-09 02:52:51+00:00,1027387201829593088,"@maspiyuuu Karena UAS tidak mau atau ""DILARANG"" berpasangan dengan @prabowo, kalau dengan yang lain in syaa ALLAAH SWT. UAS DIIZINKAN dan bisa jadi malah mendapat posisi CAPRES ...... We'll see ...... I T U. https://t.co/56MDIqPtkN",ifalcrew,"Jakarta Capital City, INDONESIA.",uji semester larang pasang in allah subhanahu wa taala uji semester izin posisi calon presiden we ll see i t,Marah
3,2019-04-19 07:13:40+00:00,1119136970393841664,"@VIVAcoid Kasihan dan sedih hitung2 sendiri, Klaim Kemenangan sendiri, seperti Manusia tidak bertuhan.. @prabowo @sandiuno @djokosantoso777 @Dahnilanzar @fadlizon @Fahrihamzah disekitarnya ulama-ulama. Na'uzubillahi minzalik @jokowi @MarufAminNU @erickthohir #2019MengimaniTakdirAllah",fyahyab,"Jakarta Selatan, Indonesia",kasihan sedih hitung klaim menang manusia tuhan ulama ulama na uzubillahi minzalik,Sedih
4,2019-02-26 13:00:10+00:00,1100379997431259137,"Pilihlah pemimpin yang memiliki kadar Keburukan yang paling sedikit @jokowi @KHMarufAmin_ @prabowo @sandiuno Bukan untuk mencari yang ideal tapi untuk menghalangi yang jahat jadi pemimpin.""  @erickthohir @Dahnilanzar @fadlizon #2019PemiluBermartabat #2019TetapJokowiPresidenRI",fyahyab,"Jakarta Selatan, Indonesia",pilih pimpin milik kadar keburu cari ideal halang jahat pimpin,Marah
5,2020-12-17 21:26:06+00:00,1339683312047026176,"@deni_hermawanto @Hilmi28 @Kiyai_MarufAmin @prabowo @Dahnilanzar Ya begitulah........
Ku kutip lagi ........
Seribu kambing kalau di pimpin se ekor singa ...akan mengaum semua... .
Sebaliknya,....
Seribu ekor singa...kalau di pimpin se ekor kambing akan mbeeeeekkk semua.",EdiPuwanto1,,ya ku kutip ribu kambing pimpin ekor singa aum ribu ekor singa pimpin ekor kambing mbeeeeekkk,Marah
6,2019-01-17 14:01:38+00:00,1085899952402817026,@AkunTofa Gue engga nyangka bakal semenarik ini bang😂 saya jadi wakil pak @jokowi boleh engga kasian penyusunan kata-kata dalam berbicaranya kurang tertata✌️ biar bisa ngadepin kecerdasan no teks🙊😂 @prabowo @sandiuno,aliframdani96,"Widya Chandra, South Jakarta",gue sangka tarik bang wakil kasihan susun bicara tata biar hadap cerdas no teks,Marah
7,2018-07-30 10:29:26+00:00,1023878224055427072,@detikcom @SBYudhoyono @prabowo Dahulu sekarang kawan.. dlm politik tidak namanya kawan dn tidak ada namanya lawan abadi .. yg ada bgmn mengejar KEKUASAAN..,fyahyab,"Jakarta Selatan, Indonesia",kawan politik nama kawan nama lawan abadi kejar kuasa,Marah
8,2019-10-12 03:37:19+00:00,1182862786977652736,"@prabowo copas@Irene
Fakta Prabowo adalah titik lemah Koalisi Rekons akan jd pintu masuk Genk Jenderal Merah utk dapat bertahan sbg penguasa, minimal tdk tersingkir dari kekuasaan.

Konsistensi sikap Prabowo utk berkata TIDAK kpd SBY cs adalah solusi mempertahankan koalisi rekons",rijalsamsu27,"DKI Jakarta, Indonesia",copy paste fakta prabowo titik lemah koalisi rekons pintu masuk geng jenderal merah tahan kuasa minimal singkir kuasa konsistensi sikap prabowo susilo bambang yudhoyono rekan solusi tahan koalisi rekons,Marah
9,2019-09-04 13:00:22+00:00,1169233743459995648,"@prabowo copas dari@IreneViena
Kapolri harus berani tangkap SBY-LBP

Sdh jelas semua prahara negeri  muncul pasca rekons bergulir sbg FRAMING ISU guna MEMFITNAH @prabowo yg akan dituding sbg dalang rencana penggagalan pelantikan Jkw
fitnah dari Genk Jend merah utk gagalkan Rekons",rijalsamsu27,"DKI Jakarta, Indonesia",copy paste kepala polisi republik indonesia berani tangkap susilo bambang yudhoyono low back pain prahara negeri muncul pasca rekons gulir framing isu fitnah tuding dalang rencana gagal lantik jokowi fitnah geng jend merah gagal rekons,Marah
10,2020-08-10 14:25:28+00:00,1292829420726624257,"Dibuang PA 212,Maarif: Butuh Seribu Kali Berpikir untuk Dukung Prabowo

https://t.co/wD37CkzLbT

@Gerindra
@prabowo
@jokowi 
@SBYudhoyono  
@MataNajwa 
@KickAndyShow 
@korantempo 
@VIVAcoid
@DPR_RI 
@RamliRizal 
@CNN 
@karniilyas 
@aniesbaswedan 
@KPK_RI",lawjusticeco,"Jakarta, Indonesia",buang maarif butuh ribu kali pikir dukung prabowo,Marah
11,2019-02-19 08:54:35+00:00,1097781482737721344,@detikcom Mending P @jokowi dr pd @prabowo tampak tdk menguasai.. bgmn ini timnya @Dahnilanzar apkh tim nya yg bego2 mempersiapkan debat @sandiuno paling juga bisanya #2019SANDIWARAUNO Ya pak.. penuh Kebohongan dan Pembohongan.. dan mencari Pembenaran #2019TetapJokowiPresidenRI,fyahyab,"Jakarta Selatan, Indonesia",mending p kuasa tim tim nya bego debat ya penuh bohong bohong cari,Marah
12,2019-01-16 09:23:33+00:00,1085467581899726848,@Ahmadsanusi73 @sandiuno @prabowo @haikal_hassan @francmohede @anandapuja @eliya_mkom @HasanBabe @musamarasabessy @muhammadhamim @BangJapar_FI Alhamdulillah Barakallah salam hormat untuk istri dan anaknya ya pak...,fahiraidris,DKI Jakarta,alhamdulillah barakallah salam hormat istri anak ya,Senang
13,2018-04-13 16:22:09+00:00,984829100182257664,"Sudah jelas dan terang benderang krn @Romahurmuziy saat itu di kubu @prabowo . Apa lagi yg mau didustakan? Blak-blakan soal Dalang di Balik ""Obor Rakyat"" untuk Serang Jokowi https://t.co/JdPAerCIbT",Dhewagung,"Jakarta, Indonesia",terang benderang kubu dusta blak blak dalang obor rakyat serang jokowi,Marah
14,2018-12-13 04:40:25+00:00,1073075141096091648,"@prabowo @iamsandysrk ""The most important thing in this life is to remember God, and the most important in remembrance of God is reading and understanding the ENTIRE contents of The Holy Book"".
  
(someone wise)    \m/_ https://t.co/Vxa8kEIIUN",ifalcrew,"Jakarta Capital City, INDONESIA.",the important thing in this life is to remember god and the important in remembrance of god is reading and understanding the entire contents of the holy book someone wise,Senang
15,2018-10-09 17:08:25+00:00,1049708173525807104,"@MahesaTiwi @ASapardan @prabowo @RiuRizkiUtomo @5Y5_one_70 @V_Stone_Kardol @buzerman18 @Dwiyana_DKM @murny7 @DeanaZuliana sejuta kata yg kalian tuliskn dan seribu basa yg kalian ucapkan takkan pntang mundur dn kami  ttap tuk memilih 2019 @prabowo @sandiuno.
presiden presiden 2014-2018 adlh massa yg mnjdi kenangan",InNulhaq,,juta tuliskn ribu basa pntang mundur pilih presiden presiden massa kenang,Marah
16,2019-01-15 10:38:59+00:00,1085124177697239040,@marierteman @prabowo Itu karena harga barang di hero lebih mahal dibanding indomaret atau alfa,HadiRachman4,Jakarta,harga barang hero mahal banding indomaret alfa,Marah
17,2018-08-10 13:21:03+00:00,1027907682601132032,"Pak @prabowo bgs orasi nya n membuat rakyat se https://t.co/zmaCrD5Eib mhn ralat,Bpk Hrs mgtkn""Berkuasa dgn seIzin ALLAH""n Hrs mgtk an""InsyaALLAH Pasti"" bu kan Pasti sj.Krn semua trjd atas Kehendak n se Izin ALLAH.Conrat n Be Brave 08 👉🏻🕋📖📿👉🏻👍🏻👏🏻",TinnaHarahap,"Indonesia,Jakarta",bagus orasi nya rakyat mhn ralat mgtkn kuasa izin allah mgtk an insyaallah bu izin allah conrat be brave,Senang
18,2019-02-11 22:30:35+00:00,1095087731393228800,"@lestisan @hendriabidin2 @CakKhum @musniumar @hnurwahid @kaheeppp @hmskaban @Dahnilanzar @Fahrihamzah @fadlizon @prabowo @awemany @rockygerung @Ferdinand_Haean @hanumrais @RamliRizal @saididu @aagym @Radenwilwil @ustadtengkuzul @haikal_hassan @AkunTofa @adindasoraya10 @muttle9 @chicohakim @abirekso @Airin_NZ @apakatabidan @tommyfawuy @intelimoet @72Rochman @Mukh_fin @wiriantowidjaya @NateDrakes7 @cartie021 ""Even though if God had sent the angels down to them, and the dead had spoken to them, they would not have believed in God, unless God wanted"".
  
(someone wise)   \m/_ https://t.co/SxlYTQ3Uv2",ifalcrew,"Jakarta Capital City, INDONESIA.",even though if god had sent the angels down to them and the dead had spoken to them they would not have believed in god unless god wanted someone wise,Marah
19,2019-05-05 22:12:45+00:00,1125161434042605569,"Doa @prabowo utk kita semua:

(Aamiinkan🙏)
.

Aamiin Aamin Allahumma Aaminn...

Semoga di Ramadhan ini kita dikaruniakan pemimpin adil dan jujur. Aaminn

👇👇 https://t.co/V1mEs4ChV6",IsmanTengku,Jakarta,doa aamiinkan amin amin allahumma amin moga ramadan karunia pimpin adil jujur amin,Senang
20,2018-09-21 14:53:07+00:00,1043151139812737024,@PKSejahtera @msi_sohibuliman @Muzzammil_Yusuf @prabowo @mustafakamal_wd @sandiuno @hnurwahid @Mahfudz_AR @salimsegaf @MardaniAliSera nie salh 1 org gila dr kerumunan anda pas pilkada dki https://t.co/uuDJi0VQQa,taufiqaris,"Jakarta Pusat, DKI Jakarta",nih salah orang gila kerumun pas pilih kepala daerah daerah khusus ibukota,Sedih
21,2018-10-03 08:55:10+00:00,1047409715737546753,Hallo pak @prabowo @fadlizon @Fahrihamzah @Partai_Gerindra @PKSejahtera @NenoWarisman_ @MardaniAliSera hanya ini yg kalian bisa lakukan utk mendiskreditkan pak @jokowi malalui drama picisan.. yg akhirnya diketahui permainan busuk.. na'uzubillahi minzalik @sandiuno @MarufAminNU https://t.co/07F3wQiUal,fyahyab,"Jakarta Selatan, Indonesia",halo laku diskredit malalui drama picis main busuk na uzubillahi minzalik,Marah
22,2019-03-09 02:28:21+00:00,1104207265253347328,@AliDamanik4 @prabowo @Dahnilanzar Ya ampun Damanik; Lo kemarin bergerak ke MALL  itu gerak dulu atau rencana dulu bahwa harus ke mall karna perlu sesuatu? ampuun deh kenapa jadi kebalik balik kita,tikasinaga,"Jakarta Barat, Indonesia",ya ampun damanik kemarin gerak mal gerak rencana mal ampun deh,Marah
23,2019-11-24 16:10:45+00:00,1198635070635925505,"@HusinShihab @Airin_NZ @prabowo Tapi diluar eventho muslim minority,radikalisme mereka impactnya tetep besar itu pripun pak?",jrdne19,"Jakarta Capital Region, Indone",event muslim minoritas radikalisme impactnya pripun,Marah
24,2018-10-03 16:35:24+00:00,1047525536656908288,"Bapak @jokowi cerdas, lebih memilih fokus untuk bencana di Palu daripada harus meladeni isu ibu Ratna. Tapi sedih rasanya jika memang ibu Ratna/oknum tertentu sengaja menebar isu hoax ini untuk menjatuhkan bapak @prabowo.",obyhop23,"DKI Jakarta, Indonesia",cerdas pilih fokus bencana palu laden isu ratna sedih ratna oknum sengaja tebar isu hoaks jatuh,Sedih
25,2018-09-28 20:46:16+00:00,1045776727375372288,"@republikaonline @prabowo akui China hebat,  makanya @jokowi gak boleh gunakan ahli dari China,  nanti @prabowo  di Pemilu bisa kalah,  itu strategi politik, hari ini ngomong anti aseng,  besok gabung sama aseng dan asing. @Gerindra @MardaniAliSera",utunidang,"DKI Jakarta, Indonesia",cina hebat ahli cina pilih kalah strategi politik bicara anti asing besok gabung asing asing,Marah
