,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-09-21 21:34:28+00:00,1043252145561071617,"@sandiuno @prabowo اِ نْ شَآ ءَ اللّهُ
Pak prabowo dan pak sandi memimpin negeri ini mulai 2019 nanti ....

Perbaiki system negeri yg dibuat amburadul selama 4 thn ini..

Perbaiki sistem ekonomi, perkuat pertanian, kurangi import pangan ...

Kami akan berada dibelakang bapak",Mayb456,,prabowo sandi pimpin negeri sistem negeri amburadul sistem ekonomi kuat tani impor pangan,Marah
1,2018-08-10 15:16:29+00:00,1027936730173722629,"Ini yg bertarung bukan @prabowo ama @ jokowi tp yg ada di belakangnya tu lho yg bikin panas.
#rakyatkecil",Ragil083,,tarung jokowi lo bikin panas,Marah
2,2019-05-05 18:27:05+00:00,1125104644433170433,@Asmara_1701 @prabowo @sandiuno Subhanallah para pendukung 02......rela dari hati nurani..  dia memilih  ..bukan dari otot atau pun otak' doain ajh bu..moga ajh 02 menang amin ya Allah.....,SehaSilegan,"Bogor Barat, Indonesia",subhanallah dukung rela hati nurani pilih otot otak doa bu moga menang amin ya allah,Senang
3,2018-07-16 06:01:22+00:00,1018737336455028736,"@LawanPoLitikJKW @SBYudhoyono @prabowo @Gerindra @PDemokrat @jokowi Goreng terus Lae sampai gosong.... Koalisi Pak Jokowi itu ; klu Demokrat gabung ya bagus, tapi klu tidak gabung ya nggak pengaruh... Hehehe. Mau naikin posisi kayak key maker, ngaca broh....entar di tinggal jadi abu2 yg nggak jelas mau kiri or kanan.",davidpurba1102,,goreng lae gosong koalisi jokowi demokrat gabung ya bagus gabung ya pengaruh hehe posisi kayak oke maker kaca broh tinggal abu kiri orang kanan,Senang
4,2019-06-11 03:35:55+00:00,1138288726440681472,"@ekagumilars @prabowo Lu mau ngemeng apa juga kaga ngaruh..

Mana ada orang percaya ama caleg gagal yg ambekan pundu ngandan jelek2in parte tempat numpang nyaleg?

Yg percaya penjilat ya penjilat
Yg percaya penghianat ya penghianat

Paham yeee

Kumaha sia weh bong!!+",AlGhuyub,"Jawa Barat, Indonesia",bicara pengaruh orang percaya calon legislatif gagal ambek pundu ngandan jelek partai tumpang calon anggota legislatif percaya jilat ya jilat percaya khianat ya khianat paham iya weh bong,Marah
5,2019-07-13 13:46:07+00:00,1150038700870422528,@GerryJabri1's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,GerryJabri1,,si account is temporarily unavailable it violates the twitter media policy learn more,Sedih
6,2020-01-17 03:46:40+00:00,1218016763092205569,4 Kapal Perang TNI Bantu Pengawasan Laut Natuna Utara - Berita Trans https://t.co/k8VcvxVWIK lewat @beritatrans @jokowi @PolhukamRI @mohmahfudmd @Kemhan_RI @prabowo @Puspen_TNI @TjahjantoHadi @_TNIAL_ @ProvinsiKepri,imam_rachman_,,kapal perang tentara nasional indonesia bantu awas laut natuna utara berita trans,Sedih
7,2019-07-14 05:36:32+00:00,1150277880405823488,"@Hilmi28 @Anip_aje @prabowo @jokowi Kalau saya jadi Prabowo saat bertemu dengan Jokowi akan bilang..""kamu itu curang, cepat taubat,",arifinjk,Bandung,prabowo temu jokowi bilang curang cepat taubat,Marah
8,2018-11-29 00:32:25+00:00,1067939303110643720,"Prabowo: Jika Masih Andalkan Utang Luar Negeri, Bangsa Ini Akan Ambruk
#pilpres2019
#prabowosubianto
#bangsaambruk
#yogyakarta

https://t.co/jJcntZGqD1",adypermadi,,prabowo andal utang negeri bangsa ambruk,Marah
9,2018-12-29 05:17:57+00:00,1078882795764629512,"@helmifelis Krn mereka sudah cap pak @prabowo
- dukung khilafah
- didukung kelompok intoleran, dan anti NKRI

Eeh ternyata
- keluarga pak prabowo paling majemuk suku dan agama
- sikap lebih toleran dibanding yg teriak2 paling tolerang

Nyesek ga tuh

Kanan kiri atas bawah mentok!!!",AlGhuyub,"Jawa Barat, Indonesia",cap dukung khilafah dukung kelompok intoleran anti negara republik indonesia eh nyata keluarga prabowo majemuk suku agama sikap toleran banding teriak tolerang sesal kanan kiri mentok,Marah
