,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2021-11-21 02:55:00+00:00,1462253180603883528,"Iya sih, Masyarakat Indo monitor kejadian dan perkembangan di Timur Tengah dengan detil, ingin perdamaian dan kemakmuran di Timur Tengah.

@prabowo @kemhan_ri
MenhanBicara DiBahrain
Diplomasi PertahananKuat
Dorong PerdamaianDunia https://t.co/aSCxwdCCMD",ptrr_dianaa,,iya sih masyarakat indonesia monitor kembang timur detil damai makmur timur menhanbicara dibahrain diplomasi pertahanankuat dorong perdamaiandunia,Bahagia
1,2019-03-13 04:25:25+00:00,1105686275837722624,"Gua memilih di tengah, atau malah di luar lingkaran. Ya, masih berniat golput. Dengan posisi ini, dan sikap tak apatis, maka tingkah gua sering disalahartikan ... Kayak tingkah pak Prabowo kemarin: berdiri di _sun roof_ mobil, menyapa warga, terus memukul tangan seseorang.",subhanr_,,gue pilih lingkar ya niat golput posisi sikap apatis tingkah gue disalahartikan kayak tingkah prabowo kemarin sun roof mobil sapa warga tangan orang,Marah
2,2019-02-20 05:02:13+00:00,1098085391188426752,"@Fahrihamzah @prabowo @sandiuno Kalo ngomong yg bener donk pak dewan... Biaya sandi sendiri gimana,  kan biaya kampanye katanya lebih dri 6 T sedangkan kekayann sandi cuma 4 T, apa sisanya dapat jaga lilin tengah malam?... https://t.co/bWutZPSY0q",DediFauzi4,,bicara dewan biaya sandi biaya kampanye t kekayann sandi t sisa jaga lilin malam,Bahagia
3,2019-02-03 15:17:48+00:00,1092079714615799810,"AKARTA – Putra KH Ma’ruf Amin, yakni Ahmad Syauqi Ma’ruf Amin ikut mencermati doa yang dipanjatkan KH Maemon Zubair. Ya, doa ulama sepuh asal Ponpes Sarang, Jawa Tengah itu menjadi buah bibir karena menyebut nama capres nomor urut 02, Prabowo Subianto.",FeronicaClaris1,,akarta putra kh ruf amin ahmad syauqi ruf amin cermat doa panjat kh maemon zubair ya doa ulama sepuh pondok pesantren sarang jawa buah bibir nama calon presiden nomor urut prabowo subianto,Bahagia
4,2020-08-08 12:22:02+00:00,1292073584873992192,@HukumDan @prabowo Di tengah jalan lagi kehabisan aftur dan mesin msh di servis entah kapan selesai nya😁,fake_promised,,jalan habis aftur mesin servis selesai nya,Bahagia
5,2018-08-02 13:31:43+00:00,1025011260968976384,"Dgn adanya tarik menarik parpols di sktr @prabowo, hemat sy @PDemokrat @PartaiPAN dan lainnya bikin poros tengah utk calonkan AB-ZH, AB-AHY, AB-GN dst. Ini utk alternatif putaran ke2 jika @Gerindra dan @PKSejahtera kalah vs Jkw/wapresnya. 
@republikaonline @VIVAcoid @kompascom",baharst28,,tarik tarik parpols hemat bikin poros calon ab zh ab agus harimurti yudhoyono ab alternatif putar kalah lawan jokowi wakil presiden,Bahagia
6,2022-12-20 15:20:44+00:00,1605221669379133440,@dewanto07985162 @andyydepp @YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Terusin aja menghina ras jawa itu juga tidak membuktikan kalo ras anda lebih baik. Tweet yg anda buat juga tidak akan mengubah keadaan bahwa se superior itu ras jawa saat ini ✌,BaharrudinPrb12,"Semarang, Jawa Tengah",terusin hina ras jawa bukti ras twit ubah superior ras jawa,Marah
7,2020-08-10 12:29:23+00:00,1292800208917737473,"Stlh angkat penggerak gerakan penjarakan Ahox sbg Wapres, disusul angkat Prabowo yg tetap impor senjata di tengah pandemi, jg Edhy Prabowo yg buka ekspor benih lobster &amp; bolehkan jaring trawl, skrg mau beri penghargaan pd FZ &amp; FH. 

Mau dibawa kemana Indonesia Pak @jokowi?
😭😱😭",raintears67,,angkat gerak gera penjara ahok wakil presiden susul angkat prabowo impor senjata pandemi edhy prabowo buka ekspor benih lobster amp jaring trawl harga fz amp fh bawa indonesia,Bahagia
8,2019-06-12 11:14:50+00:00,1138766603493920773,"@Niputujelantik Mereka nyalinya kecil mba 
Takut idupnya sakit jd mo berdiri di tengah2 aja katanya 
Yawda biarin aja gitu selamanya di tengah
Disini dah dibuang disono ogah mungut 😜

Maju terus pak @prabowo kami bersamamu ✊",4UdibA,,nyali mbak takut hidup sakit yawda biar buang ogah mungut maju,Marah
9,2019-02-19 03:39:03+00:00,1097702073129299968,"Cermati pertanyaan p Prabowo apa, dijawab apa, diplintir kampret apa.
Jawaban pak prabowo apa atas pertanyaan apa, di plintir kampret apa.",liriksoe,,cermat p prabowo diplintir kampret prabowo plintir kampret,Marah
10,2019-07-13 12:36:54+00:00,1150021282706022400,"Mereka mendukung Pak Prabowo Kebetulan saja karena lawan politiknya Pak Jokowi adalah Pak Prabowo
Kan ada pepatah musuh dari musuhku adalah kawan hehehe https://t.co/gZPpcwtpe6",Bhahariii,"Semarang, Central Java",dukung prabowo lawan politik jokowi prabowo pepatah musuh musuh kawan hehe,Marah
