,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-11-15 18:59:48+00:00,1.06314e+18,@MawarTanuWijaya @duapriode @VURlOUSA @Mang_jac @TitiekSoeharto @prabowo Oh yaaa .... baru tau saya hehehehehe ... sedikit pura2 buta ahhh ... LGBT ya ???,chef_bamz,"Surabaya, East Java, Indonesia",oh ya tau hehe pura buta ah lgbt ya,Marah
1,2018-05-29 01:37:33+00:00,1.00128e+18,"@elfizal @maspiyuuu @ustadtengkuzul @hnurwahid @prabowo @jokowi @NetizenTofa @fahiraidris @Fahrihamzah @fadlizon @republikaonline @detikcom jelas WAJIB #2019GantiPresiden ae, janjine sing mlungker TAK USAH DIPILIH LAGI. rakyat wis mblenger, dikadali tok.",soemartono8,Gresik - Surabaya Indonesia,wajib janjine sing mlungker pilih rakyat mblenger kadal tok,Marah
2,2020-09-15 01:59:16+00:00,1.30569e+18,"@Gantos_Presiden @SenoajiKresna @JujurRindu @Dennysiregar7 @aniesbaswedan @Gerindra @prabowo penghargaan....penghargaan lagi...banyak mas...ini petugas kecamatan di tempat saya juga banyak nerima penghargaan...the best performance...bukan itu bambang...hasil kerja nyatanya itu apa yg dihasilkan....misalnya menciptakan klaster baru transportasi,atau index turun atau apa",DIDIK_RODENT,surabaya,harga harga mas tugas camat terima harga the best performance bambang hasil kerja nyata hasil cipta klaster transportasi indeks turun,Senang
3,2018-11-15 11:13:13+00:00,1.06303e+18,"Program pemerintahan pak harto baik dimasanya,karena kebutuhan saat itu tdk seperti saat ini, dan manusia indonesia masih sekitar 150 jt, dunia bergeser ke industri pd saat itu blm sedahsyat kini, jd keliru prabowo kalau kembali memutar indonesia ke 30thn lalu https://t.co/g8IY6Tvfyy",SahalaHerbin,Trenggalek jawa timur,program perintah harto butuh manusia indonesia juta dunia geser industri dahsyat keliru prabowo putar indonesia,Marah
4,2019-10-18 16:45:11+00:00,1.18524e+18,@indraajati @prabowo ngak boleh usul ta ini. rocky grung mskkan dlm menteri. jubirnya UAS,HarunR05718,"Kota Surabaya, Jawa Timur",usul ta rocky gerung mskkan menteri jubir uji semester,Sedih
5,2019-02-25 08:40:19+00:00,1.09995e+18,"Ayo pak dimulai dari pendukungnya dulu @erickthohir,luhut,haritanoe,sinar mas group dll dan Insyaa Allah Prabowo ikhlas kok asal adil https://t.co/aVp3iS595F",RTjandrarini,"Malang, Jawa Timur",ayo dukung luhut haritanoe sinar mas grup insya allah prabowo ikhlas adil,Senang
6,2019-04-11 18:45:12+00:00,1.11641e+18,"@Zulkifllubis71 @prabowo @sandiuno @PriyoBudiS @Fahrihamzah @fadlizon @Dahnilanzar mereka Menciderai pesta demokrasi Indonesia.
Mereka penghianat bangsa.",benbaroya,surabaya indonesia ,menciderai pesta demokrasi indonesia khianat bangsa,Marah
7,2022-12-01 12:43:16+00:00,1.5983e+18,"@giginpraginanto @msaid_didu Negara kok dijual to pak..pak...begini kok pengen 3 periode..
Omongan pak de ngga ada yang konsisten: bilangnya *sy sdh 2X jd presiden,kini giliran prabowo,* orang klo rambutnya putih+dahi berkerut itu,tanda mikir rakyat,* klo sy diinginkan rakyat sy mau jd..",LuckyLudjainat1,,negara jual to periode omong deh konsisten bilang x presiden gilir prabowo orang rambut putih dahi kerut tanda pikir rakyat rakyat,Marah
8,2018-09-24 00:56:53+00:00,1.04403e+18,"@nostradm @DIMA5_ARYA_ @fariz1234 @faizalassegaf @Syarman59 @BHD_58 @semiaji_w @prabowo @sandiuno Sdh TIDAK Efektif lg Bro. Karena MOMENnya sdh Berbeda.

Namun demikian, kita Tetap WASPADA.
Sbab, Ulama Gadungan yg menamakan dirinya sbg GNPF-Ulama sdh menebarkan RACUN.",fariji_lacak,Surabaya,efektif bro momen beda waspada sbab ulama gadungan nama gera nasional fatwa ulama tebar racun,Marah
9,2019-04-10 23:36:05+00:00,1.11612e+18,@BangRW_ @putrabanten80 @AkunTofa @ardi_riau Good good good good and nice nice nice nice. Good luck General Prabowo Subianto and Sandi Aga Uno 2019. Amenx3 Yra.,IbraPrawira1,,good good good good and nice nice nice nice good luck general prabowo subianto and sandi aga uno amenx ya rabbal alamin,Senang
10,2020-06-21 01:56:14+00:00,1.27452e+18,"jangan Lupa pakai Helm standar SNI ada Operasian Gabungan dari Team Pak Jokowi,  kalo maksa lewat ndak pakek Helm pasti golongannya Pak Prabowo dan Amin Rais. 
#IndonesiaDaruratHumor https://t.co/vVQcZfXN9N",arief_bidixs,"Jember, Jawa Timur",lupa pakai helm standar operasi gabung tim jokowi paksa pakai helm golong prabowo amin rais,Marah
11,2019-05-17 20:54:15+00:00,1.12949e+18,"Bagus lah bila @Jokowi dan @prabowo  bertemu sebelum tanggal 22 Mei 2019, Insyallah dg pertemuan tsb tensi politik di negeri ini akan turun. Kembali bersatu untuk NKRI tercinta",AriefSurya11,"Kota Surabaya, Jawa Timur",bagus temu tanggal mei insyaallah temu tensi politik negeri turun negara republik indonesia cinta,Senang
12,2019-04-12 19:33:30+00:00,1.11679e+18,"@musniumar @marierteman @prabowo Situkan juga kayak gitu..... Situ digtukan mrah2 sambil gebrak2.... Labil lo do, dudo.",anttthory,,situ kayak situ digtukan marah gebrak labil do dudo,Marah
13,2019-03-03 10:56:59+00:00,1.10216e+18,"@fadlizon @Gerindra @prabowo @sandiuno Serius nih pak @fadlizon ? Kulo warga sidoarjo wegah pak , punya caleg kayak gini .... sepurane milih sing liyane mawon nggih 🙏🏼@e100ss",nita_alfita,"Kota Surabaya, Jawa Timur",serius nih kulo warga sidoarjo wegah calon legislatif kayak sepurane pilih sing liyane mawon iya,Sedih
14,2019-05-14 15:01:43+00:00,1.12831e+18,"@VIVAcoid Rawe2 Rantas Malang2 Tuntas Pak Prabowo Subianto dan Sandi Aga Uno, Maju Terus Pantang Mundur.",IbraPrawira1,,rawe rantas malang tuntas prabowo subianto sandi aga uno maju pantang mundur,Marah
15,2018-10-05 15:03:42+00:00,1.04823e+18,Salah ucap tapi bikin hati senang spt ada harapan baru bagi negri ini : presiden @prabowo https://t.co/vLJHfRkylt,hasanjufri,,salah bikin hati senang surat pemberitahuan harap negeri presiden,Senang
16,2019-05-23 00:44:00+00:00,1.13136e+18,"Astaga kesel bat gw kenapa orang2 pada tolol demo. Klo ga trima tinggal bawa bukti ke MK, urus, proses. Kenapa harus kringetan dijalanan. Ga elegan banget. Prabowo juga yelah pak kenapa ga ada upaya menghentikan simpatisannya sih.",annaa407,,astaga kesal banget gue orang tolol demo terima tinggal bawa bukti mk urus proses kringetan jalan elegan banget prabowo iya upaya henti simpatisan sih,Marah
17,2019-03-16 13:53:06+00:00,1.10692e+18,"Datang disambut keramaian itu capres @prabowo.
mendatangi pusat keramaian itu capres @jokowi",EviNurlina3,,sambut ramai calon presiden pusat ramai calon presiden,Sedih
