,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2019-04-19 06:31:56+00:00,1119126465537122304,@dannydeanarch @guechandraaa @fajrinamaya @prabowo saya gk setuju coy . kita org 01 . nending kita usul sama mentri klautan kita aj ... biar sama ibu susu pj. yg tugaskn untuk tengelamkn aj coy ...gimana stuju 😃😃😃,AgusHer85521352,,tuju coy orang nending usul menteri klautan biar susu pj tugaskn tengelamkn coy tuju,Marah
1,2019-02-17 14:26:11+00:00,1097140154689511424,Pak prabowo kayaknya dah shiap bener besok wajahnya bakal jadi meme nasional. Persiapannya mantap.,lllllllita,"Balikpapan, Indonesia",prabowo kayak shiap besok wajah meme nasional mantap,Senang
2,2019-03-21 10:58:01+00:00,1108684181876293632,@awalizan @ikaaalubis @djun_bang @jokowi @susipudjiastuti @addiems @chicohakim @dr_tompi @BurhanMuhtadi @RiaIrawan @anandasukarlan Betul. Jajaran menterinya pak jokowi jg kemungkinan besar akan digantikan dengan menteri2 dari ku bu pak prabowo,adaacil,"Balikpapan, Kalimantan Timur",jajar menteri jokowi ganti menteri ku bu prabowo,Marah
3,2019-04-19 05:28:41+00:00,1119110547570446336,"Lain kali kalau pemilu, jangan ajak pak prabowo.

Bikin ribet.",hadieoyie,"Balikpapan Utara, Indonesia",kali pilih ajak prabowo bikin ribet,Marah
4,2018-12-09 23:48:21+00:00,1071914480127410181,"PAN Kalsel Pastikan Dukung Jokowi-Ma'ruf
Partai Amanat Nasional (PAN) termasuk salah satu partai pengusung pasang calon presiden wakil presiden (Capres dan Eapres), Prabowo Subianto -… https://t.co/CSE9mGsT2t",kalimantanpost_,banjarmasin,kalsel dukung jokowi ruf partai amanat nasional masuk salah partai usung pasang calon presiden wakil presiden calon presiden eapres prabowo subianto,Marah
5,2022-08-17 01:11:25+00:00,1559709447794356224,Jokowi salah satu Presiden Terbaik - Prabowo Subianto #HUT77thRI https://t.co/zFy6lFrHVp,SandraAgustin94,,jokowi salah presiden prabowo subianto,Sedih
6,2022-12-20 16:27:09+00:00,1605238385563430913,"@YoutubeILC @aniesbaswedan @ganjarpranowo @airlangga_hrt @prabowo Anies ngebet, pollingnya jg ngebet, adminnya ngebet... Kita rehad sejedagh...",saripudin1601,"samarinda, kalimantan timur",anies ngebet mungut suara ngebet adminnya ngebet rehad sejedagh,Sedih
7,2019-07-14 14:23:42+00:00,1150410545066938368,"@andre_rosiade @prabowo @jokowi @Gerindra Bahasamu yg salah om, 1-jika menyebut pak prabowo silagurrahim ke jokowi. Seharusnya JOKOWI yg silaturrahim ke pak prabowo, itu baru masuk akal. 2-tak ada cerita pahlawan menjabat tangan penghianat.",igoemams,balikpapan city,bahasa salah om prabowo silagurrahim jokowi jokowi silaturrahim prabowo masuk akal cerita pahlawan jabat tangan khianat,Marah
8,2018-09-17 04:55:33+00:00,1041551207284654080,@jansen_jsp @saididu @jokowi @prabowo Indahx berbeda pandangan..yg ga mau dipanggil emak2..ga jadi masalah..silahkan dipanggil ibu bangsa..yg penting kita bersaudara.,OtoRachman,,indahx beda pandang panggil emak sila panggil bangsa saudara,Marah
9,2018-09-10 01:58:58+00:00,1038970054186950658,@abuirsyad74 @prabowo Para gubernur yg dukung jokowi 2 periode pasti bertolak belakang sama hati nuraninya dan untuk mempertahankan jabatannya aja,TNSukar,"Balikpapan, Indonesia",gubernur dukung jokowi periode tolak hati nurani tahan jabat,Marah
10,2018-10-19 08:16:55+00:00,1053198293801418753,"Kalo dlu JKW maju jdi presiden, pdhal masa jabatan blum selesai Alasannya lebih mudah jdi presiden utk menangani JKT Makro to mikro

Now, bisa kita blang bang @sandiuno ingin mereplikakan kebijakan  yg sama secara nasional Mikro to makro 

@prabowo @Dahnilanzar @Ferdinand_Haean",DimasAbuAbraham,"Balikpapan Timur, Indonesia",jokowi maju presiden jabat selesai alas mudah presiden tangan jakarta makro to mikro now belang bang replika bijak nasional mikro to makro,Marah
11,2019-04-28 23:57:54+00:00,1122651181602336768,@sandiuno @prabowo hallo suadaraku bpk Prabowo Dan bpk Sandy slmt pagi Dan suksss sll dlm tgs pekerjaannya serta dalam keluarga,HanikoRoosevelt,"Balikpapan Utara, Indonesia",halo suadaraku prabowo sandy selamat pagi suksss tugas kerja keluarga,Senang
12,2018-01-05 22:21:17+00:00,949405470380376064,@digembok @Kataindahku11 @Gerindra @prabowo bkn jual tp itu strategi jebak yg org belang bro,endroarmy96,,jual strategi jebak orang belang bro,Marah
