,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-10-10 15:30:51+00:00,1050046005939302400,"Salam 2 jari dari timur Indonesia untuk @prabowo dan @sandiuno 

Izakod bekai,  Izakod Kai (satu hati satu tujuan) Allahu Akbar!!! https://t.co/NvYknkL6Ot",SamsirHassa,"Papua, Indonesia",salam jari timur indonesia izakod beka izakod kau hati tuju allahu akbar,Cinta
1,2019-06-20 19:48:35+00:00,1141794995457990657,"KALAU nih kalau, misal putusan MK menyatakan KPU ga blunder dan hasil pemilu 2019 dianggap sah, setelah ini temen2 pak prabowo masih pada main ke rumah dia ga ya, masih ttp deket ga ya.
Kasian pak prabowo kalo ga...",asdflkjhgasdf,"Papua, Indonesia",nih putus mk nyata komisi pemelihan blunder hasil pilih anggap sah teman prabowo main rumah ya ya kasihan prabowo,Marah
2,2019-05-22 17:49:16+00:00,1131255721528516608,"@CNNIndonesia Semakin tidak respek dengan Pak Prabowo, Rakyat juga tidak mau lah anda jadi President secara anda sendiri aktor intelektual yang bikin demo Anatolia di jkt ini terjadi #pecundangyangtidakmaumengakuikekalahannyayaandainiiihiks",WiwinWFirdaus,Tembagapura Papua,respek prabowo rakyat presiden aktor intelektual bikin demo anatolia jakarta,Marah
3,2022-01-20 16:07:36+00:00,1484195919759577094,"@JokoSut22826110 @tjhinfar @ChusnulCh__ @DivHumas_Polri @ListyoSigitP @prabowo Namanya juga sakit hati sd stadium 4, apa yg d buat pemerintah seakan tiada arti 😁😁",mualim_aswad,,nama sakit hati sekolah dasar stadium perintah tiada arti,Bahagia
4,2020-05-01 00:55:54+00:00,1256024515538108416,"@jokowi @kumparan @CNNIndonesia @msaid_didu @RamliRizal @MardaniAliSera @TERAWAN_COSPLAY @prabowo @sandiuno @SatgasCovid19 
Ini lah ruang isolasi/karantina 13 pasien covid 19 di nabire papua.
Diketahui pasien adalah klaster gowa. 
Ini manusia pak bukan binatang. https://t.co/y1xcG0pHq8",27_anchu,,ruang isolasi karantina pasien covid nabire papua pasien klaster gowa manusia binatang,Sedih
5,2019-07-15 03:37:46+00:00,1150610378344112129,"Sa bukan pendukungnya Tapi, Saya Suka bapak @prabowo  Salah satu Tokoh Negara yg berjiwa besar. Semangat Bapak. Tuhan Memberkatimu https://t.co/xFo40wZgjp",CDahay,"Papua, Indonesia",sa dukung suka salah tokoh negara jiwa semangat tuhan berkat,Bahagia
6,2019-02-21 17:24:19+00:00,1098634533354725376,"#Repost @fahrihamzah
•  •  •  •  •
DANA DESA PERINTAH UU BUKAN PAK @jokowi 
Jadi, dalam kaitan Dana Desa itu:
1. Pak prabowo mendukung lahirnya UU desa melalui Fraksi @gerindra dpr_ri -… https://t.co/lJ20trXt8g",Yanzegh27,"Jayapura, Papua, Indonesia",dana desa perintah undang undang kait dana desa prabowo dukung lahir undang undang desa fraksi dewan wakil rakyat ri,Bahagia
7,2018-12-31 17:42:51+00:00,1079795030355783681,"Selamat tahun baru 2019 pak prabowo dan mas sandiuno 

Tahun baru Presiden baru 
prabowoindonesia_ @adilmakmur02 mpi_melatiputihindonesia 
#2019prabowosandi #prabowosubianto #sandiagauno… https://t.co/1rXbuDxkha",Yanzegh27,"Jayapura, Papua, Indonesia",selamat prabowo mas sandiuno presiden prabowoindonesia mpi melatiputihindonesia,Bahagia
8,2018-09-26 15:19:47+00:00,1044969791834869760,"@Dennysiregar7 @prabowo Maju trus bang @Dennysiregar7.
Kami dari papua mendukung mu bang... 💪💪💪",MikePurba3,"Papua, Indonesia",maju bang papua dukung mu bang,Bahagia
9,2019-10-18 21:25:30+00:00,1185305929199185920,"@prabowo Bapak prabowo, sa dipapua inii....merindukan pemimpin yg tegassss....pemimpin yg tidak tajam pada bawahan, pemimpin yg tidak mengorbankan anggota demi jabatannya...",AgungWaskito4,"Biak, Papua - Indonesia",prabowo sa dipapua rindu pimpin tegassss pimpin tajam pimpin korban anggota jabat,Cinta
