,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-11-09 04:31:28+00:00,1590200373008281600,"@prabowo Anu pak, mbk puan dibuat becandaan rang orang https://t.co/tzz8slTVD4",klopo_maruto,,anu mbak puan canda rang orang,Senang
1,2022-11-08 09:24:24+00:00,1589911704200450048,"Kenang Kemenangan Masa Lalu, Jokowi Sebut Giliran 'Jatahnya Prabowo' Buat Pilpres 2024

#Prabowo #PrabowoSubianto #Jokowi #Jokowidodo #dekade08 #MendingPrabowo #Perindo #HUTPerindo #Indonesia #Pilpres2024
https://t.co/gADTnHkz1g",SelmaKarami7,,kenang menang jokowi gilir jatah prabowo pilih presiden,Marah
2,2018-04-08 00:39:12+00:00,982779861876989952,Bapak Jendral @prabowo belajar banyak lagi dari pakde tukang kayu yang skrg jadi presiden semangat optimisnya pak Jokowi @jokowi membawa indonesia akan tetap maju jaya aman adil makmur dari tahun ke tahun #T3tapJokowi2019 #JokowiMembangunIndonesia https://t.co/4KgAIgoEXZ,FrennyPahibe,"Kota Manado, Sulawesi Utara",jenderal ajar pakde tukang kayu presiden semangat optimis jokowi bawa indonesia maju jaya aman adil makmur,Senang
3,2022-11-06 05:18:34+00:00,1589125064321966080,"Sebelumnya, Prabowo melihat manuver Tim Aerobatik Jupiter TNI Angkatan Udara atau Jupiter Aerobatic Team TNI AU. https://t.co/bg3zerUZXd @prabowo #MendingPrabowo #dekade08 #Pilpres2024",HendryWilliam_,,prabowo lihat manuver tim aerobatik jupiter tentara nasional indonesia angkat udara jupiter aerobatic tim tentara nasional indonesia au,Marah
4,2022-11-25 06:55:00+00:00,1596034701495394304,"sepakat sekali, sebuah masyarakat tidak bisa pernah disegani kalau lupa mempersiapkan pemudanya hadapi masa depan.

Guruku Pahlawanku
NgopiDaring Bela Negara
Bangsa Cerdas Maju

@kemhan_ri
@prabowo https://t.co/Gf3AsOYMOG",RestiRestia3,,sepakat buah masyarakat segani lupa pemuda hadap guru pahlawan ngopidaring bela negara bangsa cerdas maju,Senang
5,2019-01-04 13:56:44+00:00,1081187678714880001,"@Igedemanuke9 @AlaricLuthfy @ebugogo2periode @Jeonum1203 @Nink47018190 @muttle9 @MerdekaBrojoe @Sandro87732049 @XihxhouxExchou @SalmaBrecht @koecing_pasar @dewantara_adjie @bobolidos @do_chand @suka_komen @JokSusi2019 @enylove2 @TamMuht @AnissaVerawaty @Mmahalik2 @juventini_3rwin @Ninnocyber @himawan1978 @NurmaTgr @Swarnadiva9 @arekgubeng2 @LebahBorneo @Nurulis53223263 @BPart02 @cikyber @kenneth_aurelio @AndriawanRandie @fier_79 @gunwbisono @Versakleg @zqnov @IndraNov1972 @jnnewrw @AdrianWaworuntu @cv_wilcor @ayudh41 @Sukardi2017 @SanSuwardhi @feradiana_a @5dhany5 @Nanaa_rosaa @grassrockstones @prabowo @rockygerung @AndiArief__ Om kalau gue dulu kerja naik gunung turun gunung, ke sawah dan hutan kerja survei ukur tanah sampai kepleset tapi tetap semangat 💃 lha itu om sandi ngapain cabutin rumput doank 😂😆😅 #01jokowilagi milenial tetap jokowi harus semangat 😃 #01JokowiMarufAmin https://t.co/leUbkgdVKv",FrennyPahibe,"Kota Manado, Sulawesi Utara",om gue kerja gunung turun gunung sawah hutan kerja survei ukur tanah kepleset semangat om sandi cabutin rumput doang milenial jokowi semangat,Senang
6,2022-10-29 03:57:11+00:00,1586205481441595394,"@MasJegos @hendry_martien @Hadisang70 @Tan_Mar3M Betul kisanak..mrk smua beruntung krn faktor ortu..gibran,boby,ibas,ahy,puan,yeny wahid,prabowo subianto.mega mrk spti skrng karna faktor ortu..bersyukurlah mrk.harus bisa mendem jero mikul duwur nama ortunya..kalo kita dilahirkan dari rahim kemiskinan..beda nasib..🤣🤣🤣🤣🤣🤣",AnwarSudibyo1,,kisanak untung faktor orang tua gibran boby ibas agus harimurti yudhoyono puan yeny wahid prabowo subianto mega faktor orang tua syukur mendem jero mikul duwur nama orang tua lahir rahim miskin beda nasib,Senang
7,2022-11-04 02:37:34+00:00,1588359771760967680,"Alhamdulilah,Selamat Bapak Presiden @jokowi,Bapak Menhan @prabowo dan Bapak Menteri BUMN @erickthohir masuk daftar 500 Muslim paling berpengaruh di Dunia.”juga beberapa tokoh Muslim Indonesia seperti Ketua PBNU Bapak Kiai Yahya Cholil Staqu.”
#BangkitBersamaET https://t.co/dcPvk61rbj",Andreansyah_088,,alhamdulillah selamat presiden menhan menteri badan usaha milik negara masuk daftar muslim pengaruh dunia tokoh muslim indonesia ketua urus nahdlatul ulama kiai yahya cholil staqu,Senang
8,2022-11-23 06:36:27+00:00,1595305258884149248,Menhan Prabowo dan Austin yang menekankan bahwa kerja sama pertahanan antara kedua negara merupakan sebuah sejarah panjang yang akan terus berlanjut dan meningkat di masa depan. https://t.co/PvZ6K2LsaL @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo,FitsaMarina,,menhan prabowo austin tekan kerja tahan negara rupa buah sejarah tingkat,Marah
9,2018-08-25 13:26:33+00:00,1033344882444664832,"@lubize20 @KakekDetektif @prabowo Ujung2nya korupsi buat balikin modal, jangan ganti presiden ribet",FrennyPahibe,"Kota Manado, Sulawesi Utara",ujung korupsi modal ganti presiden ribet,Marah
