,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-12-20 04:23:09+00:00,1075607510726262784,"@abi_ranata @dayat4x4 @tjahjo_kumolo @prabowo @jokowi Harusnya jokowi mundur,,, jadi tidak ada tekanan, dan memanfaatka jabatan untuk penekanan2 dan fasilitas negara,,plt yusuf kala jadi sportif dan adil",syamsulkoim,"Pekan Baru, Riau",jokowi mundur tekan memanfaatka jabat tekan fasilitas negara plt yusuf sportif adil,Marah
1,2018-03-10 13:36:37+00:00,972466255977263104,"GARA-GARA @Fahrihamzah vs @msi_sohibuliman BERTIKAI BERDAMPAK KEDUANYA BERBEDA PENDAPAT SOAL NASIB @prabowo: @Fahrihamzah YAKIN @jokowi PASTI KALAH MELAWAN @prabowo. SEBALIKNYA BAGI @msi_sohibuliman @prabowo SULIT KALAHKAN @jokowi. KINI SAAT PETINGGI @Gerindra, @fadlizon TANGGAPI https://t.co/OnXvQMcBxK",ProfYLH,"Medan Kota, Indonesia",gara gara lawan tika dampak beda nasib kalah lawan sulit kalah petinggi tanggap,Sedih
2,2018-04-11 17:11:37+00:00,984116771954274304,@fadlizon @Gerindra @prabowo Capres? Emg cukup suara nya? 😂 Soalnya PKS blg ganti presiden bukan blg Prabowo presiden,Maniksen_,"Medan, Sumatera Utara",calon presiden suara nya partai adil sejahtera bilang ganti presiden bilang prabowo presiden,Marah
3,2019-11-22 11:48:32+00:00,1197844306381295616,"@RajoMuaroBodi @haristyana @prabowo @sandiuno @TopToross @BagioSastro02 Semangat, bang. Biarkan dia berkibar sampai waktu yg membuatnya berhenti",ApitNugroho2,,semangat bang biar kibar henti,Senang
4,2019-05-15 02:53:05+00:00,1128493476255940608,"@detikcom Sudah Pak @prabowo, Terima gak Terima tetap hasil hitung kpu yg sah.",muhayyasyukran,"Medan,North Sumatera",terima terima hasil hitung komisi pemelihan sah,Sedih
5,2018-11-25 14:37:08+00:00,1066702328550445056,"Tanah yang ditempati Bangsa Israel adalah tanah perjanjian dari ALLAH,kita sebagai manusia biasa tak mungkinlah bisa menentang pemilik Alam Semesta ini.TGB Zainul Majdi Kritik Keras Pernyataan Prabowo Subianto Soal Palestina: Ingat Kepada Allah! https://t.co/s6cMFUMdds",AgustinusAdria2,,tanah bangsa israel tanah janji allah manusia milik alam semesta tuan guru bajang zainul majdi kritik keras nyata prabowo subianto palestina allah,Senang
6,2019-01-18 20:42:00+00:00,1086363096292065280,@TehTJEMPLUNG @prabowo @sandiuno Goyang jaipong.pak prabowo...mama-mama...nertawain bapak prabowo.haaaa...haaa..haaa....lucu pak.,Sugi65923943,,goyang jaipong prabowo mama mama nertawain prabowo haaaa haaa haaa lucu,Senang
7,2019-07-03 16:57:44+00:00,1146463043653529601,"@gemacan2 @prabowo Sudahlah yg menang tidak boleh JUMOWO sebab sudah menjadi presiden RI😋😋
Yg kalah pun harus nya LEGOWO terima sebagai pemenang cadangan 😂😂😂",ediwandawanda4,,menang jumowo presiden ri kalah nya legowo terima menang cadang,Marah
8,2018-10-14 14:05:03+00:00,1051473967263801345,"@dedysuriyanto98 @Icalmiaaauuuww @erna_st @prabowo Sebenarnya begitu. Tp msh setingkat anak pak @prabowo usianya bs bersikap kurang ajar bgt, siapa yg ga meledak.",mw_abbas,Medan,tingkat anak usia sikap ajar banget ledak,Sedih
9,2020-08-29 11:44:37+00:00,1299674310399852546,"https://t.co/f6D67uCmTb saya prihatin sesama aparat penjaga kedaulatan negara kenapa harus konflik seperti ini, saya sedih sebagai rakyat, Pendiri Bangsa melihat ini akan menangis Pilu @jokowi @mohmahfudmd @DivHumas_Polri  @Puspen_TNI  @prabowo",nakahikari,,prihatin aparat jaga daulat negara konflik sedih rakyat bangsa lihat menang pilu,Sedih
