,DateTime,Tweet Id,Tweet,Username,Location
0,2019-01-18 11:53:27+00:00,1086230082862149632,"Mari wujudkan Indonesia Adil dan makmur Bersama prabowo dan sandiuno 

#prabowosubianto #sandiagauno #indonesiaadildanmakmur @ Jayapura, Indonesia https://t.co/240M9mexiI",Yanzegh27,"Jayapura, Papua, Indonesia"
1,2019-01-18 11:53:27+00:00,1086230082862149632,"Mari wujudkan Indonesia Adil dan makmur Bersama prabowo dan sandiuno 

#prabowosubianto #sandiagauno #indonesiaadildanmakmur @ Jayapura, Indonesia https://t.co/240M9mexiI",Yanzegh27,"Jayapura, Papua, Indonesia"
2,2018-12-31 17:42:51+00:00,1079795030355783681,"Selamat tahun baru 2019 pak prabowo dan mas sandiuno 

Tahun baru Presiden baru 
prabowoindonesia_ @adilmakmur02 mpi_melatiputihindonesia 
#2019prabowosandi #prabowosubianto #sandiagauno… https://t.co/1rXbuDxkha",Yanzegh27,"Jayapura, Papua, Indonesia"
3,2018-12-31 17:42:51+00:00,1079795030355783681,"Selamat tahun baru 2019 pak prabowo dan mas sandiuno 

Tahun baru Presiden baru 
prabowoindonesia_ @adilmakmur02 mpi_melatiputihindonesia 
#2019prabowosandi #prabowosubianto #sandiagauno… https://t.co/1rXbuDxkha",Yanzegh27,"Jayapura, Papua, Indonesia"
4,2022-10-16 16:48:35+00:00,1581688566257975297,"Selamat Ulang Tahun 17 oktober 2022  Kepada KETUA UMUM PARTAI GERINDRA .
BPK  H.PRABOWO SUBIANTO

Semoga Cita2 Mulia 
Bapak Prabowo Subianto Untuk Nusa dan Bangsa Sebagai Presiden Republik Indonesia 2024 
Di Kabulkan Oleh Tuhan Yang Maha Kuasa. https://t.co/2lW1xtkCnp",Dominik8342,
5,2019-04-17 06:21:31+00:00,1118399067426476034,"Bismillah, Allahu Akbar!!! 

@prabowo
@sandiuno

#TheVictoryOfPrabowo 
#KawalPemilu2019 
#Pemilu2019 https://t.co/S1TnLjHhkz",SamsirHassa,"Papua, Indonesia"
6,2019-03-25 12:45:27+00:00,1110160769025368064,"Saat pak @prabowo  dan Pak @marierteman di Kota Merauke, awan pun berbentuk angka 2.

#PrabowoMenyapaMerauke https://t.co/HhKFjYISsB",SamsirHassa,"Papua, Indonesia"
7,2018-09-04 07:47:21+00:00,1036883401557463040,"Bendera Merah Putih akan tetap berkibar  sampai kapanpun!!! dari Abang sampai Merauke.

Salam kemenangan Jenderal @prabowo dan @sandiuno ditahun 2019

Merauke_Papua https://t.co/e0qlMVQHEJ",SamsirHassa,"Papua, Indonesia"
8,2018-09-02 00:37:10+00:00,1036050366436007937,"Selamat Pagi Merauke_Papua selamat pagi Indonesia, selamat pagi buat bapak @sandiuno Dan Bapak @prabowo ,salam hangat dari ujung timur Indonesia, salam satu komando, salam kemenangan ditahun 2019. https://t.co/qGQ1peosYQ",SamsirHassa,"Papua, Indonesia"
9,2022-11-01 08:24:19+00:00,1587359869266407425,@Bambangelf @prabowo @cakimiNOW @Smsl_alghozali #Pkb,yauwarin,
