,DateTime,Tweet Id,Tweet,Username,Location
0,2022-12-03 02:06:49+00:00,1598861281448329217,"@heni_nuraeni123 @erickthohir Yg paling bermanfaat..adalah doa n hadiyah alfatehah kita bagi Almarhum..semoga Alloh swt ridlo kpdanya lahu alfth..amin

EYD tdk mngenal..mad ..jadi ngga perlu..ditulis "" Aamii ""sebab dalam EYD itu akan terbaca "" A_a_ mi_in ""

maka cukup امين kita tulis Amin..dlm EYD.
🇮🇩⚘",sdarwisbali,west tengku umar denpasar bali
1,2022-12-03 02:06:49+00:00,1598861281448329217,"@heni_nuraeni123 @erickthohir Yg paling bermanfaat..adalah doa n hadiyah alfatehah kita bagi Almarhum..semoga Alloh swt ridlo kpdanya lahu alfth..amin

EYD tdk mngenal..mad ..jadi ngga perlu..ditulis "" Aamii ""sebab dalam EYD itu akan terbaca "" A_a_ mi_in ""

maka cukup امين kita tulis Amin..dlm EYD.
🇮🇩⚘",sdarwisbali,west tengku umar denpasar bali
2,2022-12-03 01:44:38+00:00,1598855700603863041,@erickthohir Lahu ..alft...amin,sdarwisbali,west tengku umar denpasar bali
3,2022-12-03 01:44:38+00:00,1598855700603863041,@erickthohir Lahu ..alft...amin,sdarwisbali,west tengku umar denpasar bali
4,2022-11-27 23:57:23+00:00,1597016769712902144,@suliadi_1988 @jokowi @erickthohir @mohmahfudmd @BANKBRI_ID @kontakBRI @KemenBUMN Saya nasabah BRI sdh lama sekali..tp beberapa tahun belakangan jadi kurang nyaman..sekarang hanya di pakai menerima transfer aja langsung tarik tunai di atm 🤦‍♂️,BSoma277,"Denpasar Timur, Indonesia"
5,2022-11-22 04:12:37+00:00,1594906672602173440,"@williamvcj @Irwan2yah @jokowi @ganjarpranowo @puanmaharani_ri @erickthohir Dari pada agama kan betul,dengan  pelajaran agama makin buta kasih sayang (tergantung ajaran agama),tapi di tempat ku pelajaran agama justru baik karena mengajarkan kebenaran sejati",KEWALORENZO,"Denpasar, Bali"
6,2022-11-22 04:12:37+00:00,1594906672602173440,"@williamvcj @Irwan2yah @jokowi @ganjarpranowo @puanmaharani_ri @erickthohir Dari pada agama kan betul,dengan  pelajaran agama makin buta kasih sayang (tergantung ajaran agama),tapi di tempat ku pelajaran agama justru baik karena mengajarkan kebenaran sejati",KEWALORENZO,"Denpasar, Bali"
7,2022-11-22 01:17:46+00:00,1594862672901799938,@Irwan2yah @jokowi @ganjarpranowo @puanmaharani_ri @erickthohir 😂😂😂🤦‍♂️,BSoma277,"Denpasar Timur, Indonesia"
8,2022-11-05 03:12:42+00:00,1588731001202954240,"Pengalamannya yang pernah menjabat sebagai Presiden klub Inter Milan, Erick Thohir didukung untuk dapat memimpin  PSSI yang akan melaksanakan Kongres Luar Biasa (KLB) untuk memilih Ketua Umum (Ketum) pada Maret 2022 nanti disuarakan Presiden klub Persiraja Banda Aceh Zilfikar SBY https://t.co/KEVeqiDbYT",injurytimeindo,"Bali, Indonesia"
9,2022-10-26 01:43:34+00:00,1585084689370427392,"Rabu, 26 Oktober 2022

""Rahajeng Rahina Pagerwesi Sobat Rumah BUMN Denpasar""

@pln_id
@arya.m.sinulingga
@erickthohir
#bumn #pln #rb #rumahbumn #denpasar #bisnis #umkm #umkmdenpasar #maju #berkembang https://t.co/9Lxwo4pFXu",DenpasarBumn,"Denpasar Selatan, Indonesia"
