,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-01-02 09:04:36+00:00,1477566486105362432,"Menteri BUMN @erickthohir mengawali momentum awal tahun baru 2021, dengan melakukan kunjungan kerja sekaligus pulang kampung ke  Karangasem di Provinsi Bali.
Isteri dari Erick Thohir yaitu Liza Thohir berasal dari Karang Asem yg merupakan keturunan kerajaan di Karang Asem. https://t.co/dGU69a3IGa",Aprilia_wiji,,menteri badan usaha milik negara momentum laku kunjung kerja pulang kampung karangasem provinsi bal isteri erick thohir liza thohir karang asem rupa turun raja karang asem,Bahagia
1,2022-11-19 09:21:49+00:00,1593897322332966914,"Gala dinner untuk tamu negara KTT G20 di Taman Budaya Garuda Wisnu Kencana (GWK), Badung, Bali, pada Selasa, 15 November 2022 menarik perhatian publik. Adalah @wishnutama dan @erickthohir sosok di balik keberhasilan event gala dinner tamu negara KTT G20.

#BangkitBersamaET https://t.co/WtMCp5u4CI",Djantjik,,gala dinner tamu negara konferensi tingkat taman budaya garuda wisnu kencana gwk badung bal selasa november tarik perhati publik sosok hasil event gala dinner tamu negara konferensi tingkat,Bahagia
2,2022-11-17 00:18:35+00:00,1593035838795190272,"@erickthohir @jokowi Puji Tuhan G20 di Bali lancar &amp; sukses ya pak.
Smg membawa perubahan yg lbh baik utk dunia🤲🤲👍👍",NanikNaomi,,puji tuhan bal lancar amp sukses ya moga bawa ubah dunia,Bahagia
3,2022-09-15 01:15:22+00:00,1570219691909730306,"Saat meninjau pembangunan KEK Bali, @erickthohir memastikan proyek tsb berjalan sesuai rencana &amp; pembangunan infrastruktur dasar akan rampung November 2022. Di sisi lain, ia berjanji utk memberi bantuan pada pedagang di sekitar lokasi sebesar masing2 Rp 1 juta.

#BangkitBersamaET https://t.co/imkCuAPxD5",zhymme,,tinjau bangun kayak bal proyek jalan sesuai rencana amp bangun infrastruktur dasar rampung november sisi janji bantu dagang lokasi rupiah juta,Bahagia
4,2021-12-28 02:22:49+00:00,1475653434237878274,"Keren, rencana pembangunan kawasan wisata kesehatan yg direncanakan oleh Kemen BUMN di bawah komando Erick Thohir sgr direalisasikan

Tahap awal pembangunannya dimulai dgn membangun Bali International Hospital

Tidak perlu ke luar negeri utk berobat

https://t.co/y0PtHbjeVO",plshn1,,keren rencana bangun kawasan wisata sehat rencana menteri badan usaha milik negara komando erick thohir sgr realisasi tahap bangun bangun bal international hospital negeri obat,Bahagia
5,2022-04-01 06:25:53+00:00,1509779060519440384,"Penataan Terminal LNG Benoa Perkuat Ketahanan Energi &amp; Pariwisata Bali

Menteri BUMN Erick Thohir mendorong project LNG BMTH dapat membangun ekosistem yang kuat dalam menjadikan Indonesia sebagai negara yang mandiri dan berdaulat

#ErickThohirSolusiRakyat
https://t.co/syr3pURua8 https://t.co/Oa5SIoQzVs",selfmirror_,,tata terminal lng benoa kuat tahan energi amp pariwisata bal menteri badan usaha milik negara erick thohir dorong proyek lng bmth bangun ekosistem kuat indonesia negara mandiri daulat,Bahagia
6,2022-11-14 22:23:41+00:00,1592282145854455808,"Menteri BUMN Erick Thohir Menyambut Kedatangan  President World Bank Mr. David Malpass pada pukul 00:30 WITA di  Bandara Internasional @Ngurah Rai, Bali
@erickthohir 
#BangkitBersamaET https://t.co/X9XERfLO38",Retnowonosari,,menteri badan usaha milik negara erick thohir sambut presiden world bank mr david malpass wita bandara internasional rai bal,Bahagia
7,2021-12-31 15:05:17+00:00,1476932476865900559,"Patut di contoh nih, Menteri BUMN Erick Thohir memberikan dukungan kepada komunitas Kreatif Banjar Yeh Buah Jembrana Bali

Agar dapat mengembangkan budaya kreatif https://t.co/ze1zf5O3l1",plshn1,,patut contoh nih menteri badan usaha milik negara erick thohir dukung komunitas kreatif banjar iya buah jembrana bal kembang budaya kreatif,Bahagia
8,2022-01-01 04:02:15+00:00,1477128008511098883,"Banjar Creative Space ini sejalan dengan cita cita ICCN untuk menjadikan seluruh kabupaten/kota di Indonesia menjadi kreatif dg identitas, karakteristik, potensi bahkan dg tantangannya.
Tujuan utama adalah melakukan percepatan pemulihan ekonomi Bali dan Indonesia.
@erickthohir https://t.co/tZSiSvwtv4",Aprilia_wiji,,banjar creative space jalan cita cita iccn kabupaten kota indonesia kreatif identitas karakteristik potensi tantang tuju utama laku cepat pulih ekonomi bal indonesia,Bahagia
9,2022-01-06 08:00:00+00:00,1478999781015908353,"Berharap penuh dengan adanya RS Internasional di Bali para WNA yg ingin berobat bisa ke RS tsb. Karena nantinya akan menjadi pariwisata kesehatan. 
Health Tourism ala ET

#WisataKesehatan
@erickthohir 
@mohmahfudmd https://t.co/5FpoXESoFB",Keysaananda12,,harap penuh rumah sakit internasional bal warga negara asing obat rumah sakit pariwisata sehat health tourism ala et,Bahagia
