,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-06-01 02:07:52+00:00,1531819789164765184,"Langitnya biru cakep.
Kabel2nya ganggu pemandangan bgt yaa.. kapan nih kabel2 di bawah tanah semua? 😉
@pln_123 @IndiHome @FirstMediaCares  @xlhomeid @erickthohir https://t.co/4XHKNaKNKw",ndyanti,Jakarta,langit biru cakap kabel ganggu pandang banget ya nih kabel tanah,Marah
1,2022-01-02 07:30:39+00:00,1477542840330715137,"@MertuaBijak @pln_123 @erickthohir Menetes air mata dengar curhatan ibuk, semoga PLN mendaptkan balasan seribu kebaikan👍",mamanaka20,,tetes air mata dengar curhatan ibuk moga usaha listrik negara mendaptkan balas ribu,Sedih
2,2020-02-18 13:59:21+00:00,1229767362259238912,Hi min @Pegadaian @shbt_pegadaian @SPI_Pegadaian @PEGADAIANSYARIA ini bener gak sih? Apa penipuan? Cc @TMCPoldaMetro @OmbudsmanRI137 @erickthohir https://t.co/bdQj8MysbW,AchmadSyahid68,Jakarta,hi min sih tipu cc,Marah
3,2019-02-18 10:42:08+00:00,1097446158631223296,"@erickthohir Lanjutkan 2priode,, ada yg lbh penting dri sebuah kemenangan,, indonesia butuh @jokowi 1x lgii",herycs1,jakarta indonesia,periode buah menang indonesia butuh x lgii,Senang
4,2022-09-18 07:57:39+00:00,1571408094378491905,"Selamat sore Pak @erickthohir, tolong agar ngisi bensin BBM pertamina motor bisa nominal brp aja dengan debit, saat ini motor minimal 50ribu baru bisa.
Motor bebek paling 3 liter juga penuh.
Harusnya pelayanan BUMN melebihi swasta.
Jangan kalah sama sh*ll pak @erickthohir ,thanks",viriando,"Jakarta Selatan, DKI Jakarta",selamat sore tolong isi bensin bahan bakar minyak pertamina motor nominal debit motor minimal ribu motor bebek liter penuh layan badan usaha milik negara swasta kalah sh ll terima kasih,Marah
5,2021-07-02 13:21:32+00:00,1410951775507517441,"WISMA Atlet bentuk pelayanan terbaik dari negara untuk pasien Covid-19. Negara hadir membantu penderitaan pasien sembuh dari Covid-19. Terima kasih Pak @jokowi, Pak @erickthohir dan Pak Basuki Hadimulyono @KemenPU
#jokowi #jokowilawanpandemi #wismaatlet https://t.co/bvWG7D7M7o",IwanKamah,"Jakarta, Indonesia",wisma atlet bentuk layan negara pasien covid negara hadir bantu derita pasien sembuh covid terima kasih basuki hadimulyono,Senang
6,2021-08-24 04:46:25+00:00,1430028701790478340,Mau urus pencairan 30% bpjs keternagakerjan susah ya psk @erickthohir. Ke @BPJSTKinfo suruh tanya bank pemerintah. Cari info ada bank @BNI cabang bni cikokol. Sampai sini kosong. Apakah seperti ini pelayanan tingkat bawah pak @erickthohir. https://t.co/82WCMiZbnm,IdrisSuryadarma,Jakarta,urus cair badan selenggara jamin sosial keternagakerjan susah ya kerja seks komersial suruh bank perintah cari info bank cabang bank negara indonesia cikokol kosong layan tingkat,Marah
7,2020-04-20 12:47:25+00:00,1252217307553689600,"Ingat kan waktu Menhan ambil alkes dari China,.dan ternyata "" made in Indonesia ""... akhinya para pecundang politik teriaaak.. padahal ulah dia juga,. Jokowi di pojokan. Duaaarrr... thanks bro @erickthohir",Abdulkholik1970,"Jakarta Pusat, DKI Jakarta",menhan ambil alkes cina nyata made in indonesia cundang politik teriaaak ulah jokowi pojok duaaarrr terima kasih bro,Marah
8,2019-12-14 09:12:15+00:00,1205777509905649665,"@WondersWoman1 @asundamai @erickthohir Alhamdulillah......terima kasih ya kak,semoga masalahmu ketemu jalan keluar yg terbaik.....nanti kalau jadi ke kopi Joni kabar2 ya,aku di kelapa gading......😁😁😁😁🙏🙏🙏🙏🙏",Jazzwijaya,"DKI Jakarta, Indonesia",alhamdulillah terima kasih ya kak moga ketemu jalan kopi joni kabar ya kelapa gading,Senang
9,2020-01-17 00:34:39+00:00,1217968438548656128,"Kalo kontribusinya segede ini dari Swasta PT KCN ke Negara , seharusnya negara dukung bukan nya mempersulit atau mencari2 kesalahan para investor. 
Padahal pembangunan pelabuhan ini ga ada menyenggol sedikitpun dana APBN pemerintah @jokowi @erickthohir @KemenBUMN @kemenkomarves https://t.co/aC6ICZ5cX2",maizputra,"Jakarta Selatan, DKI Jakarta",kontribusi swasta pt kcn negara negara dukung nya sulit cari salah investor bangun labuh senggol dana anggar belanja negara perintah,Marah
10,2019-03-15 12:19:50+00:00,1106530440909774848,"@aida_sang @Bileriosnpr @jaewono69 @mohmahfudmd @erickthohir ah ngeles, lu ksh liat aja twit lu k RT RW lu, suruh baca twit awal lu, trus minta pendapat nye k mrk, bilang "" eh kl lu baca nih twitter , umat Islam Indonesia  ato tmn mesjid gw? "" gih sana, tanya dulu, gw Isya dulu.",siImamR,"Jakarta Capital Region, Indone",ah ngeles kasih lihat twit k rukun warga suruh baca twit nya k bilang eh baca nih twitter umat islam indonesia teman mesjid gue gih gue isya,Marah
11,2020-03-26 10:44:23+00:00,1243126646913110016,"@erickthohir @KemenPU @aniesbaswedan @BNPB_Indonesia @jokowi @Kemendagri_RI @tjahjo_kumolo @prabowo @KemenkesRI bpk2 pemimpin, ini adlh resep yg trbkti dpt sembuhkan lbih dri 350 pasien covid di New York.  Slah stu obatnya adlh Chloroquin yg kita sdh ada.  Smoga brmnfaat 🙏🙏 https://t.co/5F0T18yn8b",Eddypoernomodu1,"Jakarta Selatan, DKI Jakarta",pimpin resep trbkti sembuh pasien covid new york salah situ obat chloroquin moga brmnfaat,Senang
12,2019-11-21 05:54:37+00:00,1197392854798102528,"@hendrawarmanr @erickthohir @KemenBUMN Aneh bukan ....padahal mrk paling siap kl mau main logistik , kayak raksasa tidur",arifinpribadi,Jakarta Capital Region,aneh main logistik kayak raksasa tidur,Marah
13,2022-09-21 00:47:23+00:00,1572386977869336581,"@KemenBUMN  @erickthohir @PosIndonesia 
Kinerja POS  sangat buruk, saya sering belanja LN tp saat info paket datang 
selalu mendadak ( Hari H ) dan kena denda  biasa ada waktu 3 hari suruh bayar, kalo saya tanya proses juga lama dari @beacukaiRI",bravkurniawan,"Jakarta Timur, DKI Jakarta",kerja pos buruk belanja ln info paket dadak h kena denda suruh bayar proses,Marah
14,2020-09-11 10:53:02+00:00,1304372373001351168,"Akhir tahun ini akan tersedia 39 juta dosis vaksin Covid-19 di Indonesia. https://t.co/iM0q47etDz

@erickthohir #vaksincorona",republikaonline,"Jakarta, Indonesia",sedia juta dosis vaksin covid indonesia,Sedih
15,2022-03-12 12:01:39+00:00,1502615804172390406,"Acara Senam Akbar Emak Etho &amp; Jack Etho. Ocean Park BSD City Serpong, CBD Area, Jl. Pahlawan Seribu, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten. 
@erickthohir 
#DenganETMerdekaBerdaulat https://t.co/Q4fg2ve20u",Retnowonosari,,acara senam akbar emak etho amp jack etho ocean park bsd city serpong cbd area jalan pahlawan ribu lengkong gudang camat serpong kota tangerang selatan banten,Senang
16,2020-01-23 09:20:52+00:00,1220275193131614208,"@IndiHome indikator PON kedip-kedip, gangguan terus aja nih. Minta dirombak Erick Thohir sampean ?",CrazyLugh,"Jakarta Timur, DKI Jakarta",indikator pon kedip kedip ganggu nih rombak erick thohir sampean,Sedih
17,2019-04-16 02:22:09+00:00,1117976441117786112,"Kericuhan PEMILU di Malaysia , Hongkong ,Sydney dan Belanda  bila saya andaikan ada keterlibatan @KPU_ID @bawaslu_RI secara institusi boleh ?  tangkap dan pidana KPPS serta perangkat semua. Masa rakyat yg tegur @bawaslu_RI ngapain ? Buat report? @erickthohir TKN kmn ?",arifinpribadi,Jakarta Capital Region,ricuh pilih malaysia hongkong sydney belanda andai libat institusi tangkap pidana kpps perangkat rakyat tegur lapor tkn,Marah
18,2021-11-10 01:45:50+00:00,1458249510321221638,"@erickthohir bidang kesehatan dan pendidikan yg berada dalam naungan BUMN, anak perusahaan tujuannya CSR, peduli masyarakat, ...jgn dijadikan profit orientied, kasihan masyarakat kecil #pedulinegeri",triang7,"Jakarta, Indonesia",bidang sehat didik naung badan usaha milik negara anak usaha tuju csr peduli masyarakat profit orientied kasihan masyarakat,Sedih
19,2019-11-25 18:10:23+00:00,1199027568814354432,"Seriuskah ini pak @jokowi @erickthohir
Keberadaan Halal Park di Terminal 3 merupakan tindak lanjut setelah sebelumnya peresmian Halal Park di kawasan Gelora Bung Karno, Senayan, Jakarta, oleh Presiden Joko Widodo???

https://t.co/VfrULpC627",dLawyerTomson,"DKI Jakarta, Indonesia",serius halal park terminal rupa tindak resmi halal park kawasan gelora karno senayan jakarta presiden joko widodo,Senang
20,2019-02-20 14:58:50+00:00,1098235533271040000,@haikal_hassan @bawaslu_RI @DivHumas_Polri @KPU_ID @psi_id @PDI_Perjuangan @Cyber_PDIP @erickthohir mohon ditindak ustad ini yg mengubah suara dari video asli https://t.co/5zQn4tvclN,arifinpribadi,Jakarta Capital Region,mohon tindak ustad ubah suara video asli,Sedih
21,2021-03-12 08:57:24+00:00,1370297862681030659,Tiga Menteri Kabinet Jokowi Ikut Panen Raya Padi di Gresik https://t.co/t8NR7el2Sn via @beritabaruco @Syahrul_YL @erickthohir @KhofifahIP @KemenBUMN @kementan @Kemendag,hadiprayitno82,DKI Jakarta,menteri kabinet jokowi panen raya padi gresik via,Senang
22,2020-09-26 06:16:55+00:00,1309738704802512896,@Kemdikbud_RI @nadiemmakarim @erickthohir @PlateJohnny Apakah untuk mendqpatkan bantuan kuota internet bagi mahasiswa ada persyaratanya?,risart8,"Jakarta Timur, DKI Jakarta",mendqpatkan bantu kuota internet mahasiswa persyaratanya,Senang
23,2020-05-30 07:59:34+00:00,1266640379501178885,"Sugeng ambal warsa Menteri BUMN pak @erickthohir mugi pinariangan yuswo ingkang barokah amien 

@KemenBUMN 
@ForHumBUMN 
#50TahunErickThohir
#BUMNuntukIndonesia https://t.co/CmwvZn0AWB",perikananID,Muara Baru Jakarta Utara,sugeng ambal warsa menteri badan usaha milik negara moga pinariangan yuswo ingkang barakat amien,Senang
24,2019-12-07 03:37:16+00:00,1203156492913823744,"Nah lho...ternyata selama ini anak buahnya bekerja dibàwah tekanan kebijakan Pak Direkturnya.
Inilah Mengapa Awak Kabin Garuda Dukung Langkah Tegas Erick Thohir? https://t.co/NV5A6liUtu",Anak_Inchi,"Jakarta Selatan, DKI Jakarta",lo nyata anak buah kerja dib tekan bijak direktur awak kabin garuda dukung langkah erick thohir,Senang
25,2021-09-01 23:36:14+00:00,1433212131344793602,"Bansos ITU sebenarnya Dana bancakan , yg lalu mentrinya bermasalah , yg sekarang kerjasama kepala bank2 BUMN dengan PEMDA dengan tidak mencetak kartu bagi yg berhak. Uang sosial APBN ITU tujuan dirampok modusnya siapa yg menyalurkan .@KemensosRI @jokowi @KemenBUMN @erickthohir",arifinpribadi,Jakarta Capital Region,bansos dana bancak tri kerja kepala bank badan usaha milik negara perintah daerah cetak kartu hak uang sosial anggar belanja negara tuju rampok modus salur,Marah
26,2019-03-05 17:42:56+00:00,1102987875505692672,"@merdekadotcom Agaknya @DivHumas_Polri main mata tuh dgn AA, liat sja prosesnya..n @jokowi diam seribu bahasa krn tdk berdaya dgn org sekelilingnya..n @erickthohir Cuma geleng2 doank..",Tony_Harto,Jakarta Capital Region,main mata kakak lihat proses diam ribu bahasa daya orang keliling geleng doang,Marah
27,2020-05-31 05:52:12+00:00,1266970714596245504,Erick Thohir Sebut Mahalnya Biaya Perawatan Pasien Covid-19 https://t.co/DWLbPDJXxq #LINETODAY,Hendra235Hendra,Jakarta,erick thohir mahal biaya awat pasien covid,Sedih
