,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-11-14 07:32:01+00:00,1592057750737276928,@Tan_Mar3M @KompasTV @erickthohir Aaah... Kasih tahu ke publik ya pak.. ada apa waktu itu pada cemberut!? https://t.co/sDvGwtfjYG,BuchroniK,,aaah kasih publik ya cemberut,Bahagia
1,2019-01-01 19:08:35+00:00,1080178994404704256,"@ToniSugiri @HendarNew @B1G_kaySae @erickthohir @ridwankamil @NasDem @DPP_PKB @PartaiPerindo @PartaiGolkar @PartaiHANURA @AdianNapitupul1 @AdianNapitupul1  sudah turun dengan  pasukan mobil  POSPERA tapi itu belum cukup utk  menarik simpati warga, harus bahu membahu dgn partai koalisi lainnya Indonesia kerja.",yudhi_bastards,Jasinga - Bogor (west Java),turun pasu mobil posko juang rakyat tarik simpati warga bahu bahu partai koalisi indonesia kerja,Bahagia
2,2020-07-17 17:30:02+00:00,1284178561931198466,"Nota kesepahaman bersama ini berlaku hingga empat tahun, serta secara berkala akan dimonitor dan dievaluasi.#BUNMMaju #EkonomiMaju #IndonesiaMaju @KemenBUMN
 @erickthohir",mamavanenbas,,nota paham laku monitor evaluasi,Bahagia
3,2022-07-25 01:00:15+00:00,1551371720191545345,Pak erick dah cape ngurusin bumn ampe buka tempat mancing wkwk,iniintankok,,erick cape urus badan usaha milik negara buka mancing wkwk,Bahagia
4,2022-12-24 10:18:34+00:00,1606595178143580161,"Pernyataan waketum PPP arsul sani yang terkesan dengan Erick Thohir dinilai wajar, karena menteri BUMN itu sosok yang lemgkap, memiliki rekam jejak bagus, jejaring luas dan elektabilitas terus meningkat. 

#BangkitBersamaET
@erickthohir https://t.co/c0OQOyU3WD",pahlevi0884,,nyata wakil ketua ppp arsul sani kes erick thohir nilai wajar menteri badan usaha milik negara sosok lemgkap milik rekam jejak bagus jejaring luas elektabilitas tingkat,Cinta
5,2022-08-05 02:35:06+00:00,1555381856505589761,"@msaid_didu @erickthohir Ah bacot aja lu didu, jaman lu pertamina maburadul, gak usah banyak bacot lu",HafizRamandika,,ah bacot didu jaman pertamina maburadul bacot,Marah
6,2019-10-28 15:20:04+00:00,1188837845701513217,@negabod @cumarachel @jokowi @wishnutama @erickthohir Semua JOKOWER pada waktunya !!!!! Prabowo skrng bertugas membantu Presiden Jokowi,Winneto11554831,,jokower prabowo tugas bantu presiden jokowi,Bahagia
7,2022-10-20 13:32:31+00:00,1583088776620150784,"@erickthohir Yang Tidak menyediakan atm bagi nasabah baru KUR sangat menghambat bagi mereka yg gaptek android dan hp nya yg jadul karena tidak bisa pasang aplikasi brimo di hpnya..apalagi kalau di perkampungan yg minim sinyal,memang brimo sangat memudahkan bagi sebagian nasabah..",rudihegar,"Kota Bandung, Jawa Barat",sedia atm nasabah kur hambat gagap teknologi android handphone nya jadul pasang aplikasi brimo handphonenya kampung minim sinyal brimo mudah nasabah,Marah
8,2020-01-13 01:11:59+00:00,1216528282708922368,"Keselamatan, Keamanan dan Efisiensi Meningkat, Runway 3 Optimal Layani Penerbangan di Bandara Soetta - Berita Trans https://t.co/6TpS9DDGUM lewat @beritatrans @kemenhub151 @BudiKaryaS @djpu151 @AlanaMakawi @KemenBUMN @erickthohir @AngkasaPura_2 @mawaluddin @CGK_AP2",imam_rachman_,,selamat aman efisiensi tingkat runway optimal layan terbang bandara soetta berita trans,Bahagia
9,2020-03-15 13:49:46+00:00,1239187034247270401,Pelni Tertibkan Aset Perusahaan yang Digunakan Tak Sesuai https://t.co/fx7pQO6ddp @KemenBUMN @erickthohir @pelni162,imam_rachman_,,pelni tertib aset usaha sesuai,Marah
10,2022-11-16 23:46:16+00:00,1593027704999546880,"Ayo buktikan Indonesia sejajar dengan negara lain @erickthohir 
.
.
.
#erickthohir #kerjanyata #etroopersjabar #etroopersaction #etroopers #ethosukabumi #ethocianjur #sukabumi #cianjur #etroopersjabar #kitahadapikitaatasi https://t.co/24ndXREbmI",news_onlineid,,ayo bukti indonesia sejajar negara,Bahagia
11,2019-12-08 11:10:57+00:00,1203633053479759873,@SP_JAI_BERSATU @erickthohir @IndonesiaGaruda @indonesiaport @riekediahp @krpindo @Fppi_indonesia Terima kasih pak @erickthohir . Semoga semuanya berjalan dgn baik dan lancar. Dan berkah selalu utk bpk sekeluarga. Bantu perjuangan kami jg ya pak,MSoemedang,,terima kasih moga jalan lancar berkah keluarga bantu juang ya,Bahagia
12,2022-03-21 05:49:28+00:00,1505783632425717761,"Asian Games 2018 Pak Jokowi Naik Motor
Moto GP 2022 Pawang Hujan
Aktor dibaliknya Pak Erick Thohir wkwkwk
Masa si ngga mengenali pola kayak gini",Yoshuaomg,,asi games jokowi motor moto gp pawang hujan aktor erick thohir wkwk sih nali pola kayak,Bahagia
13,2022-08-24 06:17:10+00:00,1562323108522266625,@yusuf_dumdum @erickthohir Ayo gonggong trus Dum....hayu ngopi di Bandung biar gonggoannya makin asoy,kartakusumah1,"Jawa Barat, Indonesia",ayo gonggong dum ayo minum kopi bandung biar gonggo asyik,Bahagia
14,2020-02-07 22:00:07+00:00,1225902083003449344,@AXAIndonesia Jangan mau tergiyur kata kata manis @AXA_Mandiri saudaraku.. janji awal doanx..setelah berjalan jadi nasabah sekian tahun..janji hanya tinggal janji..janji palsu..RUGI..NYESEL YA ALLAH.@bankmandiri pak @erickthohir  pak @jokowi @DyahIrawatiNug1 @ojkindonesia,Wandi52631992,,tergiyur manis saudara janji doanx jalan nasabah sekian janji tinggal janji janji palsu rugi sesal ya allah,Marah
15,2021-11-15 21:49:56+00:00,1460364468567764993,"@premancyber @agussf_05 @markkezhoot @erickthohir Wkwk sampe2 dibelian mau ada kursus buat komisaris yg ga kompeten loh, pas rame personil slnk yg jd komisaris",ghozihanif22,Bogor,wkwk beli kursus komisaris kompeten pas ramai personil slnk komisaris,Marah
16,2021-10-30 23:44:46+00:00,1454595164291305474,"@demokrasibodong @PutraWadapi @erickthohir @msaid_didu Manggutny ada dua kemungkinan.. 1.Ngerti apa yg dimaksud
2.""EGP"" yaa... 

😂🙈",TherochMan1,,manggutny erti maksud emang gue pikir ya,Marah
17,2020-01-06 09:27:05+00:00,1214116163619155970,Jadikanlah NATUNA sbg Pusat Bisnis Perikanan &amp; Kelautan Nasional dg berbagai FASILITAS &amp; INSENTIF termasuk dg MENGERAHKAN BUMN terkait sbg PELOPOR @KemenBUMN @erickthohir @Kemendagri_RI @Kemlu_RI @Kemhan_RI @prabowo @mohmahfudmd @LuhutPandjaitan @jokowi @susipudjiastuti @kkpgoid,Tio_Rud,,natuna pusat bisnis ikan amp laut nasional fasilitas amp insentif masuk kerah badan usaha milik negara kait pelopor,Bahagia
18,2022-11-10 03:56:39+00:00,1590554000507932672,"Suatu Kehormatan ketika Pak Erick Tohir mengunjungi Outlet Klien kami Tauto Kedungrasa di Pos Bloc, terima kasih! https://t.co/3GSOWTqZV0",BroBillyOscar,,hormat erick tohir unjung outlet klien tauto kedungrasa pos bloc terima kasih,Marah
19,2019-10-09 13:30:45+00:00,1181924964263292929,"Masa jabatan Erick Thohir sbg Ketua Umum Komite Olimpiade Indonesia (KOI) telah berakhir. Kini, jabatan itu dipegang Raja Sapta Oktohari (Okto) utk periode 2019-2023.

Salah satu tantangan besar Okto selanjutnya yakni menjadikan Indonesia sbg tuan rumah Olimpiade 2032.

Bisa? https://t.co/CXMUkulzd9",nugyasa,,jabat erick thohir ketua komite olimpiade indonesia koi jabat pegang raja sapta oktohari okto periode salah tantang okto indonesia tuan rumah olimpiade,Bahagia
20,2020-04-25 16:55:35+00:00,1254091697182523392,"Malam ini sampai saur saya hanya akan Twit,RT ttng @pln_123 dan PPJ 10%nya,bea Limbah Rp.68/kWh yg jadi beban konsumen dan CSR nya BUMN secara keseluruhan. Kepada menteri BUMN @erickthohir dan kepada Presiden @jokowi dan kepada Wapres.RI @wapres_ri terus menerus sampai bosan. https://t.co/7IvaYZ437R",GoendalaPetir,jatisampurna bekasi kota,malam saur twit rt ppj nya bea limbah rupiah kwh beban konsumen csr nya badan usaha milik negara menteri badan usaha milik negara presiden wakil presiden ri bosan,Marah
21,2022-07-14 17:28:19+00:00,1547634105789317122,"Presiden Joko Widodo  menandatangani prasasti saat peresmian Transformasi Sarinah disaksikan Ibu Negara Iriana Joko Widodo , Presiden kelima RI Megawati Soekarnoputri, Menteri BUMN Erick Thohir dan Ketua DPR Puan Maharani di Jakarta, Kamis (14/7/2022). https://t.co/6h08svHWVz",Ahmad_hendars,"Bogor, Jawa Barat",presiden joko widodo menandatangani prasasti resmi transformasi sarinah saksi negara iriana joko widodo presiden ri megawati soekarno putri menteri badan usaha milik negara erick thohir ketua dewan wakil rakyat puan maharani jakarta kamis,Bahagia
22,2019-11-18 13:02:56+00:00,1196413477780221954,@mamaciaaa Pancingnya umpannya tepat sekali mantul yaa...pak Erick 👍👍,MegaRiani19,,pancing umpan mantap ya erick,Bahagia
23,2020-07-01 17:24:18+00:00,1278378914377723904,"Dukungan infrastruktur untuk Kawasan Industri Terpadu Batang, diungkapkan @erickthohir sangat komplet karena terletak di sisi utara Tol Trans Jawa yang sudah disiapkan PT Jasa Marga Tbk (Persero). #BUMNMaju #EkonomiMaju #IndonesiaMaju @KemenBUMN",mamavanenbas,,dukung infrastruktur kawasan industri padu batang komplet letak sisi utara tol trans jawa pt jasa marga tbk persero,Bahagia
24,2022-11-30 10:51:11+00:00,1597906076812595202,"Berbagai pencapaian gemilang Bapak @erickthohir selamat tiga tahun ini terekam baik dalam ingatan publik. Menjadi faktor pendukung ke Pilpres 2024 
#BangkitBersamaET https://t.co/jlG9z6gBck",cecengmuslih,Bandung,capai gemilang selamat rekam publik faktor dukung pilih presiden,Bahagia
25,2022-10-13 05:25:35+00:00,1580429520062283778,"@erickthohir @jokowi Semua nasabah handphone nya tidak kompatible dengan aplikasi brimo,berhubung tidak semua hp nasabah versi terbaru.
Apalagi dengan kebijakan utk nasabah penerima fasilitas KUR yg baru,harus menunggu dananya masuk selama 5 hari kerja ke depan setelah akad,utk saat ini.",rudihegar,"Kota Bandung, Jawa Barat",nasabah handphone nya kompatible aplikasi brimo hubung handphone nasabah versi bijak nasabah terima fasilitas kur tunggu dana masuk kerja akad,Marah
26,2021-04-05 01:47:54+00:00,1378887088309903360,"@jokowi, @erickthohir, Jiwasraya  teror  nasabah yg tdk berdosa. Bilang 87% nasabah bancas setuju. Jws pake cara negatif konfirmasi, tdk jawab surat, nasabah dianggap pilih opsi 1=setuju. Nyatanya  awal april,Jws kirim sms blast ajak nasabah  ikut restrukturisasi #TerorJiwasraya https://t.co/NEnL3OSYq3",rogandapm,Bandung,jiwasraya teror nasabah dosa bilang nasabah bancas tuju jws pakai negatif konfirmasi surat nasabah anggap pilih opsi tuju nyata april jws kirim sms blast ajak nasabah restrukturisasi,Marah
27,2019-12-05 09:28:16+00:00,1202520048939626496,"Pak erick udh pecat dirut garuda karna kasus harley mari kita dukung bu susi jd next dirut garuda 
#bususifordirutgaruda",LichikaE,,erick pecat direktur utama garuda harley mari dukung bu sus next direktur utama garuda,Marah
28,2020-10-02 13:47:55+00:00,1312026531204653056,"Gimana ini menteri BUMN @erickthohir apa kita bisa menjaring investasi buat percepatan pembangunan pelabuhan?

#KCNMembangunTolLaut",Lia_Irfan,,menteri badan usaha milik negara jaring investasi cepat bangun labuh,Bahagia
29,2022-09-08 12:36:11+00:00,1567854309320323072,"Hasil survey 18-23 Agustus 2022 menunjukan pasangan Capres dan Cawapres bapak @ganjar_pranowo dan bapak @erickthohir mendapat prosentase hasil survey tertinggi dibandingkan dengan pasangan lainnya 

#BangkitBersamaET
#ErickThohir
#ErickThohirPresidenIndonesia2024
@erickthohir https://t.co/UUnLN870XG",cecengmuslih,Bandung,hasil survei agustus pasang calon presiden calon wakil presiden prosentase hasil survei banding pasang,Marah
30,2018-09-07 14:01:15+00:00,1038064656286248960,@007Khalifah @Rohim03427539 @mawarti1225 @fadlizon @erickthohir hebat yh kamu bisa menerawang .mantap pak ekoooo,andrianiasAmom,,hebat ya terawang mantap ekoooo,Bahagia
31,2019-12-10 09:26:05+00:00,1204331440252411905,"Pak @erickthohir kami mandor borong dari PP di proyek fly over Lenteng agung. Jakarta Selatan. Sampe saat ini kami blom di bayar. Tolong jg di pecat dulu direksinya sampai kami di bayar dulu. 

@JKFC23456789 @jokowi @KemenBUMN",chikaldkw,Bekasi,mandor borong pp proyek fly over lenteng agung jakarta selatan bayar tolong pecat direksi bayar,Marah
32,2020-02-18 05:10:18+00:00,1229634221750145024,"Laba BTN Anjlok 90 Persen, Erick Thohir Diminta Lakukan Merger https://t.co/kx4gt1Pix8",rifqi32bgr,Bogor ,laba btn anjlok persen erick thohir laku merger,Marah
