,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-04-17 00:42:46+00:00,1515490919885119490,@SapawargaSby @e100ss @DivHumas_Polri @basuki_btp @erickthohir.Perarayan Paskah merupakan ngalap berkah bagi seluruh umat indonesia .supaya di perkaya/ jasmani dan rohani.di lancarkan segala usaha.di mudahkan dapat jodoh kesehatan.🇮🇩🇮🇩🇮🇩🇮🇩❤❤❤Amin.Amin.Amin.GBU. https://t.co/PnTqPiVUno,hozhy2,,perarayan paskah rupa ngalap berkah umat indonesia kaya jasmani rohani lancar usaha mudah jodoh sehat amin amin amin gbu,Senang
1,2019-12-07 07:51:04+00:00,1203220367197622272,"@_deevolution @aldy_marco @unknown12390 @digeeembok @erickthohir Nda usah dipretelin
Oplasin aja lagi, tp mekinya diganti titit 😐",p3d_,"Gresik, Jawa Timur",dipretelin oplasin mek ganti titit,Marah
2,2020-01-14 04:21:44+00:00,1216938423686053889,"Ini saya mau pesen tiket buat besok malah tidak bisa, mau log in gagal, mau konfirmasi pasword via email, malah email tidak di temukan. 

Tolong dong @jokowi 
@erickthohir",massurya65,"Kota Surabaya, Jawa Timur",pesan tiket besok log in gagal konfirmasi pasword via email email temu tolong,Marah
3,2018-09-11 09:03:08+00:00,1039439187101941760,"Klo saya sih tetap dukung @prabowo @sandiuno. Kita tdk sdng pilih timses Bang @erickthohir. 
#2019PrabowoPresiden",cakhelmi,Banyuwangi,sih dukung pilih tim sukses bang,Senang
4,2019-03-16 03:01:42+00:00,1106752370283692032,@mohmahfudmd @erickthohir tapi yo tetap berpengaruh tehadap elektabilitas 01 akan tergerus krana memang pengusungnya  main main coco prof.,josmurinho,"Malang, Jawa Timur",iya pengaruh hadap elektabilitas gerus krana usung main main coco prof,Sedih
5,2019-12-05 00:06:31+00:00,1202378683358433281,"Tak dukung pak @erickthohir Jangan lupa bumn kontruksi, perkebunan, pelabuhan disisir juga. Sepertinya banyak kutunya.....😀😀😀",u51k,"Gresik, Indonesia",dukung lupa badan usaha milik negara kontruksi kebun labuh sisir kutu,Sedih
6,2019-07-07 12:02:01+00:00,1147838175009595393,"From @erickthohir I will bidding for U-20 World Cup 2021 in this country, so please i cannot bid for World Cup 2034 so is impossible, for Nigeria and Zimbabwe will be bid in just the moment. Thanks",Akmal_FE,Gresik,from i will bidding for world cup in this country sok please i cannot bid for world cup sok is impossible for nigeria and zimbabwe will be bid in just the momen terima kasih,Marah
7,2022-06-11 21:57:07+00:00,1535742955343843328,"@Beddor2 @IskhanFath67 @erickthohir Siiiip lah sudah ada yang nglaporin..., Inshaa Allah cepat ditangani 🤲🤲🤲 aamiiin ya robbal alamin. https://t.co/3FWXtmInxo",SoebektiSoehar8,,siiiip nglaporin insya allah cepat tangan amin ya robbal alamin,Senang
8,2020-11-25 14:57:09+00:00,1331612896921493504,"Turut mendampingi Presiden dalam acara tersebut antara lain Menteri Luar Negeri Retno Marsudi, Menteri Badan Usaha Milik Negara Erick Thohir, dan Wakil Menteri Luar Negeri Mahendra Siregar. https://t.co/sd99fdbtsE",Laju_peTang,"Kota Surabaya, Jawa Timur",damping presiden acara menteri negeri retno marsudi menteri badan usaha milik negara erick thohir wakil menteri negeri mahendra siregar,Marah
9,2022-11-03 14:48:15+00:00,1588181266372784129,"Telkom Oh Telkom INTERNETmu IKI LHO..!!! AJUR.!!! Habis dipindahkan tautan makin susah konek, dapat IP saja gagal terus gak konek...!!! 0315467986 &amp; 03199251961. @telkomindonesia @telkomcare @indihomecare @indihomefiber @indihome @UseeTVcom @KemenBUMN @erickthohir @jokowi",TeguhArdiS,"Kota Surabaya, Jawa Timur",telkom oh telkom internetmu lo ajur habis pindah taut susah konek ip gagal konek amp,Marah
