,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-09-09 05:34:38+00:00,1038661938090106880,"@Gemacan70 @sandiuno @erickthohir Mirip"" triknya PKI ya",TNSukar,"Balikpapan, Indonesia",trik partai komunis indonesia ya,Marah
1,2019-03-26 06:50:50+00:00,1110433911648202752,"Bubuhaaaan dangsanak sabanuaaaa, kitaa betamuaan pulaang besok lahhhh . . Ada Bpk @jokowi erickthohir sekjenpdiperjuangan pramonoanungw mardani_maming dr_moeldoko &amp; seluruh rombongan TKN… https://t.co/MMkYpyBpyM",iankaselaradja,,bubuhaaaan dangsanak sabanuaaaa betamuaan pulaang besok lahhhh erickthohir sekjenpdiperjuangan pramonoanungw mardani maming moeldoko amp rombong tkn,Senang
2,2021-12-12 02:37:57+00:00,1469859037672259586,"Erick Thohir: Tak Ada Toleransi untuk Korupsi di BUMN!
https://t.co/J95SSvmRC6
Gerakan Disiplin Prokes",selliegemes,,erick thohir toleransi korupsi badan usaha milik negara gera disiplin prokes,Marah
3,2018-09-08 09:25:26+00:00,1038357635173474309,@Lambek11 @zarazettirazr @erickthohir @jokowi Sales product gagal klo laku ya prestasi besar; klo ga laku ya namanya product gagal ya mau diapain; paling ya buang aja ke tempat sampah,TNSukar,"Balikpapan, Indonesia",sales produk gagal laku ya prestasi laku ya nama produk gagal ya ya buang sampah,Marah
4,2019-10-23 02:37:19+00:00,1186833954059382784,"Wajah baru untuk Menteri BUMN, Menteri Pariwisata dan Ekonomi Kreatif dan Menteri Pendidikan dan Kebudayaan ,  Pak Erick Tohir, Pak Wishnutama dan Pak Nadiem Makarim😎😎😎😎😎😎",dettaselvirafd,Balikpapan - Yogyakarta,wajah menteri badan usaha milik negara menteri pariwisata ekonomi kreatif menteri didik budaya erick tohir wishnutama nadiem makarim,Marah
5,2022-04-15 09:33:49+00:00,1514899786306007041,"@yusuf_dumdum @erickthohir @mohmahfudmd Hukum harus ditegakkan... 
Memaafkan itu urusan lain... 
Hukum tidak boleh berhenti hanya karena minta maaf....yang dihina itu sosok seorang presiden....",BppPcnu,Balikpapan,hukum tegak maaf urus hukum henti maaf hina sosok orang presiden,Marah
6,2021-08-05 05:14:44+00:00,1423150458235883528,"Erick Thohir ajak masyarakat dukung gerakan ""Kita Bersama Nakes""
https://t.co/vPQez001Oh
Vaksin Selamatkan Indonesia",FebriSattu,,erick thohir ajak masyarakat dukung gera nakes vaksin selamat indonesia,Senang
7,2022-02-09 06:33:34+00:00,1491299215347093507,"@Ayang_Utriza @ListyoSigitP @DivHumas_Polri @kemenkomarves @PerekonomianRI @erickthohir @Kemenkumham_RI @kemenkopmk Pembangunan memang untuk kemakmuran rakyat, akan tetapi pembangunan tidak boleh merugikan dan mengurbankan rakyat yang lain kan...??? 
Apakah karier politik Ganjar Pranowo hanya akan berhenti di desa Wadas...??? 
Kita tunggu penyelesaiannya...",BppPcnu,Balikpapan,bangun makmur rakyat bangun rugi urban rakyat karier politik ganjar pranowo henti desa wadas tunggu selesai,Marah
8,2018-09-08 07:59:44+00:00,1038336068607602688,@thevick0077 @zarazettirazr @Argentiana_ @erickthohir @sandiuno Berarti benar adanya; bahwa yai Ma'ruf hanya dipake dorong mobil mogok,TNSukar,"Balikpapan, Indonesia",arti ya iya ruf pakai dorong mobil mogok,Marah
9,2021-11-17 10:12:31+00:00,1460913733782228993,"@erickthohir Bang erick sahabat saya Firman Djaya Daeli pasti tau saya dari Balikpapan kota penyanggah IKN.
Bila butuh lahan silahkan CP. 081254136634 an Rullah.
Bang Erick tolong nah bantu buat anak saya  kuliah di LN lewat beasiswa, anak komputer OK dan bahasa asing baru +_ 5 bahasa. Thanks",Achrullah_B,"Kalimantan Timur, Indonesia",bang erick sahabat firman djaya daeli tau balikpapan kota sanggah ikn butuh lahan sila contact person an rullah bang erick tolong bantu anak kuliah ln beasiswa anak komputer oke bahasa asing bahasa terima kasih,Marah
