DateTime,Tweet Id,Tweet,Username,Location,content_indo
2020-03-16 14:50:24+00:00,1.239564678721753e+18,"@null Ridwan Kamil dan Istrinya Negatif Virus Corona Gubernur Jawa Barat, Ridwan Kamil  https://t.co/HUkwtxQyr5",Estr0gen,,ridwan kamil istri negatif virus corona gubernur jawa barat ridwan kamil
2022-04-22 10:35:18+00:00,1.5174519738929357e+18,"Dapat Penghargaan dari Ridwan Kamil, Inilah Sosok Suniah yang Bangun Yayasan Sedekah Rombongan Bagi Warga yang Sakit

 https://t.co/NdFRFi28E7",redaksikarawan1,"Karawang, Jawa Barat",harga ridwan kamil sosok suniah bangun yayasan sedekah rombong warga sakit
2022-12-12 00:00:56+00:00,1.6020910930964234e+18,@HusinShihab @ridwankamil Halah ridwan kamil palingbmanggut manggut doang sambil megang dagu. Yg penting dapur tetep ngebul. Dibawah mau ada apa biar bawahan yg urus. 11 12 sama anies sih cara kerjanya.,SezginNilifer,"Kota Yogyakarta, Yogyakarta",alah ridwan kamil palingbmanggut manggut doang pegang dagu dapur ngebul biar urus anies sih kerja
2021-05-11 10:30:24+00:00,1.3920645408760422e+18,@ridwankamil Abi damelna teu acan sataun jd teu kenging thr pak:(,itsking,,abi damelna tau acan sataun tau kenging tunjang raya
2019-07-17 09:24:43+00:00,1.1514224687723356e+18,@humasjabar @ridwankamil @bimatarungjabar @bappedajabar Mangga dicek sepanjang jln perbatasan desa sukadana-sawahdadap kec.cimanggung Kab.Sumedang @bimatarungjabar @bappedajabar nuhun respona @humasjabar ð cc: @ridwankamil,agiLgieL,Bandung,mangga cek jalan batas desa sukadana sawahdadap camat cimanggung kabupaten sumedang terima kasih respona cc
2018-12-04 07:33:06+00:00,1.069857110962266e+18,"@ridwankamil mhn mf pa gub Ridwankamil .ini jln di tengah bdg tdk terurus/terlantar , dkt stasiun lama bdg..tgjwb siapa kah ya pa gub.. https://t.co/QuHbTgxfnh",angkringan_jo,,mhn maaf gubernur ridwan kamil jalan bandung urus lantar stasiun bandung tgjwb kah ya gubernur
2021-07-12 01:36:09+00:00,1.4143981421711565e+18,"Gubernur Jawa Barat Ridwan Kamil bersama Forkopimda Jabar menjatuhkan sanksi terhadap dua pabrik tekstil di Kota Bandung
https://t.co/09RhHgS6hu https://t.co/EKdyMP7cFI",TekstilPost,,gubernur jawa barat ridwan kamil forum koordinasi pimpin daerah jabar jatuh sanksi hadap pabrik tekstil kota bandung
2022-12-14 15:29:21+00:00,1.6030495102420746e+18,"Kamis besok, (15/12/2022) Gubernur Jawa Barat Ridwan Kamil Akan Berkunjung ke Depok membuka Pekan Kebudayaan Daerah Tingkat Provinsi Jawa Barat https://t.co/m4lAsJUPgi",smndepokbogor,,kamis besok gubernur jawa barat ridwan kamil kunjung depok buka pekan budaya daerah tingkat provinsi jawa barat
2020-02-07 12:58:03+00:00,1.2257656671245476e+18,"Pak Gubernur Jawa barat masih ingat kan Kasus Mako brimob,Polisi di bunuh sama Iblis Teroris yg meninggalkan Anak2 Yatim dan Istrinya sedang mengandung...? @ridwankamil https://t.co/tcA4ZAEMNu",GagakNeww2,,gubernur jawa barat markas komando brigade mobil polisi bunuh iblis teroris tinggal anak yatim istri kandung
2022-03-02 01:47:35+00:00,1.4988373898751836e+18,Sukses Insya Allah ...Kang @ridwankamil akan membuat Indonesia bangga dngn trlaksananya acara G20 di Jawa Barat kali ini. https://t.co/t4I6BOc5RN,fachruroz1,,sukses insya allah kang indonesia bangga trlaksananya acara jawa barat kali
2020-08-21 14:26:33+00:00,1.2968159610523443e+18,"Tim Gugus Tugas Percepatan Penanggulangan COVID-19 Jawa Barat (Jabar) --selanjutnya ditulis Gugus Tugas Jabar-- akan menggelar operasi penegakan kedisiplinan menggunakan masker di objek wisata Pantai Pangandaran
#ridwankamil #pangandaran #jabarterbaiktanganicovid  #jabarjuara https://t.co/ETsUxrGnDK",fachruroz1,,tim gugus tugas cepat tanggulang covid jawa barat jabar tulis gugus tugas jabar gelar operasi tega disiplin masker objek wisata pantai pangandaran
2022-11-21 19:19:14+00:00,1.59477244389768e+18,"@ridwankamil pak tolong mampir juga ke daerah cugenang, di desa sarampad lumyan parah"" pak, rumah ku disana ancur rata banget, akses jalan lumayan susah karena jalan nya keputus sebagian, tolong banget ya pakðð»ð¥º",rutoomine_,,tolong mampir daerah cugenang desa sarampad lumyan parah rumah ku hancur banget akses jalan lumayan susah jalan nya putus tolong banget ya
2019-09-02 15:14:59+00:00,1.1685428460281364e+18,@changbkim @KCC_Indonesia @korembindonesia @KTOJakarta @Menlu_RI @UmarHad73314840 @BDGHansamo @SahabatKorea @Triawan @ridwankamil Tapi persyaratan visa nya mhn dipermudah dong pak spt visa ke Inggris/Jepang,kosumantri,,syarat visa nya mhn mudah surat pemberitahuan visa inggris jepang
2019-04-02 01:54:55+00:00,1.1128961588991672e+18,"Gubernur Jawa Barat Ridwan Kamil terus mempersiapkan dua daerah di Jabar sebagai Kawasan Ekonomi Khusus (KEK). Dua daerah itu yakni kawasan agrowisata Cikidang, Kabupaten Sukabumi dan Pangandaran. #MenparKebutPariwisataJabar",qqfirdaoes,"Natuna, Kepulauan Riau",gubernur jawa barat ridwan kamil daerah jabar kawasan ekonomi khusus kayak daerah kawasan agrowisata cikidang kabupaten sukabumi pangandaran
2018-06-28 05:56:29+00:00,1.0122131261109288e+18,@dedeyusuf_1 @ridwankamil @bekerjamelayani @DediMulyadi71 Abang Jek @Deddy_Mizwar_ banyak pemirsa menyukai lakonmu dalam senetron tapi sosokmu di ranah politik masih butuh waktu yang panjang untuk bisa terpilih dalam kontes apa pun. Berbuatlah sesuatu dengan mengharapkan redho Allah tanpa mencari pujian makhluk,latif_alief,,abang jek pirsa suka lakon senetron sosok ranah politik butuh pilih kontes harap rida allah cari puji makhluk
2019-05-31 21:15:03+00:00,1.1345689988325007e+18,"Gpp Pak @ridwankamil, itu artinya panjenengan udah masuk radar sbg pengganti Pak @jokowi, yaitu berprestasi dan kerja nyata, sehingga harus dideligimitasi dgn hoax aneh2. Udah kena hoax syi'ah kan? Nah tinggal hoax PKI, antek asing dan antek China. Ditunggu aja ððð https://t.co/jdwxbCpUip",swdevbali,Yogyakarta,arti panjenengan masuk radar ganti prestasi kerja nyata dideligimitasi hoaks aneh kena hoaks syiah ah tinggal hoaks partai komunis indonesia antek asing antek cina tunggu
