,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-03-04 05:09:27+00:00,1499612967918538753,"@mang_landung @Dra_satria @RivaldyDeriawan @zarazettirazr @ridwankamil @WahidiHijral Ya itu dia . Hati hati ekspor ke bali nya ga kontinyu, dari dulu udah ada loh kredit . Apa cuma mencitrakan saja @ridwankamil",BayuGustian6,,ya hati hati ekspor bal nya kontinyu kredit citra,Marah
1,2021-02-11 10:50:14+00:00,1359817012898193409,"Kementerian Dalam Negeri meminta para gubernur di tujuh provinsi se Jawa-Bali utk melaksanakan seluruh Instruksi Mendagri Nomor 3/2021 tentang Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM) Berbasis Mikro @ganjarpranowo @ridwankamil 
@KhofifahIP
https://t.co/TP0RT8oHS9",SiskaDena,,menteri negeri gubernur tujuh provinsi jawa bal laksana instruksi menteri negeri nomor laku batas giat masyarakat ppkm bas mikro,Marah
2,2021-08-19 06:54:29+00:00,1428248988877131776,@ridwankamil Tetap waspada Bang terhadap virus bawaan dari daerah lain. Bali dan beberapa luar jawa masih prihatin . Jangan sampai Bandung kenak serangan balik ...,AnggiatSitumor2,,waspada bang hadap virus bawa daerah bal jawa prihatin bandung nak serang,Sedih
3,2022-06-04 08:52:41+00:00,1533008828693741568,@ridwankamil @sigialia Allahummagfirlahu warhamhu wa fihi wa fu anhu. Aamiin aaamiin aamiin yaa Rabbal aalamiin...,dirson35,Mataram,allahummagfirlahu warhamhu wa fihi wa fu anhu amin aaamiin amin ya rabi aalamiin,Senang
4,2021-07-12 04:37:50+00:00,1414443861133250561,"@SantorinisSun @16_056619 @ridwankamil Uangnya dibalikin gak 🤭
Kalo di solo sih ada oknum lakukan pungli,uanngya dibalikin ama walkotnya",Adysiswanto02,"Bali, Indonesia",uang solo sih oknum laku pungut liar uanngya walkotnya,Marah
5,2018-09-26 00:02:38+00:00,1044738984394412032,@Bali_Football Gua kira hbs Pak Imam Nahrawi atau Ridwan Kamil bkalan gilirannya beliau eh ternyta jam segitu baru dpt dan gua sampek ketiduran mungkin biar gak ada yg bully kali ya wkwkwk,boss_redi,,gue habis imam nahrawi ridwan kamil gilir beliau eh nyata jam gue tidur biar bully kali ya wkwk,Marah
6,2022-11-27 06:58:32+00:00,1596760364997545984,"@ridwank55237748 Kaget
Kirain Ridwan Kamil.
But anw, ini langkah nyata yang bener-bener keren.
Thumbs up buat BIN
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINPeduliSesama
#GempaCianjur
#GempaBumi
#CianjurBerduka",mumpungsepi,"Denpasar Barat, Indonesia",kaget ridwan kamil but anw langkah nyata keren thumbs up bin,Senang
7,2018-10-12 12:54:57+00:00,1050731548725645312,@ridwankamil Tyasa kirim ka Bali pak Gubernur?,Jamaludin4388,"Denpasar, Bali",tyasa kirim kakak bal gubernur,Sedih
8,2022-05-16 09:24:33+00:00,1526131479511592960,@ArArozy @Putra_Petir01 @ridwankamil alhmadulillah om.iya info dr sahabat subuh bali udah di makamkan.,IbickJr,"Bali, Indonesia",alhmadulillah om iya info sahabat subuh bal makam,Senang
9,2020-03-28 06:46:41+00:00,1243791601794609152,"@prickles85 @ridwankamil @travelfish hmmm not sure, bali gov keep silent",Ryan_Ramirez,"Kuta , Bali",hmmm not sure bal gubernur keep silent,Marah
10,2022-01-18 06:11:05+00:00,1483321022837256194,"Ridwan Kamil berada di Bali dalam acara BJB di Pasar Badung, Denpasar. #publisherstory https://t.co/QuKqdwzCRz",kumparan,,ridwan kamil bal acara bjb pasar badung denpasar,Sedih
11,2020-12-01 12:00:54+00:00,1333742870734409728,"@yusuf_dumdum @Mazggg coba di runut peristiwa sejak si riziq pulang minggat , nama nama yg sempat jadi cibiran publik

riziq, anies,  doni monardo,  ridwan kamil, dll

kira kira ada yg sirik dg keberhasilan jawa tengah gak??",Handoko75161314,Denpasar Bali,coba runut peristiwa sih rizieq pulang minggat nama nama cibir publik rizieq anies doni monardo ridwan kamil sirik hasil jawa,Marah
12,2022-06-09 12:39:36+00:00,1534877872380608512,"Akhirnya Eril bisa pulang..
Ril, meski aku nggak mengenal kamu..
Aku turut berduka atas kepergianmu..
Semoga amal dan ibadahmu diterima di sisiNya..
May your soul rest in peace Ril..
Amor ring Acintya..
Semoga menyatu dgn yg pencipta..
Stay strong Pak Ridwan Kamil dan keluarga.. https://t.co/doRa18RblG",noonasukajalan,"Bali, Indonesia",eril pulang ril kenal duka pergi moga amal ibadah terima sisi your soul rest in peace ril amor ring acintya moga cipta stay strong ridwan kamil keluarga,Sedih
13,2018-04-28 09:36:23+00:00,990162802827448320,"@wanti_one @Tereza_1969 @ayo_jalan2 @Kemenpar_RI @GenpiNews @donkardono @jheipul @Nurulsti_ @NGIndonesia @ridwankamil @putrilailawati -&amp;&amp;--
Lima negara Konferensi Kolombo akhirnya bertemu kembali di Konferensi Bogor. Indonesia ada Perdana Menteri Ali Sastroamijoyo, Burma diwakili U Nu, India diwakili Jawaharlal Nehru, Sri Lanka ada Sir John Kotelawala, dan Pakistan ada Muhammad Ali.
#PesonaAsianAfricanCarnival",WayToLombok,Kota Mataram,amp amp negara konferensi kolombo temu konferensi bogor indonesia perdana menteri ali sastroamijoyo burma wakil nu india wakil jawaharlal nehru sri lanka sir john kotelawala pakistan muhammad ali,Senang
14,2020-11-30 03:59:50+00:00,1333259418134212613,"Wilujeng poe senen min @infobdg @infobandung, hapunten bilih aya wargi bandung anu bade liburan ka bali sareung peryogi kendaraan tiasa hub abi,bade lepas kunci atanapi dijajapkeun  jalan2 dibali,harga mah harga dulur weh 😊🙏 hatur nuhun
cc @ridwankamil 🙏 https://t.co/jwnmgOVtuz",Ryan_Ramirez,"Kuta , Bali",selamat poe senin min hapunten bilih wargi bandung anu bade libur kakak bal sareung yogi kendara tiasa hubung abi bade lepas kunci atanapi dijajapkeun jalan bal harga harga dulur weh hatur terima kasih cc,Sedih
15,2020-04-16 01:46:46+00:00,1250601497164828672,@ridwankamil Kirim ke RS di bali bang...kekurangan disini😔,AgamJazzbali,"Denpasar, Bali",kirim rumah sakit bal bang,Sedih
16,2021-01-08 04:08:54+00:00,1347394826761863168,"@jabarprovgoid KOTA BANDUNG- Pemerintah pusat Satgas Penanganan Covid-19 mengenalkan istilah Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM), yg wajib dilakukan di Pulau Jawa &amp; Bali terhitung mulai 11/1/2021 hingga 25/1/2021.
#pplhipeduli #ridwankamil #pplhiupdate_2016 #Jabar https://t.co/FAVfrmMimM",dyhbuya75,,kota bandung perintah pusat tugas tangan covid kenal istilah laku batas giat masyarakat ppkm wajib laku pulau jawa amp bal hitung,Senang
17,2022-11-16 07:15:15+00:00,1592778308621860866,@ridwankamil @disdik_jabar Kalo guruna pengen studi banding ke bali kumaha atuh pak,NN35323634,,guruna studi banding bal atuh,Marah
18,2022-01-18 07:09:41+00:00,1483335769024778246,Sambutan hangat masyarakat Bali atas kehadiran Ridwan Kamil https://t.co/poeZ4jtGll,rk_2024,,sambut hangat masyarakat bal hadir ridwan kamil,Senang
19,2022-05-27 01:39:43+00:00,1530000766777188354,"Emmeril Khan Mumtadz, son of West Java Governor Ridwan Kamil, a potential presidential candidate in 2024, went missing when he swam in a river in Swiss. my thoughts to Kamil’s family on this tragic news, hope he can be found soon 😢 https://t.co/CixbtVniKk",restyworo,Bali,emmeril mumtadz son of west java gubernur ridwan kamil a potential presidential candidate in went missing when he swam in a river in swiss my thoughts to kamil si famili on this tragic news hope he can be found soon,Senang
20,2022-11-02 04:46:57+00:00,1587667556449497089,Diketahui acara puncak KTT G20 akan digelar pada 15-16 November 2022. Ridwan Kamil pun mengaku mendukung sepenuhnya peristiwa yang terjadi setiap 20 tahun sekali di Bali.,Wisesa2024,,acara puncak konferensi tingkat gelar november ridwan kamil dukung sepenuh peristiwa bal,Senang
