,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-10-31 14:48:52+00:00,1057645585732272129,Savage Governor is Savage.. Ntap kang Emil 😂😂😂 https://t.co/6A5g0XNjNN,flippedtable,,savage gubernur is savage mantap kang emil,Bahagia
1,2018-02-19 15:20:22+00:00,965606996375293955,"@ustadtengkuzul Pas betul dengan kriteria @ridwankamil, waduh semakin kuat kemenangannyq di Pilgub Jabar. Semoga Allah SWT meridhoinya.",Irwan_Aja7,Jakarta-Indonesia,pas kriteria kuat kemenangannyq pilih gubernur jabar moga allah subhanahu wa taala meridhoinya,Bahagia
2,2019-09-18 00:17:33+00:00,1174115203257995264,"@salima252 @TheArieAir @CuldeSac168 @adilmer4 @JKFC23456789 @GunRomli @hnurwahid @andre_rosiade @MardaniAliSera @RizmaWidiono @Gerindra @P3nj3l4j4h @ZAEffendy @Hilmi28 @SuaraAnies @Gus_Raharjo @ridwankamil Anies pun pakai uang CSR untuk bangun infrastruktur buk.. 
https://t.co/TA11mj2h1X",retno_adek,"Jakarta Utara, DKI Jakarta",anies pakai uang csr bangun infrastruktur buk,Marah
3,2019-10-05 05:32:49+00:00,1180355139619549184,Itulah yang menjadi alasan Dinas Pariwisata Provinsi Gorontalo mengundang pria yang akrab disapa Kang Emil itu untuk menjadi pembicara di Celebes Tourism Meeting (CTM) #CelebesTourismMeeting,semarRnyadua,,alas dinas pariwisata provinsi gorontalo undang pria akrab sapa kang emil bicara celebes tourism meeting ctm,Bahagia
4,2018-09-25 17:45:40+00:00,1044644117462966272,@VIVAcoid Ini jelas Jujur dari hati plg dalam.Yg jelas Malu besar kl org Jawa Barat or Bobotoh punya Mental Primitif dan Norak yah @ridwankamil 🙏🏻,TinnaHarahap,"Indonesia,Jakarta",jujur hati pulang malu orang jawa barat orang bobotoh mental primitif norak ya,Marah
5,2018-06-29 07:24:32+00:00,1012597672413310976,Yes kang Emil....nanti angka ril akan keluar utk menjawab suara2 sumbang tsb. Tx https://t.co/2Z5FyNgDKs,ajul2707,"Jakarta Capital Region, Indonesia",iya kang emil angka ril suara sumbang tx,Marah
6,2022-05-29 14:15:48+00:00,1530915818170884097,"pas acara sahur di Indosiar kesemsem lihat anaknya kang Emil lalu nyeletuk ""cakep juga ya"", terus iseng stalking dia sampe tahu namanya eril dan lulusan ITB. itu sebulan lalu— sampai denger berita hilang nya eril di Swiss. ya allah bener2 gak nyangka bisa kejadian kaya gini 🥲",sunnyoftan,jakarta,pas acara sahur indosiar tarik lihat anak kang emil nyeletuk cakap ya iseng stalking nama eril lulus institut teknologi bandung dengar berita hilang nya eril swiss ya allah sangka kayak,Bahagia
7,2018-02-04 04:34:15+00:00,960008578282143744,"Ini kali pertama saya menjadi pemilih untuk pilkada Jawa barat. Maklum baru pindah,  suara saya pertama teruntuk kang @ridwankamil.",88_heny,"Jakarta, Indonesia",kali pilih pilih kepala daerah jawa barat maklum pindah suara kang,Sedih
8,2020-02-06 17:34:58+00:00,1225472968844693504,"Gub Ridwan kamil siap terima ISIS asal mereka sudah insyaf !!
https://t.co/xhXUALtkCt https://t.co/Dj63Llv5BO",cagubnyinyir2,"Jakarta Capital Region, Indone",gubernur ridwan kamil terima isis insyaf,Marah
9,2020-02-20 01:53:08+00:00,1230309377480855552,Kang emil napa gemes banget siiii? 🤣🤣🤣 https://t.co/tiyvEMgYbB,leonputri,,kang emil gemas banget siiii,Bahagia
10,2022-12-14 15:16:16+00:00,1603046218846072835,@StefanAntonio__ @M45Broo @DPRDKotaDepok @IdrisAShomad @PemprovJabar @ridwankamil Ini bagian dari pelajaran agar tdk buta menjalankan amanah yg di emban,Demsonsilitonga,"DKI Jakarta, Indonesia",ajar buta jalan amanah emban,Bahagia
11,2022-12-16 06:45:57+00:00,1603642571728867328,"@rickdler Laporin sama Ridwan Kamil kalo ada jalan rusak harusnya, kok malah membungkam aku 😔",wikurizky,"Jakarta, Indonesia",lapor ridwan kamil jalan rusak bungkam,Marah
12,2018-09-28 16:53:53+00:00,1045718249013297152,"Ridwan Kamil Akan Revitalisasi Sungai Kalimalang, Ferry Batara: Saya Sangat Mendukung - https://t.co/7oyqDkQALb",FerryManurung8,"Jakarta Capital Region, Indonesia",ridwan kamil revitalisasi sungai kalimalang ferry batara dukung,Bahagia
13,2018-10-16 10:33:13+00:00,1052145429893136384,@ridwankamil Cerdas.pembangunan n kinerja kepala daerah sbg kampanye u jkw 2 periode.bisa d bandingkan nanti dgn tetangga sebelah.kubu mana yg bisa kerja n yg cm jago bicara,taufiqaris,"Jakarta Pusat, DKI Jakarta",cerdas bangun kerja kepala daerah kampanye jokowi periode banding tetangga belah kubu kerja jago bicara,Marah
14,2018-05-18 09:57:13+00:00,997415806123180032,@temponasional @temponewsroom Strategi? Apa tidak strategi yg lbh bermartabat? Partai berbasis Islami tetapi KEMARUK SYAHWAT @MardaniAliSera @Fahrihamzah @PKSejahtera @FPKSDPRRI @MayjenSudrajat sangat tidak simpatik. Menjatuhkan derajat. @ridwankamil @NasDem mantan jenderal lho ternyata mental Kacang @DPR_RI,fyahyab,"Jakarta Selatan, Indonesia",strategi strategi martabat partai bas islami kemaruk syahwat simpatik jatuh derajat mantan jenderal lo nyata mental kacang,Marah
15,2019-02-08 10:32:48+00:00,1093819932293263361,"Di dampingi @ridwankamil kunjungan @Jokowi ke cianjur seru nih #HayuKaCianjur kita sama-sama kawal dan #CianjurMenangkanJokowi 
https://t.co/zw4dz6kJwY",nurterbit,"DKI Jakarta, Indonesia",damping kunjung cianjur seru nih kawal,Bahagia
16,2020-03-26 09:30:42+00:00,1243108105547702272,"Hasil tes masif di berbagai daerah akan menjadi acuan keputusan Pemrov Jabar https://t.co/u3q4RuwzPr

@ridwankamil #DirumahAjaCekalCorona",republikaonline,"Jakarta, Indonesia",hasil tes masif daerah acu putus pemrov jabar,Bahagia
17,2020-12-30 12:53:53+00:00,1344265450608234496,"Pasca Banjir Kabupaten Cirebon, Prov. Jawa Barat, Satgana PMI Kab. Cirebon menyalurkan bantuan bagi warga terdampak banjir. Rabu, (30/12). Cc @ifrc @ICRC @BNPB_Indonesia @RedCrossAU @BritishRedCross @RedCross @RodeKruis @danskrodekors @jagan_chapagain  @ridwankamil https://t.co/QPWYze6E0j",Divisi_PB_PMI,"Jakarta Selatan, DKI Jakarta",pasca banjir kabupaten cirebon provinsi jawa barat satgana palang merah indonesia kabupaten cirebon salur bantu warga dampak banjir rabu cc,Bahagia
18,2020-04-15 06:41:47+00:00,1250313350510039040,"Ketika pak RT ku lagi bingung nich pak @ridwankamil , proses PSBB Utk ke RT seperti apa sich pak? Cc @BekasiUrbanCity https://t.co/2iaF1cAKo5",hendryputra,Jakarta Indonesia,ku bingung nih proses psbb sih cc,Bahagia
19,2019-05-02 22:30:55+00:00,1124078844657451009,Bandara luas spt ini sangat disayangkan untuk disia-siakan Pak @jokowi dan Kang @ridwankamil https://t.co/v0kZavOaJh,trisetyarso,Jakarta Capital Region,bandara luas surat pemberitahuan sayang sia sia kang,Bahagia
20,2019-06-14 02:23:17+00:00,1139357609729785856,"@bandithijo @ridwankamil Banyak hal mengenai duniawi yg terelalu dicocok-cocokan. Tidak ada ijma, g ada dalil tiba tiba memprotes desain mesjid berhubungan dengan dajjal. RK udah memaparkan mesjid yg memiliki simbol yg sama. Tapi hanya mesjid buatan nya yg di protes",luneareth,"Jakarta Selatan, DKI Jakarta",kena duniawi terelalu cocok cocok ijma dalil protes desain mesjid hubung dajjal rk papar mesjid milik simbol mesjid nya protes,Marah
21,2019-01-20 10:13:01+00:00,1086929585080459264,"@detikcom @ridwankamil bapak benar.. pd hakekatnya tergantung akhlaq manusianya @prabowo ada yg sdh kaya tujuh turunan tetap masih tidak puas, rejim ORBA 32 th berkuasa, begitu tamaknya menguras menjarah Sumber Daya Alam.. Na'uzubillahi minzalik @sandiuno @jokowi @KHMarufAmin_ #ORBAtamak",fyahyab,"Jakarta Selatan, Indonesia",hakekatnya gantung akhlaq manusia kayak tujuh turun puas rejim orde kuasa tamak uras jarah sumber daya alam na uzubillahi minzalik,Marah
22,2020-12-17 17:52:59+00:00,1339629680022810624,"Kenapa kok pada jadi mabuk agama ? Kurang meyakinkan argumennya buat loguka gitu? Musti nyandar sama kitab. Atau steess? 

@ridwankamil https://t.co/h4NF84G7bo",dimas62,Jakarta,mabuk agama argumen loguka nyandar kitab stres,Marah
23,2018-09-02 15:57:32+00:00,1036281982538280961,"@Bellanegoro @ridwankamil Tolong sebelum Anda bicara: Sebutkan nama Anda, perkerjaan Anda. Tiba tiba Anda membuat kepala saya mules, perut saya pusing, mata saya mimisan, telinga saya ngantuk.
Wakakkkkkkk...🙊🙊🙊",daviddhikrory,"DKI Jakarta, Indonesia",tolong bicara nama kerja kepala mules perut pusing mata mimisan telinga antuk wakakkkkkkk,Marah
24,2020-06-07 15:56:17+00:00,1269659455014137857,"Survey INDIKATOR Burhanudin Muhtadi: Elektabilitas Pilpres 2024 Prabowo Subianto 14 % di peringkat pertama, Ganjar Pranowo 11,8 %,
Anies Baswedan 10 %. Ridwan Kamil 7,7 %.
https://t.co/b7PrY3gUBk
@AEswono @22Similikiti @sirajapadoha @germantantra @djokoAdv @MrsRachelIn @hongkiy1",cagubnyinyir2,"Jakarta Capital Region, Indone",survei indikator burhanudin muhtadi elektabilitas pilih presiden prabowo subianto peringkat ganjar pranowo anies baswedan ridwan kamil,Bahagia
25,2018-11-27 06:21:49+00:00,1067302454365118470,Wih mantap deh😀 Nuhun kang Emil😇😇😇 https://t.co/C8aRF6IT9J,Adesvvv_,,wih mantap deh terima kasih kang emil,Bahagia
26,2019-07-21 07:53:42+00:00,1152849115321004034,@sarmus09 @kawananraja @mas__piyuuu @ganjarpranowo @ata_lia @ridwankamil ...memang dia pernah cerdas? Otak penuh belatung kebencian😃,herman_priyatna,Jakarta - Indonesia,cerdas otak penuh belatung benci,Marah
27,2020-04-12 08:29:14+00:00,1249253227754852358,"Lagi situasi krisis gini jadi kelihatan betul kualitas kepala daerah di Indo, paling suka crisis management nya : 
1. Ridwan Kamil
2. Ganjar Pranowo
3. Dedi A. Rachim (wawali bogor)
4. Sutiadji (walikota Malang)-&gt; walikota 1st yg mengusulkan lockdown
5. Risma
6. Dedi Yon (tegal)",AmandaRahmadani,"Jakarta Pusat, DKI Jakarta",situasi krisis lihat kualitas kepala daerah indonesia suka crisis manajemen nya ridwan kamil ganjar pranowo dedi a rachim wawali bogor sutiadji wali kota malang wali kota st usul lockdown risma dedi yon tegal,Bahagia
28,2018-03-22 19:28:58+00:00,976903581361045504,@korantempo @temponasional Wahai Tempo bgmn kabar kampanye RINDU no.1 Ridwan Kamil &amp; Uu Ruzhanul Ulum.??,Irwan_Aja7,Jakarta-Indonesia,tempo kabar kampanye rindu no ridwan kamil amp undang undang ruzhanul ulum,Marah
29,2019-06-11 02:40:48+00:00,1138274857563484160,Apakah langkah @ridwankamil melakukan tabayun adalah langkah yang benar ditengah gelombang post-truth &amp; hoax? https://t.co/L6Y2z9MuxI,aradityarian,"Jakarta, Indonesia",langkah laku tabayun langkah gelombang post truth amp hoaks,Marah
30,2020-01-13 13:57:33+00:00,1216720945479471106,Dokumentasi Pelayanan distribusi bantuan logistik Hagglunds bagi warga terdampak Banjir dan Longsor di Kec. Sukajaya oleh Tim Distribusi PMI Kab Bogor. Cc @Pak_JK @Kiyai_MarufAmin @jokowi @ridwankamil @BNPB_Indonesia @IFRCAsiaPacific @ifrc https://t.co/PDLsVK05Wz,Divisi_PB_PMI,"Jakarta Selatan, DKI Jakarta",dokumentasi layan distribusi bantu logistik hagglunds warga dampak banjir longsor camat sukajaya tim distribusi palang merah indonesia kabupaten bogor cc,Bahagia
31,2022-10-24 02:36:23+00:00,1584373206164520961,@Outstandjing @ridwankamil Senggol tipis tipis sembari menikmati sanur pak? 😂,txtfromkml,Jakarta Selatan,senggol tipis tipis sembari nikmat sanur,Bahagia
32,2022-12-20 12:06:33+00:00,1605172804105691137,Postingan Instagram Gubernur Jawa Barat Ridwan Kamil tentang kentut ramai dibahas warganet. Benarkah kentut wanita lebih bau dari pria? Begini penjelasannya.  https://t.co/0uvW63BJwE,detikcom,"Jakarta, Indonesia",postingan instagram gubernur jawa barat ridwan kamil kentut ramai bahas warganet kentut wanita bau pria,Cinta
33,2020-10-26 11:09:09+00:00,1320683882476261377,"Siapa yg lebih takut Covid saat Long Weekend, Orang Daerah apa Orang Jakarta?
@ridwankamil @ganjarpranowo @KhofifahIP yg harus nya lebih was was.

Sa ae luh..",wahyukencono,Jakarta,takut covid long pekan orang daerah orang jakarta nya was was sa,Sedih
34,2020-04-12 20:30:46+00:00,1249434810373697536,"@merdekadotcom Gubernur @DKIJakarta @aniesbaswedan belum selesai memberikan dana sosial kepada masyarakatnya &amp; tdk tahu sampai kpn wabah virus covod-19 selesai.

@pemkotbekasi harusnya minta dana sosial ke Gubernur @jawabarat @ridwankamil &amp; @jokowi @KemensosRI .

#PSBBbekasi #PSBBJakarta",Parulian12Roby,"DKI Jakarta, Indonesia",gubernur selesai dana sosial masyarakat amp wabah virus covod selesai dana sosial gubernur amp,Marah
35,2020-05-07 16:57:39+00:00,1258440874398121985,"@ridwankamil @aniesbaswedan 
Saya warga jawa barat,ber KTP kabupaten bandung barat,sekarang tinggal di jakarta,tidak bekerja ,di PHK,kosan udah nunggak 1 bulan,mohon bansos nya,karna sampai sekarang,tidak ada bansos untuk saya,terlebih untuk yg ber KTP daerah yg tinggal di jakrta",arista_ramadhan,"DKI Jakarta, Indonesia",warga jawa barat ber kartu tanda duduk kabupaten bandung barat tinggal jakarta kerja putus hubung kerja indekos tunggak mohon bansos nya bansos ber kartu tanda duduk daerah tinggal jakarta,Marah
36,2020-02-06 17:34:05+00:00,1225472746273947648,"Gub Ridwan kamil siap terima ISIS asal mereka sudah insyaf !!
https://t.co/xhXUALtkCt https://t.co/Dj63Llv5BO",cagubnyinyir2,"Jakarta Capital Region, Indone",gubernur ridwan kamil terima isis insyaf,Marah
37,2020-04-15 09:35:51+00:00,1250357155972001792,"Pemprov Jabar jelaskan BANSOS utk HTI Ormas terlarang itu Tak Sengaja! 
Pemprov Jabar terpapar khilafah Kadrunn ??
@ridwan_kamil
@hemaviton99 @sudrajatasep17 @novapermana8 @MyBagaspati @Oodhi_tah @bahdirja @Usep210 @kangmirdja https://t.co/5cThE5qJdr",cagubnyinyir2,"Jakarta Capital Region, Indone",perintah provinsi jabar bansos hati organisasi masyarakat larang sengaja perintah provinsi jabar papar khilafah kadrunn,Marah
