,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-04-21 13:25:45+00:00,1517132482675576832,@ridwankamil Istarahat nya ibu itu kalau semua anggota keluarga ngumpul,Saraswati_dee,Bogor-Indonesia,istarahat nya anggota keluarga kumpul,Senang
1,2020-09-26 11:50:07+00:00,1309822556682166272,"Kejari Kota Bogor Terus Didesak Untuk Membuka Nilai Jumlah Korupsi Dana Bos Rp 17.2 Milyar.

Silahkan baca pada link dibawah ini
https://t.co/uTJV3VRbo1

@jokowi 
@ridwankamil 
@KejaksaanRI 
@Puspenkum 
@kejagung1 
@kominfobogor 
@NajwaShihab 
@hariankompas 
@investigatempo",FebriDanielMan1,"Bogor Barat, Indonesia",kejar kota bogor desak buka nilai korupsi dana bos rupiah milyar sila baca link,Marah
2,2019-01-17 09:45:54+00:00,1085835597124517888,"@ridwankamil Kang emil punten, kayaknya tol air mah kurang efektif yah liat yang sudah2, kolam retensi ato kanal besar sepertinya akan lebih efektif. Klo penanganan banjir di flyover cimindi ada dalam rencana akang ga ? Soalnya ini janji akang waktu msh jadi walikota",RNu1227,,kang emil punten kayak tol air efektif ya lihat kolam retensi kanal efektif tangan banjir flyover cimindi rencana akang janji akang wali kota,Marah
3,2018-09-13 04:16:29+00:00,1040091823035707392,"@boedikrisnarto @filosofiksi @ridwankamil Kita lihat dulu partai mana saja yang masuk di Senayan di pileg 2019, tinggal nunggu kang Emil nya mau berkonsolidasi dgn partai mana, siapapun partai nya kami tetap dukung kang Emil, berdoa dan berikhtiar, insya Allah akan terwujud. Kita tetap optimis utk Jabar juara",yudhi_bastards,Jasinga - Bogor (west Java),lihat partai masuk senayan pilih legislatif tinggal tunggu kang emil nya konsolidasi partai partai nya dukung kang emil doa ikhtiar insya allah wujud optimis jabar juara,Senang
4,2022-09-18 09:13:16+00:00,1571427125089153024,"@ridwankamil Untuk pengganti hari Sabtu yang libur Akang Om @ridwankamil. Senin sd Jumat anak² bersekolah dari pagi jam 08 sampai jam 15 sore. Kalau di sekolah Swasta sdh diterapkan lama teknis spt itu. Bbrpa Madrasah Ibtidaiyah/MI sdh ada yg menerapkan, klu SDN daerah Prov Jabar kpn?",severiusetlila,"Bogor, Jawa Barat",ganti sabtu libur akang om senin sekolah dasar jumat anak sekolah pagi jam jam sore sekolah swasta terap teknis surat pemberitahuan madrasah ibtidaiyah mi terap sekolah dasar negeri daerah provinsi jabar,Sedih
5,2021-10-04 09:57:24+00:00,1444964863046926342,"Selamat Ulang Tahun Ke 50 untuk Kang @ridwankamil 🥳
Sehat selalu, diberikan kesuksesan dan kelancaran dalam mewujudkan Jawa Barat Juara Lahir Batin dengan Inovasi dan Kolaborasi. Aamiin

#Milangkala #50Tahun #goldenage #GubernurJabar #ridwankamil #jawabarat #kangemil #JabarJuara https://t.co/lGG5z43LRS",SatgasCitarum,"Bandung, Jawa Barat",selamat ulang kang sehat sukses lancar wujud jawa barat juara lahir batin inovasi kolaborasi amin,Senang
6,2018-03-24 16:03:05+00:00,977576543579987969,Kang Emil (Ridwan kamil) itu org yg bisa mendengar apa keluhan… https://t.co/9wQPTWaWYO,joydhi_pen,"Bandung, East Java",kang emil ridwan kamil orang dengar keluh,Marah
7,2020-04-17 14:38:54+00:00,1251158199048138753,"@PRFMnews min ada keterangan siapa saja yang berhak mendapat bantuan dari pemerintah? Soalnya orangtua Saya tidak bisa dapat bantuan. Kata si RT, yg dpt khusus pekerja dan karena orgtua saya jualan di warungnya (warung kecil) padahal terdampak ekonominya jadi minim. @ridwankamil",daharulinsare,"West Java, Indonesia",min terang hak bantu perintah orang tua bantu sih rt khusus kerja orgtua jual warung warung dampak ekonomi minim,Marah
8,2020-03-25 08:01:54+00:00,1242723369989967872,@ridwankamil Prosedur pengajuan no1 kumaha ieu? Abi seer cicilan soalna.,daniuye_,bandung raya,prosedur aju no ih abi seer cicil soalna,Sedih
9,2022-04-10 13:58:25+00:00,1513154436696186880,"Bedanya bayar pajak kendaraan:
Kantor besama/samsat
1. Petugas di kantor samsat jarutek
2. Banyak penawar jasa
3. Loketnya banyak
4. Tiap loket ngantri
5. Harus bawa bpkb
6. Surat keterangan bpkb dari pihak ketiga tidak diterima
@ridwankamil",aa_riyadi,Bandung,beda bayar pajak kendara kantor besama samsat tugas kantor samsat jarutek tawar jasa loket loket antre bawa bpkb surat terang bpkb terima,Marah
