,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2020-10-28 11:33:57+00:00,1321414899134652416,"Ada yang berbeda dari penampilan Gubernur Jawa Barat Ridwan Kamil kali ini. Hal itu tampak saat ia mengunggah foto bersama dengan Gubernur Jawa Tengah Ganjar Pranowo di sebuah ruangan.
#pplhiupdate 
#pplhiupdate_2020 
#pplhipeduli https://t.co/wb9wWfSRQ1",AlhaqIrfan,,beda tampil gubernur jawa barat ridwan kamil kali unggah foto gubernur jawa ganjar pranowo buah ruang,Marah
1,2019-12-27 02:09:35+00:00,1210382184713842688,Ribuan Patung Penari Tengah Sawah Dipuji Ridwan Kamil https://t.co/oAT7b9pObJ https://t.co/0THwaAiSSG,ArahJatim,,ribu patung tari sawah puji ridwan kamil,Senang
2,2022-11-28 06:46:44+00:00,1597119784180596738,"Menyusul Gubernur Jawa Tengah @ganjarpranowo, Gubernur Jawa Barat @ridwankamil dan Bakal Capres dari Partai NasDem @aniesbaswedan juga unggah foto gaya rambut di Instagram.⁠ #focus #kodejokowi #news #videonews https://t.co/aWFPu6wWFm https://t.co/0FAWvWkeDL",kumparan,,susul gubernur jawa gubernur jawa barat calon presiden partai nasional demokrat unggah foto gaya rambut instagram,Senang
3,2022-11-27 00:14:02+00:00,1596658572519407618,"@fazasadida @rosela_setia @ridwankamil @BNPB_Indonesia @Kepolisian_RI @DivHumas_Polri @PolriBareskrim Beda kelas.

Beda kualitas.

Di tengah perbedaan, yg satu menebar kasih, satunya lagi menebar kebencian.",hendrikk168,,beda kelas beda kualitas beda tebar kasih tebar benci,Marah
4,2022-06-23 10:47:55+00:00,1539923198338531334,@ridwankamil Semoga semua korban yang terdampak selalu allah beri kesabaran dan ketabahan🙏,she_teaa,,moga korban dampak allah sabar tabah,Sedih
5,2022-11-28 00:47:42+00:00,1597029433483100160,@ridwankamil Semestinya ngga boleh begitu klo menurut saya krna negara Indonesia ber-bhinneka tunggal Ika....bukan negara agama....bebas saja krna statusnya bantuan....berazaskan Pancasila dan UUD 45..,YApriyantho,,mesti negara indonesia ber bhineka tunggal ika negara agama bebas status bantu berazaskan pancasila undang undang dasar,Marah
6,2019-05-07 01:05:52+00:00,1125567391977459712,"Yth Bapak Bripda Micko (polisi sukasari Bandung)
mohon tindaklanjutnya pak!!
@ridwankamil @PolsekSukajadi @PolsekSukasari @infobdg @LMbandung @BandungBerisik @ElshintaBandung https://t.co/9FMwYPeY37",joedaphne72,,hormat bripda micko polisi sukasari bandung mohon tindaklanjutnya,Senang
7,2018-06-28 06:19:37+00:00,1012218944130699266,"@hnurwahid Jawa tengah insyaallah masih pk ganjar,,,jwa brt pk ridwan kamil,,,jwa timur ibu khofifah itu pilihan rakyat, ,,",BMahlani,"Brebes, Indonesia",jawa insyaallah ganjar jwa brt ridwan kamil jwa timur khofifah pilih rakyat,Senang
8,2022-07-18 04:32:16+00:00,1548888358067118080,"Baju Bayi keren nih 
Paketan ya dapat 3 pcs lhoo
Link Shopee
https://t.co/TJV3ct3cxt

Ridwan Kamil #IkatanCintaEp801 Adekku Hamil RI 1 https://t.co/NoteupmOEa",ajierakita_dewa,Yogyakarta - Semarang,baju bayi keren nih paket ya pcs lo link shopee ridwan kamil adik hamil ri,Senang
9,2021-07-09 05:28:25+00:00,1413369429442793475,"Di tengah lonjakan kasus di Jawa Barat, Ridwan Kamil mengambil beberapa langkah untuk membantu mereka yang sedang isolasi mandiri hingga vaksinasi.

Apa saja langkah ke depannya? Ikuti obrolan bersama @ridwankamil dan @CalistaMaggie hanya di Instagram Live @CNNIndonesia! https://t.co/9QaGbWwyy3",CNNIndonesia,,lonjak jawa barat ridwan kamil ambil langkah bantu isolasi mandiri vaksinasi langkah obrol instagram live,Sedih
