,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2018-09-06 04:18:51+00:00,1037555705320955904,"Kalo Anak Ridwan Kamil PASTI Laku laaah...

Gak tau kalo Capres sebelah...hehehe. https://t.co/cJXAoyJG0l",fariji_lacak,Surabaya,anak ridwan kamil laku laaah tau calon presiden belah hehe,Marah
1,2022-05-29 15:19:14+00:00,1530931782153273344,"Sisi Heroik Eril, Sempat Selamatkan Adik dan Teman saat Berenang di Sungai Aare
#eril Ridwan Kamil #Swiss 
https://t.co/eERNkvOLSD",jayatikediricom,,sisi heroik eril selamat adik teman renang sungai aare ridwan kamil,Senang
2,2019-01-20 05:03:55+00:00,1086851796079759360,@safrudi53158735 @alkirsik_rahman @detikcom @ridwankamil Dekat gk hrus mengikuti kemauan prabowo kali... klo prabowo mau lompat kesungai msa hrus ngikut.. begok,Syono97078971,,prabowo kali prabowo lompat sungai bego,Marah
3,2020-02-26 01:15:13+00:00,1232474163685683201,"@Ameeramantikah @ridwankamil selamat pagi dengkul dengkul yg berkumpul pagi ini, mari kita dengkul dengkul berfikir untuk mengkudeta otak, buat dunia terpana dg pemikiran dengkul kita, #HidungWoss",81Calra,,selamat pagi dengkul dengkul kumpul pagi mari dengkul dengkul pikir kudeta otak dunia terpana pikir dengkul,Marah
4,2018-10-14 06:09:56+00:00,1051354397857349632,"Bahkan kang emil pun bisa bilang, ""Emak-emak montok berdaster"" wkwk kita masih manusia lelaki normal ya Kang.",edakuncs,"Jember, Jawa Timur",kang emil bilang emak emak montok daster wkwk manusia lelaki normal ya kang,Senang
5,2018-06-21 10:03:29+00:00,1009738569991122946,"@yusejahtera @TrioMacari2000 @ridwankamil Lho...kalo ada Cagub yg dukung Jokowi, emang salah?
Justru kalo ada Cagub yg dukung Jokowi, Insya Allah dlm Pilkada MENANG.",fariji_lacak,Surabaya,lo calon gubernur dukung jokowi salah calon gubernur dukung jokowi insya allah pilih kepala daerah menang,Senang
6,2022-12-17 06:22:34+00:00,1603999074050801664,"Ridwan Kamil Masuk Golkar, Jabatan di DPP Masih Tunggu Arahan Ketum: Gubernur Jawa Barat Ridwan Kamil telah menjadi bagian keluarga besar Partai Golkar setelah bergabung dengan Kesatuan Organisasi Serbaguna Gotong Royong (Kosgoro) 1957. 

baca… https://t.co/JxJbStgMRQ",RMOLJatim_id,Surabaya,ridwan kamil masuk golkar jabat dasar kena pajak tunggu arah ketua gubernur jawa barat ridwan kamil keluarga partai golkar gabung organisasi serbaguna gotong royong kosgoro baca,Senang
7,2018-06-30 03:33:07+00:00,1012901820153204736,"@Nunung35Aza @ridwankamil Jakbar???
Baru pulang dari RSJ kaleee...hehe.",fariji_lacak,Surabaya,jakbar pulang rumah sakit jiwa kali hehe,Sedih
8,2020-12-20 14:33:19+00:00,1340666596918919169,"Turut hadir mendampingi Presiden di Istana Kepresidenan Bogor yaitu Sekretaris Kabinet Pramono Anung. Sementara, Menteri Perhubungan Budi Karya Sumadi, Gubernur Jawa Barat Ridwan Kamil, serta sejumlah tamu undangan terbatas lainnya hadir di tempat diselenggarakannya acara https://t.co/ybzCmgdb7V",Cak_X01,"Kota Surabaya, Jawa Timur",hadir damping presiden istana presiden bogor sekretaris kabinet pramono anung menteri hubung budi karya sumadi gubernur jawa barat ridwan kamil tamu undang batas hadir selenggara acara,Senang
9,2022-12-17 12:50:01+00:00,1604096577685327873,"@NSoetoyo @ridwankamil selalu support kang Emil, apapun keputusan beliau #bersamajuara #ridwankamil",Aleynanugraha,"Surabaya, Indonesia",support kang emil putus beliau,Sedih
10,2022-12-15 07:02:43+00:00,1603284403228409857,"@pengarang_sajak @ridwankamil meski sy paham sbg ars., tp jgn paksakan anggaran segitu besar unt pemuas nafsu membangun bangunan²monumental (sbg citra diri selagi menjabat). membangun daerah pake prioritas dik kamil.!",heruprabowo62,"Surabaya, Indonesia",paham ars paksa anggar muas nafsu bangun bangun monumental citra selagi jabat bangun daerah pakai prioritas dik kamil,Marah
11,2022-06-04 14:36:18+00:00,1533095304970481666,@ridwankamil Turut berduka kang RK...semoga amal ibadah beliau di terima disisi Allah..amin,romeo_ijen,"Banyuwangi,jatim",duka kang rk moga amal ibadah beliau terima sisi allah amin,Sedih
12,2022-11-12 12:14:56+00:00,1591404174360858625,@ridwankamil @ata_lia Selamat atas gelar doktornya Ibu Ata.. ibu panutan kami.. semoga ilmunya bermanfat dan amanah,Lulukyusro,,selamat gelar doktor ata panutan moga ilmu bermanfat amanah,Senang
13,2022-06-03 03:04:08+00:00,1532558727957868544,Innalillahi wainnailaihi rojiun..... Yang tabah ya kang emil @ridwankamil 😭 https://t.co/LunewMTNpi,Candrajvn,"Sidoarjo, Indonesia",innalillahi wainnailaihi rojiun tabah ya kang emil,Sedih
14,2020-12-16 07:12:17+00:00,1339106054181769216,"Salut bang emil @ridwankamil, berani jujur, tdk ABS https://t.co/mZX6xPe3bp",shoufi_aslelmjg,Malang,salut bang emil berani jujur habis,Marah
15,2020-02-20 01:12:17+00:00,1230299099078877185,@Ekaatyas @ganjarpranowo @MataNajwa @OfficialTRANS7 Pak ganjar apa kang emil yy skin care an 😂,MRezaforbid,"Kota Surabaya, Jawa Timur",ganjar kang emil iya iya skin care an,Senang
16,2022-12-19 11:44:15+00:00,1604804802718085122,mari perkuat ekonomi dalam negeri dengan membeli produk lokal #bersamajuara #ridwankamil https://t.co/xt8MG3ab7a,Aleynanugraha,"Surabaya, Indonesia",mari kuat ekonomi negeri beli produk lokal,Senang
17,2022-12-12 15:00:38+00:00,1602317507984908290,@MuhammadS_M @AndreasBayuSapu @Galih22januari karena kang Emil peduli Jabar #bersamajuara #ridwankamil demi Jabar maju,Aleynanugraha,"Surabaya, Indonesia",kang emil peduli jabar jabar maju,Marah
18,2022-12-19 11:31:42+00:00,1604801645686423555,@yesy_febriyati @ridwankamil Jagoan juaranya sama ya di pildun Qatar 2022 #bersamajuara #ridwankamil,Aleynanugraha,"Surabaya, Indonesia",jago juara ya pildun qatar,Senang
19,2022-02-10 17:53:53+00:00,1491832811686223895,"Lembang Beautiful Sunrise
I got this scene at 2019 when conducted team building at Lembang, Mr. @ridwankamil Bandung. After Subuh praying, we prepared to catch this beatiful sunrise scene with krakatau mountain background.
https://t.co/4sFO1smFtv

#NFT #NFTCommunity",sw4hono,"Kediri, Indonesia",lembang cantik sunrise i got this scene at when conducted tim building at lembang mr bandung after subuh praying we prepared to catch this beatiful sunrise scene krakatau gunung background,Senang
20,2022-12-19 12:06:48+00:00,1604810479683371008,@abelchantiqa @ridwankamil tetap semangat dan jaga asa untuk selalu maju dan tak pernah menyerah dengan ujian yang  #bersamajuara #ridwankamil,Aleynanugraha,"Surabaya, Indonesia",semangat jaga asa maju serah uji,Senang
21,2018-10-21 16:01:29+00:00,1054039981159677957,"Mega proyek meikarta yg saat ini menjadi perbincangan publik, dan menyeret bupati bekasi dlm pusaran korupsi, yakin bupati bekasi tdk sendiri dlm pemberian izin mega proyek ini, ada atasanya gubernur jabar sebelum ridwan kamil yg lebih bertanggung jawab dlm hal ini https://t.co/YfcKNN35sF",SahalaHerbin,Trenggalek jawa timur,mega proyek meikarta bincang publik seret bupati bekas pusar korupsi bupati bekas izin mega proyek atasanya gubernur jabar ridwan kamil tanggung,Marah
22,2019-01-27 22:05:54+00:00,1089645702458691585,"@ridwankamil WQWETUIH. 
CODE DO. 
ENCRYPTION ALGORITHMS
HIMAWAT THE ARIA DITA.
ASK HIM .!.:₹
@iamdevloper @angularjs_facts",hafidamru,"East Java, Indonesia",wqwetuih code do encryption algorithms himawat the aria dita him,Sedih
23,2019-10-29 11:34:43+00:00,1189143521199972352,"@conan_idn @ridwankamil @andiana Bpjs jadi naik?
Listrik jadi naik?
Tol jadi naik?
Import terus berlajut?
....................
Topik yg jauh bermanfaat bagi ekonomi rakyat",Bambang32498237,,badan selenggara jamin sosial listrik tol impor berlajut topik manfaat ekonomi rakyat,Marah
24,2020-09-03 14:37:01+00:00,1301529637474856960,@Aan__coverBOYkw @jokowi @ridwankamil @wisanggeni_084 @AnakKolong_ @FerdinandHaean3 @cinihiya @RudiTobinq @tjhinfar21 @WahabisLokal Masyaallahh....motoku rekk...kok mbacaku....Onani....jebule...ngapunten....,M_4l2ELL,,masyaallahh moto rekk mbacaku onani nyata ngapunten,Sedih
25,2020-04-16 15:37:24+00:00,1250810532711415808,@BukanDinar @wbudhi @belutlistrik__ @suracaaaan @Dolley_Agri @dindaajnt @deavolenta @virginadinar @Adhimlutfi2 @fluppiezz @ridwankamil Gajinya berupa sembako &amp; makanan 🤭,maggie_nanizar,,gaji upa sembako amp makan,Senang
26,2019-08-31 15:59:24+00:00,1167829248087773189,"Cc: @DivHumas_Polri @CCICPolri @BareskrimPolri @ridwankamil @kirekswasta @permadiaktivis @noeruzzaman @amrudinnejad_ @GagakNew @abil_habibi @RizmaWidiono @Widyarenee 
Para curut ini apa msh blm sembuh..?! 
Katanya di Bandung tadi pagi, apa benar..??! https://t.co/j1TIkbhy1h",Asror3Mochammad,"Kota Surabaya, Jawa Timur",cc curut sembuh bandung pagi,Senang
27,2022-12-19 12:10:50+00:00,1604811492104503296,"@BetraPratama @AzzahraMasyitah @DhyNurdiansyah coba nya sekarang aja, mulai beli produk-produk lokal, ga usah nunggu ntar #bersamajuara #ridwankamil",Aleynanugraha,"Surabaya, Indonesia",coba nya beli produk produk lokal tunggu,Marah
28,2022-05-27 16:39:39+00:00,1530227240759271426,Ya Allah asli ikut deg2an nunggu berita kabar anaknya ridwan kamil 🥺,winadiahpp,,ya allah asli degan tunggu berita kabar anak ridwan kamil,Sedih
29,2020-04-03 05:09:08+00:00,1245941381819854848,"@Dennysiregar7 @aniesbaswedan @ganjarpranowo @ridwankamil @KhofifahIP Ini kebijakan bukan utk diperlombakan..wong uang negara, bukan dr kantong sendiri..",priyoaremania,,bijak lomba orang uang negara kantong,Marah
30,2022-06-12 03:34:48+00:00,1535827933478105088,"dunia itu berat, makanya butuh cinta utk meringankannya - ridwan kamil",anjingbgst111,"Malang, Jawa Timur",dunia berat butuh cinta ringan ridwan kamil,Sedih
31,2018-06-27 15:50:06+00:00,1012000126691303426,Cita cita pak @jokowi membentuk team yg kuat dg 3 manusia hebat untuk Indonesia yg maju hanya terealisasi 2 ...selamat buat pak @ganjarpranowo dan kang @ridwankamil AND we always miss @basuki_btp 😭😭😭@makLambeTurah @pramonoanung @PDI_Perjuangan @addiems @TsamaraDKI https://t.co/6XccYxnHbC,AndreSusanto24,,cita cita bentuk tim kuat manusia hebat indonesia maju realisasi selamat kang and we always miss,Senang
