,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-12-12 04:14:01+00:00,1602154781463629824,@bwinarso99 @ridwankamil Suatu desa d Afrika tetap miskin karena ada 48 tempat ibadah tanpa ada pabrik satu pun..ayoo tingkatkan curhat pada Tuhan..😆,cakgono,Bontang,desa afrika miskin ibadah pabrik ayo tingkat curhat tuhan,Sedih
1,2022-07-06 21:29:51+00:00,1544795789347524608,"Mau nonton interview mata najwa episode ridwan kamil, ga kuat keknya 🥲",riznoooo,Balikpapan,tonton interview mata najwa episode ridwan kamil kuat,Sedih
2,2020-06-26 18:44:05+00:00,1276587050167238656,"Pengen ngumpulin org"" yg suka random stalk akun ig org jam jam segini, kek gw stalking ig ridwan kamil",MichaelFebryan1,"Balikpapan, Kalimantan Timur",kumpul orang suka random stalk akun instagram orang jam jam gin kayak gue stalking instagram ridwan kamil,Bahagia
3,2022-06-15 11:31:11+00:00,1537034983784599552,"@txtbpn @sharejiwa @Erlz_ @ridwankamil Karena penyusunan DEDnya belom kelaaar, desain final belum bisa dan belom boleh dipublish kayaknyaa. Karena kudu penyesuaian lapangan duluuu. Monmaap yaa 🙏",anggiielukita,"Balikpapan Selatan, Indonesia",susun dednya kelaaar desain final dipublish kayaknyaa sesuai lapang mohon maaf ya,Marah
4,2020-03-15 11:29:35+00:00,1239151753527869440,"@FerdinandHaean2 @ridwankamil mungkin bapak ridwan kamil mengaitkan agama dan virus corona.., corona itu makhluk Allah juga",andi66729841,,ridwan kamil kait agama virus corona corona makhluk allah,Marah
5,2019-06-01 09:55:47+00:00,1134760445787590656,"@ridwankamil Yang mencaci dan protes dari hasil karya orang lain itu biasanya orang yg iri dengki

Tapi mungkin dia lebih sebagai pemerhati teori sempak segitiga",BambangHerlandi,Balikpapan,caci protes hasil karya orang orang iri dengki perhati teori sempak segitiga,Marah
6,2022-01-22 05:04:03+00:00,1484753705501335553,"@NasutionTapsel @ukhtielya @Qalbun_Saliim @ridwankamil Untungnya banyak bukan hanya bagi gua, ekonomi berkembang lapangan kerja bertambah bagi masyarakat. Gak perlu jadi cukong, untuk sukses asal loe mau kerja keras.",komangkagawa,"Kalimantan Timur, Indonesia",untung gue ekonomi kembang lapang kerja masyarakat cukong sukses kerja keras,Bahagia
7,2022-07-25 03:21:39+00:00,1551407302259113984,"@Fakhri_Glem Kasus COVID-19 di Jabar Ngegas Lagi, Ridwan Kamil Ingatkan Prokes!
IKN Citra Indonesia 
https://t.co/6rKtONsDch",_samaraporto,,covid jabar marah ridwan kamil prokes ikn citra indonesia,Marah
8,2022-12-12 05:04:50+00:00,1602167572576997376,"@bwinarso99 @jokowi @kemendagri @titokarnavian_ @ridwankamil yang gue hormati; kang @ridwankamil gubernur Jabar. punten kang, abdi di Bontang .. sedih aq  dari minggu lalu ribut soal mau "" Pengusuran "" SDN Pd cina 1, mou dijadiin masjid. Berbuat lah kang sebagai pejabat yang adil, moga pahalanya buat alm anak akang ...",gatotprayoga2,Bontang.,gue hormat kang gubernur jabar punten kang abdi bontang sedih minggu ribut usur sekolah dasar negeri cina mou masjid kang jabat adil moga pahala almarhum anak akang,Marah
9,2019-07-05 12:50:46+00:00,1147125669974949889,Cintanya SR ketemu Cintanya Kang Emil.. ketemu pada waktunya 😍 #harganas2019 #harganaskalsel @ Banjarbaru https://t.co/zCcC9zzrrU,samsulramli,banjarbaru,cinta sr ketemu cinta kang emil ketemu banjarbaru,Cinta
