,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2020-09-17 04:13:26+00:00,1.30645e+18,"Abis dengerin podcast om deddy, kang emil emang hebat bgt sih, penuh inspiratif, role model pemimpin jaman now....",arf_prakoso,Tangerang Selatan to Jayapura,habis dengar podcast om deddy kang emil hebat banget sih penuh inspiratif role model pimpin jaman now,Senang
1,2020-09-17 04:07:57+00:00,1.30644e+18,"Astaga ternyata bintaro exc konsepnya oleh kang emil....
Ish kerenn bgt.....",arf_prakoso,Tangerang Selatan to Jayapura,astaga nyata bintaro exc konsep kang emil ih keren banget,Senang
2,2022-01-21 11:30:38+00:00,1.48449e+18,"@ridwankamil Nama nggak masalah, namun kalau saya cenderung kalau bisa menggunakan nama sesuai tempat di daerah tersebut sebagai penghargaan sebagai mana pepatah "" dimana bumi dipijak disitu langit dijunjung"".",UsmanAbdS1,,nama cenderung nama sesuai daerah harga pepatah bumi pijak situ langit junjung,Marah
3,2019-05-27 11:16:29+00:00,1.13297e+18,@ridwankamil Luar biasa pak...pemimpin amanah..rakyat sejahtra..negara jaya 💪,DianiDit,"Papua, Indonesia",pimpin amanah rakyat sejahtra negara jaya,Senang
4,2022-11-28 20:01:49+00:00,1.59732e+18,"Copot Identitas Gereja, Bikin Gubernur Ridwan Kamil Kontra Kapolres Cianjur Doni Hermawan https://t.co/VTWIhH7XzH",StevanusWasang2,,copot identitas gereja bikin gubernur ridwan kamil kontra kepala polisi resor cianjur doni hermawan,Marah
5,2020-02-15 03:16:50+00:00,1.22852e+18,@narkosun @ridwankamil Jagonya sama anak murid...murid tdk berani melawan Krn takut nanti nilainya bjhancur dan pasti tinggal kelas....sy sudah pernah alami dipukul guru sampe hidung darah makanya tdk berani lapor....coba kalau kembali ke masa itu pasti saya baku hajar dg guru itu,Jeloveny,merauke,jago anak murid murid berani lawan takut nilai bjhancur tinggal kelas alami guru hidung darah berani lapor coba baku hajar guru,Sedih
6,2022-09-22 04:16:11+00:00,1.5728e+18,"Ridwan Kamil Tinjau Pencairan BLT BBM 
#BLTBBMBantuMasyarakat
#BansosBBMRingankanRakyat
#KPMPenyaluranBLTTepatSasaran https://t.co/mlzhF7BqA0",Nakula590,"Papua, Indonesia",ridwan kamil tinjau cair bantu langsung tunai bahan bakar minyak,Marah
7,2018-09-23 17:59:17+00:00,1.04392e+18,"RIP. Brother ❤

Semoga Hal ini tidak akan Pernah Terjadi Lagi !!!
Benar kata Ridwan Kamil, Lebih baik Sepak Bola Indonesia ditiadakan, dari pada Harus Merenggut nyawa para Pencintanya… https://t.co/udomXXfTc1",Cicilia_Totti10,"Abepura, Jayapura - Papua",rip brother moga ridwan kamil sepak bola indonesia tiada renggut nyawa cinta,Cinta
8,2022-05-31 03:26:22+00:00,1.53148e+18,Eh lama2 jadi kepikiran juga sama Eril anaknya Pak Ridwan Kamil. Kebayang perasaan keluarga. Semoga Tuhan melancarkan pencarian ananda. Amin 🙏,Anthysaa,"Jayapura, Papua, Indonesia",eh pikir eril anak ridwan kamil bayang asa keluarga moga tuhan lancar cari ananda amin,Senang
9,2022-06-05 09:14:43+00:00,1.53338e+18,"@ridwankamil Allahumma firlahu warhamhu waafihi wafuanhu semoga alm.erril husnul khotimah ya,aamiin yg sabar ikhlas kang Emil teh Atalia🙏",ierbyanca,,allahumma firlahu warhamhu waafihi wafuanhu moga almarhum erril husnul khotimah ya amin sabar ikhlas kang emil teh atalia,Senang
