,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-11-16 07:49:30+00:00,1592786925467086848,"@baiqmarfuatun22 @BangImam @ridwankamil Komite sekolah biang pungli....tiap tahun ada ajalah tarikan bikin ini,bangun itu....",budiono8520,,komite sekolah biang pungut liar tari bikin bangun,Sedih
1,2022-11-27 09:06:20+00:00,1596792529055207424,"@DennyYap1 @GenkCilok @rosela_setia @ridwankamil @BNPB_Indonesia @Kepolisian_RI @DivHumas_Polri @PolriBareskrim Setuju bang, kalau nda ada label lembaganya malah rawan penyalahgunaan. Contoh Korban Lion Air.",debitlosong,,tuju bang label lembaga rawan penyalahgunaan contoh korban lion air,Sedih
2,2022-11-16 06:13:56+00:00,1592762877068587008,"@anisdanar @hhilwana28 @ridwankamil @disdik_jabar Bedalah..pemerintah minta anggaran ke dpr ada legal standingnya, yaitu uu, sklh negeri minta anggaran kpd orgtua murid, legal standing mereka  apa?? Kecuali mereka ada izin tertulis dr pemerintah tentang urgensi anggaran tsb",Romy_damara,,beda perintah anggar dewan wakil rakyat legal standingnya undang undang sekolah negeri anggar orgtua murid legal standing kecuali izin tulis perintah urgensi anggar,Marah
3,2022-11-17 05:28:11+00:00,1593113752714768384,"@MusafirKopinya @ridwankamil woiii dr biaya 118T itu pake APBN cm 3.2T masuk sbg PMN.. apa yg salah?..
ironi apa?",ResidentSammy,,woiii biaya t pakai anggar belanja negara t masuk pmn salah ironi,Marah
4,2022-11-26 02:40:20+00:00,1596333001100517376,@rosela_setia @ridwankamil @BNPB_Indonesia @Kepolisian_RI @DivHumas_Polri @PolriBareskrim Islam rusak oleh org2 kek gini yg sok suci dan radikal. Sampah agama sesungguhnya ya ini,wsf_888,,islam rusak orang kayak sok suci radikal sampah agama sungguh ya,Marah
5,2022-11-18 13:06:03+00:00,1593591366142959616,"@masrijo @alvinlie21 @djpu151 @kemenhub151 @BudiKaryaS @ridwankamil Seneng ada insight spt ini. Sy jg berkeyakinan, bhw infrastruktur itu jgn nunggu butuh baru di bangun. Jatuhny pasti biaya lbh mahal. Faktor pandemi sy kira jd penyebab juga. Semoga suatu saat nanti berguna.",ulil_f4,,senang insight surat pemberitahuan infrastruktur tunggu butuh bangun jatuhny biaya mahal faktor pandemi moga,Sedih
6,2022-11-17 01:22:54+00:00,1593052022760435713,@ridwankamil Praktek bagini lazim di semua sekolah negeri yang ada prestasi bagus &amp; sekolah pilihan.. Sebenarnya yang perlu dipertanyakan adlh tugas komite yg selalu dijadikan alat utk mencari dana dr pihak sekolah agar tidak kena sanksi dari diknas.. Komite ini problem baru bagi ortu murid,Mighfar,,praktik bagini lazim sekolah negeri prestasi bagus amp sekolah pilih tugas komite alat cari dana sekolah kena sanksi diknas komite problem orang tua murid,Marah
7,2022-12-01 01:53:12+00:00,1598133080262586368,"Ini lho bagian terpenting jika Kang Emil bergabung ke  partai .. 👇
Lebih lanjut, nama Ridwan Kamil juga menjadi salah satu nama yang diusulkan sebagai calon presiden dalam Rapat Kerja Nasional (Rakernas) PAN yang digelar pada Agustus lalu.
https://t.co/M7w94AYYAB
#BersamaJuara",govinditakaren,,lo kang emil gabung partai nama ridwan kamil salah nama usul calon presiden rapat kerja nasional rakernas gelar agustus,Marah
8,2022-11-29 01:10:08+00:00,1597397465166405634,"@ridwankamil Ah spt anda ga tahu saja mil soal intoleran.  Lagian ini org2   non suka maksa2 bantu. Kami kan punya byk sodara seiman, ada pemda, ada pusat.  Sejak dulu kami bs membantu diri sendiri. Kami selalu mandiri dlm segala hal.  Makanya kami selalu terdepan wkwkwkwkwkkwk",LangitBiruTua77,,ah surat pemberitahuan mil intoleran orang non suka paksa bantu saudara iman perintah daerah pusat bantu mandiri wkwkwkwkwkkwk,Marah
9,2022-11-26 06:53:11+00:00,1596396632219656192,"@Yani03495310 @JafYaya2150 @ridwankamil @KaredokLeunca__ @YRadianto @KangDickyAjah @kangdede78 Masalah nya bantuan2 banyak yang kagak bisa kalau polos tanpa nama.
Bisa ribet kalau donatur nanya bukti dll.",JohnKuy8,,nya bantu polos nama ribet donatur bukti,Marah
