,DateTime,Tweet Id,Tweet,Username,Location
0,2022-12-19 01:13:21+00:00,1604646032867880961,@echachaa__ Dunia ini berat makanya butuh cinta untuk meringankannya ~ridwan kamil,ribettaii,"Maros, Sulawesi Selatan"
1,2022-12-19 01:13:21+00:00,1604646032867880961,@echachaa__ Dunia ini berat makanya butuh cinta untuk meringankannya ~ridwan kamil,ribettaii,"Maros, Sulawesi Selatan"
2,2022-12-18 15:36:56+00:00,1604500973614792704,@ridwankamil Udah 2-0 Argentina 🇦🇷🔥,afabeaart,"Makasar, Indonesia"
3,2022-12-15 06:59:32+00:00,1603283600492961793,"Disebut Selangkah Lagi Gabung Golkar, Ridwan Kamil: Tolonglah, Jangan Tanya itu https://t.co/w2u5n0zyaD",PEDOMANMEDIA,"Makasar, Indonesia"
4,2022-11-10 14:39:30+00:00,1590715777359179776,"@ridwankamil Inalillahi wainailaihi rojiun
Allahumagfir lahu warhamhu wa ‘afuhi wa fu’anhu",Lily_Rusli76,"Kota Makassar, Sulawesi Selata"
5,2022-06-15 07:35:11+00:00,1536975592867868673,"@ridwankamil mamaku sering crita jd krn cmn punya 1 anak laki2, tp susah kabar2an susah komunikasi rasanya nyessek katanya, kdang jg nangis krn rindu anak.  Ga kebyang aja ama yg udh prgi ga balik sembuhin rindu.",puung03,"Kota Makassar, Sulawesi Selata"
6,2022-06-10 06:58:03+00:00,1535154308400185345,"@ridwankamil Sy pribadi baru percaya klo bang eril sudah gada asal mayatnya udah ketemu, skr baru benr2 percaya.  Bukan siapa2 si tp sedih. Kepo sm kbarnya harapan smoga baik2 sj",puung03,"Kota Makassar, Sulawesi Selata"
7,2022-06-09 12:58:07+00:00,1534882533057302529,"Turut Berdukacita, Alhamdulillah Akhirnya Jenazah Emmeril Kahn Mumtadz Putra Sulung Gub Jawa Barat Bapak @ridwankamil  Telah Ditemukan. Selamat Jalan Aa Eril, Tugasmu di Dunia Hanya Sampai Disini, Kini Kamu Bener Kembali Ke Pemilikmu yg Sebenarnya Allah SWT.",AneesaPutri26,"Kota Makassar, Sulawesi Selata"
8,2022-06-06 13:59:12+00:00,1533810742641602561,"Lg buka berita online pakai indihome kantor, ada berita tentang anak pak ridwan kamil, turut berduka cita pak. Ikut sedih melihat perjuangan beliau mencari anaknya. https://t.co/StQ8lJOLs0",IS170717,Makassar - Manado
9,2022-06-03 17:44:49+00:00,1532780356985753600,"@ridwankamil AARE -Azzahra,Athalia,Ridwan,Emeril- Takdir sudah digariskan 🙏 alam telah menyampaikan banyak pesan bermakna dari Yang Maha Esa melalui keluarga bapak. Tabah dan semakin kuat iman bapak sekeluarga 🤲  aamiin",NamiraKenshi,"Gorontalo, Indonesia"
10,2022-06-03 17:44:49+00:00,1532780356985753600,"@ridwankamil AARE -Azzahra,Athalia,Ridwan,Emeril- Takdir sudah digariskan 🙏 alam telah menyampaikan banyak pesan bermakna dari Yang Maha Esa melalui keluarga bapak. Tabah dan semakin kuat iman bapak sekeluarga 🤲  aamiin",NamiraKenshi,"Gorontalo, Indonesia"
11,2022-06-03 05:55:00+00:00,1532601726984810496,"Semoga pak @ridwankamil dan keluarga Kekuatan, ketabahan dan keikhlasan. https://t.co/9uT84xfIfj",ndoollAP,"South Sulawesi, Indonesia"
