,DateTime,Tweet Id,Tweet,Username,Location,content_indo,Sentiment
0,2020-01-07 08:15:30+00:00,1.21E+18,@emma_mbemz @HmfaqihA Njenengan kok reti nek pak @ganjarpranowo suka makan pecel mbak @emma_mbemz ?,ArdyantoYudi,Pati,njenengan erti nek suka makan pecel mbak,BAHAGIA
1,2022-11-17 10:55:18+00:00,1.59E+18,"Deketi anaknya,deketi juga orang tuanya ,laki laki mah ga perlu ganteng yang penting berkarakter, - 

Ridwan kamil-",ceritanias_,,deketi anak deketi orang tua laki laki ganteng karakter ridwan kamil,BAHAGIA
2,2022-11-09 04:41:25+00:00,1.59E+18,Saya yakin Pak Ganjar Terbaik ! #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat - DKI Jakarta mendukung! https://t.co/dxhLRaB09e,AmandaSayasane4,,ganjar daerah khusus ibukota jakarta dukung,BAHAGIA
3,2019-05-21 06:29:09+00:00,1.13E+18,@KingPurwa @prabowo @sandiuno @Dahnilanzar @Fahrihamzah Semoga aj Bang !!!! Insyaallah Pak Prabowo Subianto dan Sandi Aga Uno memenangkan pilpres 2019. Dan memberikan perubahan baru kedepannya yg lebih baik dari pada REZIM sekarang ini. Aaaaamiiiiinnn x 3 Yra. Allahuakbar Allahuakbar Allahuakbar Allahuakbar.,IbraPrawira1,,moga bang insyaallah prabowo subianto sandi aga uno menang pilih presiden ubah rezim aaaaamiiiiinnn x ya rabbal alamin allahu akbar allahu akbar allahu akbar allahu akbar,BAHAGIA
4,2022-12-17 13:10:21+00:00,1.60E+18,"Kalau saya jadi ketua parpol, saya mau calonkan Cares dan Cawapres @ganjarpranowo - Andika Perkasa serta @prabowo - @erickthohir. Ini pasti keren...ð",Cyko_as_Coky,,ketua partai politik calon cares calon wakil presiden andika perkasa keren,BAHAGIA
5,2022-11-26 10:45:51+00:00,1.60E+18,"Dalam kesempatan itu, Erick mengaku bangga bisa menjadi bagian dari Bangso Batak, bangsa yang terkenal kaya akan budaya, penuh sejarah dengan masyarakat kekeluargaan yang kerja keras.
@erickthohir 
#BangkitBersamaET https://t.co/7hQpEi91WA",Retnowonosari,,erick bangga bangso batak bangsa kenal kayak budaya penuh sejarah masyarakat keluarga kerja keras,BAHAGIA
6,2022-11-25 09:13:46+00:00,1.60E+18,"Telkom Indonesia jg menyediakan akses WiFi IndiHome dilokasi gempa Cianjur. Mantap @TelkomIndonesia cepat tanggap

@erickthohir
@KemenBUMN
#SatgasBencanaBUMN
#BUMNUntukCianjur
#TelkomPeduliCianjur https://t.co/uLs6IvI2ok",senaarena,,telkom indonesia sedia akses wifi indihome lokasi gempa cianjur mantap cepat tanggap,BAHAGIA
7,2019-12-09 15:42:06+00:00,1.20E+18,Selamat Pak Gokil Indonesia @ganjarpranowo Weleh Weleh. Dowo men ya pak... https://t.co/OaVU2fJue4,marzcheese,"Kota Semarang, Jawa Tengah",selamat gila indonesia weh weh dowo men ya,BAHAGIA
8,2022-10-26 02:24:46+00:00,1.59E+18,"Ganjar Purnomo sangat siap menjadi Indonesia Satu 2024

Sumatera Utara
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#capres2024
#ganjarpranowofor2024
#GanjarPilihanRakyat
#Ganjaristioptimis
#PerjalananGanjarPranowo https://t.co/yTjufZYch3",WaktuSumut,"Sumatera Utara, Indonesia",ganjar purnomo indonesia sumatra utara,BAHAGIA
9,2022-11-29 09:13:31+00:00,1.60E+18,Prabowo Subianto Pernah Punya Cita-cita Jadi Panglima TNI: Idaman Aku Bintang Empat! https://t.co/HbCG3k8HGu,PostingnewsId,,prabowo subianto cita cita panglima tentara nasional indonesia idam bintang,BAHAGIA
10,2022-06-13 08:34:45+00:00,1.54E+18,SAMBUTAN RIDWAN KAMIL USAI PEMAKAMAN EMMERIL KHAN MUMTADZ https://t.co/dYqhK3GPhG lewat @YouTube https://t.co/kZThpOnGs5,halimi_fatih,"Kota Banda Aceh, Nangro Aceh D",sambut ridwan kamil makam emmeril mumtadz,BAHAGIA
11,2022-12-16 09:59:11+00:00,1.60E+18,"Kinerja luar biasa BUMN selama dipimpin oleh Pak @erickthohir patut kita apresiasi apalagi Pak Erick Thohir jg fokus dlm membuka lapangan kerja yg jg akan berdampak besar pada pergerakan ekonomi.
BUMN akan selalu hadir ditengah masyarakat yg memerlukan bantuan.
#BangkitBersamaET https://t.co/WfNvOXc2AP",Rena_mareta,,kerja badan usaha milik negara pimpin patut apresiasi erick thohir fokus buka lapang kerja dampak gera ekonomi badan usaha milik negara hadir masyarakat bantu,BAHAGIA
12,2018-10-16 09:24:51+00:00,1.05E+18,"Penyerapan bangub 2018 desa gembong kulon, semoga sapat dinikmati para penerima manfaat.
Matur thank you...
@jokowi
@anwsanusi
@ganjarpranowo 
@umiazizah60 https://t.co/nOC15bNkkJ",mfauzanarifin2,"Tegal, Jawa Tengah",serap bangub desa gembong kulon moga sapat nikmat terima manfaat matur terima kasih,BAHAGIA
13,2019-06-03 09:33:06+00:00,1.14E+18,"@antaranews Intermezo: 
sing nggak (mau) ketemu berarti nggak (mau) rukun ya Pak @ganjarpranowo ? 

#ygBerhalanganDimaklumi",jrw_mtc,Babarsari - Jogjakarta,intermezo sing ketemu arti rukun ya,BAHAGIA
14,2022-12-01 07:00:00+00:00,1.60E+18,"Setuju dengan isi artikel di sini. Pak erick thohir mempunyai kapasitas dalam memimpin pssi yang lebih professional dan berprestasi.
#ProfesionalPrestasi
Reformasi Sepakbola Indonesia 
https://t.co/6mFYCicdGa",tewgat,,tuju isi artikel erick thohir kapasitas pimpin pssi profesional prestasi reformasi sepak bola indonesia,BAHAGIA
15,2019-04-11 23:00:43+00:00,1.12E+18,"@BangPino_ @prabowo Semangat tambah membara untuk tgl 17 april...
#UASpilihPrabowo",Syazali23083853,"Sumatera Utara, Indonesia",semangat bara tanggal april,BAHAGIA
16,2022-02-17 03:56:09+00:00,1.49E+18,Ada momen seru yang dilakukan Gubernur DKI Jakarta Anies Baswedan dan Gubernur Jawa Barat Ridwan Kamil. Keduanya menjajal rumput JIS melalui adu penalti. Kira-kira siapakah yang menang? https://t.co/qCmrUoZeDk,kumparan,,momen seru laku gubernur daerah khusus ibukota jakarta anies baswedan gubernur jawa barat ridwan kamil jajal rumput jis adu penalti menang,BAHAGIA
17,2022-11-16 02:56:09+00:00,1.59E+18,@iinleztarie @ridwankamil dari yang muda dan tua warga jabar kompak dukung kang emil #bersamajuara,n_o_vamel,,muda tua warga jabar kompak dukung kang emil,BAHAGIA
18,2022-12-03 10:42:19+00:00,1.60E+18,"Bapak Erick Thohir menyebut jika transformasi berkelanjutan yang dilakukan BRIsejalan dengan tujuan BUMN untuk terus menjadi lokomotif agen pembangunandengan tujuan menciptakan jutaan lapangan kerja. widih mantap gak sih
#TransformasiBRI",janjiganangiz,,erick thohir transformasi laku bank rakyat indonesia jalan tuju badan usaha milik negara lokomotif agen bangun tuju cipta juta lapang kerja wow mantap sih,BAHAGIA
