,DateTime,Tweet Id,Tweet,Username,Location,content_indo,sentiment
0,2022-12-21 12:49:20+00:00,1.60554595946684e+18,"Pengumpulan dana corporate social responsibility (CSR) di Jawa Tengah mencapai Rp86 miliar. 

Peran perusahaan swasta, BUMD, maupun BUMN, tersebut terus didorong oleh Gubernur Jawa Tengah Ganjar Pranowo, untuk mengeksekusi beragam program pembangunan di provinsi ini. https://t.co/2QAS0LmWNW",4_gp2024,,kumpul dana corporate sosial responsibility csr jawa capai rp86 miliar peran usaha swasta bumd badan usaha milik negara dorong gubernur jawa ganjar pranowo eksekusi agam program bangun provinsi,Angry
1,2022-12-02 23:14:52+00:00,1.598818009501823e+18,"@erickthohir @ZUL_Hasan @ganjarpranowo Semoga 2024 Hanya Anis Baswedan apresiden Pilihan Tepat Rakyat Indonesia,,,,  Amiiin ya Allah,,,  Kobul,,,",AbdiLla90306141,,moga 2024 anis baswedan apresiden pilih rakyat indonesia amin ya allah kabul,Happy
2,2019-03-12 06:43:30+00:00,1.1053586386489836e+18,"@tribunnews @tribunpadangcom Erick Thohir: Kirain Emak-emak ke 02, Ternyata ke 01
#JokowiLagi
""Luar biasa. Perempuan banyak. Selama ini emak-emak dibilang ke 02, ternyata ke 01 jauh lebih banyak,"" kata ErickÂ 
https://t.co/TjTXTfNAUM",Syarman59,"Kota Bengkulu, Bengkulu",erick thohir emak emak 02 nyata 01 jokowilagi perempuan emak emak bilang 02 nyata 01 erick,Happy
3,2022-12-17 06:30:50+00:00,1.604001153502663e+18,Relawan Toraja Utara Gelar Doa Bersama Dukung Ganjar Pranowo DI 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah https://t.co/mxe37olbV2,KaribGanjarYK,Daerah Istimewa Yogyakarta,rawan toraja utara gelar doa dukung ganjar pranowo 2024 ganjarpranowo ganjar pranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar capres2024 ganjarpranowofor2024 ganjarpilihanrakyat ganjarhebat ganjaramanah,Happy
4,2022-12-15 11:39:34+00:00,1.6033540713224724e+18,@fitryall @NerinAsana selalu dong #bersamajuara #ridwankamil,AyaNayyaya,,bersamajuara ridwan kamil,Happy
5,2022-12-18 07:21:12+00:00,1.6043762158586798e+18,"Komunitas milenial bersama sahabat Ganjar ajak lestarikan budaya
#ganjarpranowo
#ganjar_pranowo
#ganjarkita
#ganjaruntukindonesia
#sahabatganjar
#relawanganjar
#GanjarPilihanJokowi
#ganjarpranowofor2024
#GanjarPilihanRakyat
#GanjarHebat
#GanjarAmanah
#GanjarBertanggungjawab https://t.co/iRbq8cZcNd",cofeeblac,"Bali, Indonesia",komunitas milenial sahabat ganjar ajak lestari budaya ganjarpranowo ganjar pranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor2024 ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbe anggungjawab,Happy
6,2022-12-03 01:56:52+00:00,1.5988587762492416e+18,"Menteri BUMN @erickthohir Silaturahmi ke kediaman sesepuh Jabar HD.Sutisno dan Dialog publik dengan tokoh dan simpul masyarakat di Kediaman HD.Sutisno.

#BangkitBersamaET https://t.co/ZiXrUI6m2F",Djantjik,,menteri badan usaha milik negara silaturahmi diam sepuh jabar high definition sutisno dialog publik tokoh simpul masyarakat diam high definition sutisno bangkitbersamaet,Happy
7,2022-05-31 12:46:37+00:00,1.5316181480336056e+18,"Mohon Ridha dari Seluruh Rakyat Indonesia untuk Bp. Ridwan Kamil, Gubernur Jawa Barat.
Untuk mendo'akan agar putra Beliau dapat segera diketemukanð
Saya sebagai seorang ayah, juga seluruh ayah-ayah dan para orangtua di negeri ini dapat merasakan perasaan yang dialami Kel RK. https://t.co/sjfA4jtpsr",La32350078,,mohon ridha rakyat indonesia ridwan kamil gubernur jawa barat mendo putra beliau ketemu orang ayah ayah ayah orang tua negeri asa alami keluarga rk,Happy
8,2022-03-08 13:23:11+00:00,1.5011867714971607e+18,Erick Thohir mengapresiasi sinergi dan terobosan yang dilakukan PTÂ Bukit AsamÂ dan PT Jasa Marga dalam membangun PLTS di Tol Bali Mandara. Hal ini merupakan bentuk nyata dukungan BUMN dalam pengurangan emisi karbon global dan Presidensi G20 2022. https://t.co/Nwjq8QBr6I,Mockingjacks_,,erick thohir apresiasi sinergi terobos laku pt bukit asam pt jasa marga bangun plts tol bal mandara rupa bentuk nyata dukung badan usaha milik negara emisi karbon global presidensi g20 2022,Happy
9,2019-09-10 06:25:22+00:00,1.171308668005933e+18,@JajangRidwan19 @K3muning_1 @KemendikbudRI @ridwankamil Tingkat /dibidang pendidikan di jawa barat paling payah/sulit dan amburadul di seluruh indo.,YohanesBaptis20,,tingkat bidang didik jawa barat payah sulit amburadul indonesia,Angry
